# name:     copper                                               Feff 8.20   
# formula:  Cu
# sites:    Cu1
# refer1:   Kittel, ISSP
# refer2:
# schoen:
# notes1:   metal, fcc
# POT  SCF  20  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.411 Rnm= 1.456 K  shell
# Pot 1 Z=29 Rmt= 1.358 Rnm= 1.395
# Gam_ch=1.729E+00 H-L exch
# Mu=-7.652E+00 kf=1.985E+00 Vint=-1.668E+01 Rs_int= 1.827
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950  Temp= 293.00  Debye_temp= 340.00  Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00764    100.00     12.00     2   2.5527
#           2       0.00944     22.94      6.00     2   3.6100
#           3       0.00860      9.37     48.00     3   3.8290
#           4       0.00952      6.73     48.00     3   4.3577
#           5       0.00972     55.47     24.00     2   4.4213
#           6       0.00976     10.64     48.00     3   4.7633
#           7       0.00976     16.26     96.00     3   4.7633
#           8       0.00985     18.93     12.00     2   5.1053
#           9       0.00985      8.22     12.00     3   5.1053
#          10       0.00985     43.98     24.00     3   5.1053
#          11       0.00985      9.05     12.00     4   5.1053
#          14       0.00985     36.87     12.00     4   5.1053
#          16       0.01007     27.78     24.00     2   5.7079
#          17       0.01021      8.55     48.00     3   5.9353
#          18       0.01021      5.48     48.00     3   5.9353
#          19       0.01021      5.92     48.00     3   5.9353
#    16/  17 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
    14.7500    2.779808E-04  7.631994E-04  7.188382E+01
    14.8000    1.337361E-04  7.724302E-04  7.208262E+01
    14.8500   -3.276624E-05  7.847190E-04  7.229840E+01
    14.9000   -2.147195E-04  7.957323E-04  7.252986E+01
    14.9500   -3.971432E-04  8.022656E-04  7.277450E+01
    15.0000   -5.601326E-04  8.022377E-04  7.302953E+01
    15.0500   -7.001043E-04  8.143190E-04  7.329140E+01
    15.1000   -7.909018E-04  8.201943E-04  7.355936E+01
    15.1500   -8.195428E-04  8.195502E-04  7.383166E+01
    15.2000   -7.809439E-04  8.124532E-04  7.410684E+01
    15.2500   -6.787286E-04  7.992447E-04  7.438373E+01
    15.3000   -5.244014E-04  7.804478E-04  7.466142E+01
    15.3500   -3.352626E-04  7.566856E-04  7.493921E+01
    15.4000   -1.316371E-04  7.286140E-04  7.521656E+01
    15.4500    6.599741E-05  6.968691E-04  7.549307E+01
    15.5000    2.395200E-04  6.620323E-04  7.576842E+01
    15.5500    3.750429E-04  6.246130E-04  7.604228E+01
    15.6000    4.640613E-04  5.850512E-04  7.631427E+01
    15.6500    5.038981E-04  5.437363E-04  7.658384E+01
    15.7000    4.975079E-04  5.010413E-04  7.685019E+01
    15.7500    4.526979E-04  4.573679E-04  7.711205E+01
    15.8000    3.808187E-04  4.131998E-04  7.736755E+01
    15.8500    2.950116E-04  3.691622E-04  7.761396E+01
    15.9000    2.081817E-04  3.260872E-04  7.784737E+01
    15.9500    1.309807E-04  2.850863E-04  7.806245E+01
    16.0000    7.017012E-05  2.476197E-04  7.825250E+01
    16.0500    2.682518E-05  2.199061E-04  7.841753E+01
    16.1000   -1.293223E-06  1.980572E-04  7.854635E+01
    16.1500   -1.890452E-05  1.845136E-04  7.864245E+01
    16.2000   -3.315669E-05  1.809265E-04  7.872412E+01
    16.2500   -5.157289E-05  1.870610E-04  7.881914E+01
    16.3000   -7.982502E-05  2.007436E-04  7.894877E+01
    16.3500   -1.198974E-04  2.189583E-04  7.911929E+01
    16.4000   -1.691498E-04  2.388994E-04  7.932653E+01
    16.4500   -2.205863E-04  2.583718E-04  7.956297E+01
    16.5000   -2.643292E-04  2.757793E-04  7.982144E+01
    16.5500   -2.899714E-04  2.900015E-04  8.009620E+01
    16.6000   -2.892234E-04  3.002841E-04  8.038287E+01
    16.6500   -2.581679E-04  3.061635E-04  8.067814E+01
    16.7000   -1.985168E-04  3.074181E-04  8.097940E+01
    16.7500   -1.175194E-04  3.040357E-04  8.128454E+01
    16.8000   -2.652621E-05  2.961887E-04  8.159173E+01
    16.8500    6.142575E-05  2.842141E-04  8.189925E+01
    16.9000    1.343845E-04  2.685933E-04  8.220539E+01
    16.9500    1.839017E-04  2.499330E-04  8.250826E+01
    17.0000    2.065027E-04  2.289451E-04  8.280573E+01
    17.0500    2.098908E-04  2.124127E-04  8.309796E+01
    17.1000    1.927403E-04  1.943371E-04  8.338049E+01
    17.1500    1.617578E-04  1.754253E-04  8.364956E+01
    17.2000    1.247537E-04  1.564951E-04  8.390040E+01
    17.2500    8.875226E-05  1.384865E-04  8.412737E+01
    17.3000    5.851842E-05  1.224586E-04  8.432478E+01
    17.3500    3.584022E-05  1.095249E-04  8.448963E+01
    17.4000    1.968549E-05  1.006452E-04  8.462614E+01
    17.4500    7.104901E-06  9.625316E-05  8.474912E+01
    17.5000   -5.438807E-06  9.594525E-05  8.487972E+01
    17.5500   -2.072815E-05  9.858153E-05  8.503485E+01
    17.6000   -3.981811E-05  1.027531E-04  8.522093E+01
    17.6500   -6.168124E-05  1.072070E-04  8.543603E+01
    17.7000   -8.352309E-05  1.110195E-04  8.567459E+01
    17.7500   -1.016245E-04  1.135940E-04  8.593060E+01
    17.8000   -1.124274E-04  1.145993E-04  8.619880E+01
    17.8500   -1.135330E-04  1.139069E-04  8.647485E+01
    17.9000   -1.043346E-04  1.115404E-04  8.675521E+01
    17.9500   -8.613513E-05  1.076374E-04  8.703691E+01
    18.0000   -6.176015E-05  1.024199E-04  8.731733E+01
    18.0500   -3.583816E-05  9.895965E-05  8.759402E+01
    18.1000   -9.367639E-06  9.466888E-05  8.786548E+01
    18.1500    1.475452E-05  8.980538E-05  8.812964E+01
    18.2000    3.452205E-05  8.465425E-05  8.838464E+01
    18.2500    4.903032E-05  7.951220E-05  8.862906E+01
    18.3000    5.838001E-05  7.466662E-05  8.886226E+01
    18.3500    6.334545E-05  7.036801E-05  8.908483E+01
    18.4000    6.493839E-05  6.679753E-05  8.929891E+01
    18.4500    6.401314E-05  6.403684E-05  8.950819E+01
    18.5000    6.102855E-05  6.205242E-05  8.971730E+01
    18.5500    5.602049E-05  6.070466E-05  8.993081E+01
    18.6000    4.876559E-05  5.978086E-05  9.015218E+01
    18.6500    3.905696E-05  5.904002E-05  9.038332E+01
    18.7000    2.698265E-05  5.825359E-05  9.062459E+01
    18.7500    1.310443E-05  5.723325E-05  9.087517E+01
    18.8000   -1.526484E-06  5.584432E-05  9.113352E+01
    18.8500   -1.552359E-05  5.400869E-05  9.139773E+01
    18.9000   -2.744076E-05  5.170118E-05  9.166568E+01
    18.9500   -3.608417E-05  4.894288E-05  9.193521E+01
    19.0000   -4.076741E-05  4.579315E-05  9.220408E+01
    19.0500   -4.267188E-05  4.357927E-05  9.247256E+01
    19.1000   -4.098881E-05  4.106212E-05  9.273675E+01
    19.1500   -3.641524E-05  3.832749E-05  9.299420E+01
    19.2000   -2.995939E-05  3.547859E-05  9.324227E+01
    19.2500   -2.270645E-05  3.263275E-05  9.347822E+01
    19.3000   -1.559347E-05  2.991698E-05  9.369949E+01
    19.3500   -9.248327E-06  2.746090E-05  9.390428E+01
    19.4000   -3.926428E-06  2.538470E-05  9.409248E+01
    19.4500    4.500981E-07  2.378067E-05  9.426671E+01
    19.5000    4.173418E-06  2.269152E-05  9.443275E+01
    19.5500    7.592567E-06  2.209508E-05  9.459856E+01
    19.6000    1.096467E-05  2.190711E-05  9.477196E+01
    19.6500    1.435430E-05  2.200334E-05  9.495849E+01
    19.7000    1.760325E-05  2.224917E-05  9.516053E+01
    19.7500    2.037159E-05  2.252328E-05  9.537791E+01
    19.8000    2.223207E-05  2.272967E-05  9.560895E+01
    19.8500    2.278802E-05  2.280025E-05  9.585134E+01
    19.9000    2.178216E-05  2.269230E-05  9.610276E+01
    19.9500    1.917003E-05  2.238391E-05  9.636108E+01
    20.0000    1.514336E-05  2.186930E-05  9.662449E+01
    20.0500    1.045719E-05  2.182774E-05  9.688977E+01
    20.1000    4.971302E-06  2.163550E-05  9.715753E+01
    20.1500   -7.968246E-07  2.129977E-05  9.742679E+01
    20.2000   -6.302862E-06  2.083108E-05  9.769676E+01
    20.2500   -1.104880E-05  2.024203E-05  9.796676E+01
    20.3000   -1.464363E-05  1.954631E-05  9.823619E+01
    20.3500   -1.684421E-05  1.875806E-05  9.850451E+01
    20.4000   -1.757294E-05  1.789152E-05  9.877117E+01
    20.4500   -1.691281E-05  1.696103E-05  9.903559E+01
    20.5000   -1.508261E-05  1.598110E-05  9.929709E+01
    20.5500   -1.239723E-05  1.496676E-05  9.955487E+01
    20.6000   -9.219058E-06  1.393395E-05  9.980798E+01
    20.6500   -5.907179E-06  1.289986E-05  1.000553E+02
    20.7000   -2.771540E-06  1.188319E-05  1.002956E+02
    20.7500   -3.872241E-08  1.090412E-05  1.005274E+02
    20.8000    2.165527E-06  9.983863E-06  1.007496E+02
    20.8500    3.814537E-06  9.143499E-06  1.009613E+02
    20.9000    4.960867E-06  8.401891E-06  1.011626E+02
    20.9500    5.703366E-06  7.772646E-06  1.013548E+02
    21.0000    6.149270E-06  7.260572E-06  1.015412E+02
    21.0500    6.594199E-06  7.078367E-06  1.017298E+02
    21.1000    6.874310E-06  6.988632E-06  1.019206E+02
    21.1500    6.976578E-06  6.977492E-06  1.021180E+02
    21.2000    6.850441E-06  7.024479E-06  1.023248E+02
    21.2500    6.425071E-06  7.105696E-06  1.025430E+02
    21.3000    5.635639E-06  7.196950E-06  1.027730E+02
    21.3500    4.451701E-06  7.276105E-06  1.030142E+02
    21.4000    2.899856E-06  7.324489E-06  1.032655E+02
    21.4500    1.073963E-06  7.327522E-06  1.035255E+02
    21.5000   -8.708130E-07  7.274841E-06  1.037925E+02
    21.5500   -2.739782E-06  7.160151E-06  1.040652E+02
    21.6000   -4.331808E-06  6.980937E-06  1.043420E+02
    21.6500   -5.476122E-06  6.738116E-06  1.046213E+02
    21.7000   -6.064153E-06  6.435655E-06  1.049019E+02
    21.7500   -6.068825E-06  6.080181E-06  1.051822E+02
    21.8000   -5.546859E-06  5.680566E-06  1.054608E+02
    21.8500   -4.623898E-06  5.247520E-06  1.057358E+02
    21.9000   -3.466495E-06  4.793148E-06  1.060057E+02
    21.9500   -2.248087E-06  4.330496E-06  1.062683E+02
    22.0000   -1.117216E-06  3.873046E-06  1.065215E+02
    22.0500   -1.694688E-07  3.572518E-06  1.067667E+02
    22.1000    6.046963E-07  3.283050E-06  1.069994E+02
    22.1500    1.185024E-06  3.015794E-06  1.072180E+02
    22.2000    1.588069E-06  2.781388E-06  1.074218E+02
    22.2500    1.853440E-06  2.588666E-06  1.076122E+02
    22.3000    2.026904E-06  2.442985E-06  1.077927E+02
    22.3500    2.144992E-06  2.344684E-06  1.079692E+02
    22.4000    2.224948E-06  2.288531E-06  1.081487E+02
    22.4500    2.262126E-06  2.264736E-06  1.083369E+02
    22.5000    2.234794E-06  2.261143E-06  1.085378E+02
    22.5500    2.114313E-06  2.265576E-06  1.087524E+02
    22.6000    1.877345E-06  2.267512E-06  1.089803E+02
    22.6500    1.516438E-06  2.258882E-06  1.092198E+02
    22.7000    1.046040E-06  2.234205E-06  1.094685E+02
    22.7500    5.024286E-07  2.190389E-06  1.097243E+02
    22.8000   -6.219763E-08  2.126374E-06  1.099850E+02
    22.8500   -5.896684E-07  2.042763E-06  1.102486E+02
    22.9000   -1.027064E-06  1.941457E-06  1.105132E+02
    22.9500   -1.336321E-06  1.825325E-06  1.107771E+02
    23.0000   -1.499981E-06  1.697890E-06  1.110389E+02
    23.0500   -1.590526E-06  1.632665E-06  1.112988E+02
    23.1000   -1.560440E-06  1.561064E-06  1.115548E+02
    23.1500   -1.428260E-06  1.485802E-06  1.118058E+02
    23.2000   -1.220286E-06  1.409667E-06  1.120509E+02
    23.2500   -9.649461E-07  1.335349E-06  1.122898E+02
    23.3000   -6.879571E-07  1.265244E-06  1.125225E+02
    23.3500   -4.092893E-07  1.201250E-06  1.127497E+02
    23.4000   -1.423224E-07  1.144571E-06  1.129727E+02
    23.4500    1.050503E-07  1.095589E-06  1.131934E+02
    23.5000    3.281104E-07  1.053832E-06  1.134139E+02
    23.5500    5.227818E-07  1.018070E-06  1.136366E+02
    23.6000    6.838012E-07  9.865276E-07  1.138632E+02
    23.6500    8.041935E-07  9.571571E-07  1.140950E+02
    23.7000    8.761841E-07  9.279144E-07  1.143326E+02
    23.7500    8.932023E-07  8.969844E-07  1.145763E+02
    23.8000    8.522806E-07  8.629315E-07  1.148254E+02
    23.8500    7.560376E-07  8.247776E-07  1.150793E+02
    23.9000    6.135533E-07  7.820193E-07  1.153369E+02
    23.9500    4.397718E-07  7.346045E-07  1.155971E+02
    24.0000    2.534901E-07  6.828815E-07  1.158586E+02
    24.0500    7.695978E-08  6.605138E-07  1.161221E+02
    24.1000   -9.265123E-08  6.348990E-07  1.163854E+02
    24.1500   -2.407674E-07  6.064781E-07  1.166472E+02
    24.2000   -3.564224E-07  5.758458E-07  1.169063E+02
    24.2500   -4.335109E-07  5.437165E-07  1.171618E+02
    24.3000   -4.710717E-07  5.108855E-07  1.174123E+02
    24.3500   -4.726276E-07  4.781883E-07  1.176571E+02
    24.4000   -4.448192E-07  4.464518E-07  1.178953E+02
    24.4500   -3.957144E-07  4.164398E-07  1.181265E+02
    24.5000   -3.332057E-07  3.887914E-07  1.183510E+02
    24.5500   -2.638415E-07  3.639580E-07  1.185696E+02
    24.6000   -1.922855E-07  3.421477E-07  1.187837E+02
    24.6500   -1.214110E-07  3.232944E-07  1.189955E+02
    24.7000   -5.287186E-08  3.070636E-07  1.192075E+02
    24.7500    1.211647E-08  2.929019E-07  1.194219E+02
    24.8000    7.208023E-08  2.801200E-07  1.196408E+02
    24.8500    1.249050E-07  2.679899E-07  1.198654E+02
    24.9000    1.678819E-07  2.558324E-07  1.200963E+02
    24.9500    1.981527E-07  2.430813E-07  1.203335E+02
    25.0000    2.134015E-07  2.293200E-07  1.205765E+02
