#------------------------
#   k         chi         dchi         e0
  4.4189750       0.46663680E-01   0.10266063E-02    20006.008
  4.4339582       0.45593047E-01   0.10314265E-02    20006.008
  4.4488916       0.43865663E-01   0.98413146E-03    20006.008
  4.4638270       0.42315294E-01   0.10304286E-02    20006.008
  4.4786623       0.39217441E-01   0.62388197E-03    20006.008
  4.6231574      -0.79806703E-02   0.59437712E-03    20006.008
  4.6360646      -0.12693894E-01   0.86708446E-03    20006.008
  4.6503102      -0.16269197E-01   0.87000738E-03    20006.008
  4.6646107      -0.18424612E-01   0.84919023E-03    20006.008
  4.6788196      -0.20717965E-01   0.84458363E-03    20006.008
  4.6930348      -0.22846899E-01   0.86321731E-03    20006.008
  4.7071593      -0.24167855E-01   0.86534861E-03    20006.008
  4.7212422      -0.25246554E-01   0.86215574E-03    20006.008
  4.7338865      -0.25933128E-01   0.86967827E-03    20006.008
  4.7478916      -0.25661128E-01   0.85080385E-03    20006.008
  4.7619041      -0.24524942E-01   0.91980612E-03    20006.008
  4.8981866      -0.13000449E-01   0.81308366E-03    20006.008
  4.9117314      -0.13391943E-01   0.89614446E-03    20006.008
  4.9238952      -0.12611886E-01   0.90885278E-03    20006.008
  4.9373709      -0.11886833E-01   0.92184497E-03    20006.008
  4.9508106      -0.11568876E-01   0.89470815E-03    20006.008
  4.9642606      -0.11321011E-01   0.88732146E-03    20006.008
  4.9776290      -0.11121285E-01   0.88378595E-03    20006.008
  4.9910081      -0.10635355E-01   0.88716719E-03    20006.008
  5.0042608      -0.10040855E-01   0.87824910E-03    20006.008
  5.0162045      -0.96123332E-02   0.87927351E-03    20006.008
  5.0294829      -0.85423620E-02   0.85353634E-03    20006.008
  5.1587865      -0.35390203E-02   0.71184789E-03    20006.008
  5.1717061      -0.27539237E-02   0.88199184E-03    20006.008
  5.1832715      -0.24751297E-02   0.90215454E-03    20006.008
  5.1960875      -0.10791558E-02   0.87032402E-03    20006.008
  5.2088727      -0.17828845E-03   0.87411055E-03    20006.008
  5.2216272       0.91567873E-03   0.86183894E-03    20006.008
  5.2343949       0.26042257E-02   0.87422462E-03    20006.008
  5.2470887       0.41868814E-02   0.86239263E-03    20006.008
  5.2585352       0.60939963E-02   0.87196175E-03    20006.008
  5.2711721       0.78742661E-02   0.85931901E-03    20006.008
  5.2837794       0.92987933E-02   0.92581007E-03    20006.008
  5.4071287       0.31587813E-01   0.11284109E-02    20006.008
  5.4182023       0.33309767E-01   0.99248905E-03    20006.008
  5.4305178       0.35142400E-01   0.10224889E-02    20006.008
  5.4427641       0.36337231E-01   0.10178305E-02    20006.008
  5.4550254       0.37152283E-01   0.99961955E-03    20006.008
  5.4671762       0.38138360E-01   0.10203502E-02    20006.008
  5.4793841       0.38730706E-01   0.10399612E-02    20006.008
  5.4903153       0.38819137E-01   0.10025563E-02    20006.008
  5.5024315       0.38618858E-01   0.10197358E-02    20006.008
  5.5145632       0.37472734E-01   0.10011332E-02    20006.008
  5.5266276       0.37126434E-01   0.90030255E-03    20006.008
  5.6436552       0.20193478E-01   0.65969512E-03    20006.008
  5.6554507       0.17808127E-01   0.85868451E-03    20006.008
  5.6672222       0.15412772E-01   0.84310869E-03    20006.008
  5.6789700       0.12795928E-01   0.85683884E-03    20006.008
  5.6895267       0.10890704E-01   0.86782634E-03    20006.008
