 ni-complex n-propyl                                              Feff 8.10
 Abs   Z=28 Rmt= 1.336 Rnm= 1.420 K  shell
 Pot 1 Z= 7 Rmt= 0.766 Rnm= 0.998
 Pot 2 Z= 8 Rmt= 0.804 Rnm= 1.023
 Pot 3 Z= 6 Rmt= 0.878 Rnm= 1.103
 Gam_ch=1.576E+00 H-L exch
 Mu= 6.459E+00 kf=2.473E+00 Vint=-1.684E+01 Rs_int= 1.467
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2   2.000   1.9508    2.0904    6.45876 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  28 Ni       absorbing atom
     1.3794    1.3794    0.0000  2   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  8.500  4.3517E-01  1.2393E-01 -1.2470E+01  1.028E+00  1.0554E+01  8.7381E+00
  9.000  2.6178E-01  1.1207E-01 -1.2661E+01  1.014E+00  1.1348E+01  9.2203E+00
  9.500  9.2721E-02  1.0360E-01 -1.2842E+01  1.001E+00  1.2176E+01  9.7047E+00
 10.000 -7.3304E-02  9.5571E-02 -1.3007E+01  9.901E-01  1.3034E+01  1.0191E+01
 11.000 -3.9195E-01  7.6237E-02 -1.3295E+01  9.731E-01  1.4841E+01  1.1168E+01
 12.000 -6.8847E-01  5.8282E-02 -1.3561E+01  9.594E-01  1.6758E+01  1.2150E+01
 13.000 -9.6363E-01  4.9791E-02 -1.3795E+01  9.531E-01  1.8779E+01  1.3136E+01
 14.000 -1.2190E+00  4.5335E-02 -1.3981E+01  9.483E-01  2.0899E+01  1.4124E+01
 15.000 -1.4565E+00  3.7873E-02 -1.4190E+01  9.450E-01  2.3112E+01  1.5113E+01
 16.000 -1.6772E+00  3.1080E-02 -1.4407E+01  9.444E-01  2.5416E+01  1.6105E+01
 17.000 -1.8841E+00  2.8197E-02 -1.4542E+01  9.429E-01  2.7806E+01  1.7097E+01
 18.000 -2.0768E+00  2.6125E-02 -1.4660E+01  9.432E-01  3.0279E+01  1.8091E+01
 19.000 -2.2578E+00  2.2585E-02 -1.4853E+01  9.434E-01  3.2833E+01  1.9085E+01
 20.000 -2.4278E+00  1.9189E-02 -1.5076E+01  9.434E-01  3.5466E+01  2.0080E+01
