# data from ifeffit
#------------------------
#   k         chi         chi       dchi         win
  4.2000000       0.24168470E-01   0.28330878E-01   0.24525813E-02    1.0000000
  4.2500000       0.17567286E-01   0.24179209E-01   0.25362767E-02    1.0000000
  4.3000000       0.11222519E-01   0.20373423E-01   0.27168180E-02    1.0000000
  4.3500000      -0.15777536E-02   0.16725779E-01   0.22676192E-02    1.0000000
  4.4000000      -0.19479761E-02   0.13080249E-01   0.24525403E-02    1.0000000
  4.4500000      -0.64736394E-02   0.92413124E-02   0.25064247E-02    1.0000000
  4.5000000      -0.50384801E-02   0.50938933E-02   0.22420616E-02    1.0000000
  4.5500000      -0.55128489E-02   0.60341488E-03   0.23399563E-02    1.0000000
  4.6000000      -0.95035287E-02  -0.41891319E-02   0.20301190E-02    1.0000000
  4.6500000      -0.13793432E-01  -0.91961656E-02   0.18937606E-02    1.0000000
  4.7000000      -0.14245885E-01  -0.14210454E-01   0.46444758E-02    1.0000000
  4.7500000      -0.25608953E-01  -0.18983144E-01   0.28083599E-02    1.0000000
  4.8000000      -0.26192489E-01  -0.23281958E-01   0.20624356E-02    1.0000000
  4.8500000      -0.29908212E-01  -0.26771238E-01   0.20365319E-02    1.0000000
  4.9000000      -0.26769954E-01  -0.29188525E-01   0.20831409E-02    1.0000000
  4.9500000      -0.26134740E-01  -0.30383315E-01   0.21636685E-02    1.0000000
  5.0000000      -0.24651023E-01  -0.30286998E-01   0.21097016E-02    1.0000000
  5.0500000      -0.21380110E-01  -0.28849857E-01   0.19852469E-02    1.0000000
  5.1000000      -0.15768851E-01  -0.26213957E-01   0.21680527E-02    1.0000000
  5.1500000      -0.17814271E-01  -0.22668302E-01   0.19517157E-02    1.0000000
  5.2000000      -0.18213934E-01  -0.18533006E-01   0.21502461E-02    1.0000000
  5.2500000      -0.16906012E-01  -0.14146615E-01   0.28580721E-02    1.0000000
  5.3000000      -0.10780359E-01  -0.99056599E-02   0.36605434E-02    1.0000000
  5.3500000      -0.11420514E-01  -0.61742391E-02   0.21155171E-02    1.0000000
