# data from ifeffit
#------------------------
#   energy         xmu         bkg         k
  8430.0000        1.5972551       0.68754969        10.324608
  8432.0100        1.5993168       0.68854157        10.450680
  8434.0000        1.6009969       0.68949337        10.575496
  8436.0100        1.6023221       0.69042448        10.698244
  8438.0000        1.6030672       0.69131664        10.819963
  8440.0200        1.6037687       0.69219230        10.940686
  8442.0000        1.6044900       0.69302157        10.940686
  8443.9900        1.6047885       0.69382632        11.059500
  8446.0100        1.6049433       0.69461402        11.177286
  8448.0000        1.6048839       0.69536152        11.293727
  8449.9900        1.6051771       0.69608100        11.409324
  8452.0100        1.6056622       0.69678291        11.523648
  8454.0100        1.6060604       0.69744994        11.636624
  8456.0000        1.6064291       0.69808629        11.748513
  8458.0000        1.6070956       0.69869862        11.859568
  8459.9900        1.6074366       0.69928106        11.969483
  8461.9900        1.6077820       0.69983970        12.078614
  8463.9900        1.6079519       0.70037183        12.186231
  8465.9900        1.6079772       0.70087768        12.293226
  8467.9900        1.6076956       0.70135752        12.399508
  8469.9900        1.6068267       0.70181160        12.504469
  8471.9900        1.6055704       0.70224018        12.608763
  8473.9900        1.6042114       0.70264350        12.712408
  8476.0000        1.6018596       0.70302366        12.814806
  8478.0000        1.6000742       0.70337714        12.916594
  8480.0100        1.5971364       0.70370771        13.017789
  8482.0100        1.5947858       0.70401236        13.117803
  8483.9900        1.5919660       0.70429034        13.217258
  8486.0000        1.5897225       0.70454876        13.414250
  8488.0100        1.5871208       0.70478349        13.607910
  8489.9900        1.5846969       0.70499180        13.799042
  8492.0000        1.5820771       0.70518026        13.987468
  8494.0100        1.5804118       0.70534579        14.173482
  8495.9900        1.5782168       0.70548670        14.357360
  8498.0100        1.5762146       0.70560805        14.538373
  8499.9900        1.5711451       0.70570528        14.717603
  8509.9900        1.5631489       0.70587690        14.894590
  8520.0100        1.5558728       0.70553741        15.069237
  8530.0000        1.5525941       0.70472118        15.242055
  8540.0100        1.5487288       0.70345680        15.412766
  8550.0100        1.5461734       0.70177932        15.582110
  8560.0000        1.5407788       0.69972185        15.749052
  8569.9900        1.5356252       0.69731474        15.914654
  8580.0000        1.5278894       0.69458405        17.483123
  8590.0100        1.5229266       0.69156627        18.921954
  8600.0000        1.5136707       0.68830017        20.258981
