# data from ifeffit
#------------------------
#   k         chi         e0
  7.4500000      -0.21443952E-01    8330.5100
  7.5000000      -0.20519693E-01    8330.5100
  7.5500000      -0.19635146E-01    8330.5100
  7.6000000      -0.19009628E-01    8330.5100
  7.6500000      -0.18983943E-01    8330.5100
  7.7000000      -0.19108297E-01    8330.5100
  7.7500000      -0.19283325E-01    8330.5100
  7.8000000      -0.19127643E-01    8330.5100
  7.8500000      -0.18901526E-01    8330.5100
  7.9000000      -0.18792250E-01    8330.5100
  7.9500000      -0.19139722E-01    8330.5100
  8.0000000      -0.19974838E-01    8330.5100
  8.0500000      -0.20792252E-01    8330.5100
  8.1000000      -0.21257566E-01    8330.5100
  8.1500000      -0.20713762E-01    8330.5100
  8.2000000      -0.20122895E-01    8330.5100
  8.2500000      -0.19770663E-01    8330.5100
  8.3000000      -0.63189352E-01    8330.5100
  8.3500000      -0.81382953E-01    8330.5100
  8.4000000      -0.22051710E-01    8330.5100
  8.4500000       0.28115866E-01    8330.5100
  8.5000000       0.30578982E-01    8330.5100
  8.5500000      -0.74459888E-02    8330.5100
  8.6000000      -0.22169115E-01    8330.5100
  8.6500000      -0.22621227E-01    8330.5100
  8.7000000      -0.22871058E-01    8330.5100
  8.7500000      -0.22532809E-01    8330.5100
  8.8000000      -0.21829325E-01    8330.5100
  8.8500000      -0.21090817E-01    8330.5100
  8.9000000      -0.20875160E-01    8330.5100
  8.9500000      -0.20899469E-01    8330.5100
  9.0000000      -0.20762639E-01    8330.5100
  9.0500000      -0.19800740E-01    8330.5100
  9.1000000      -0.18429507E-01    8330.5100
  9.1500000      -0.17057558E-01    8330.5100
  9.2000000      -0.16392265E-01    8330.5100
  9.2500000      -0.15918333E-01    8330.5100
  9.3000000      -0.15352748E-01    8330.5100
  9.3500000      -0.14107916E-01    8330.5100
  9.4000000      -0.12750144E-01    8330.5100
  9.4500000      -0.11519343E-01    8330.5100
  9.5000000      -0.10711624E-01    8330.5100
  9.5500000      -0.98912564E-02    8330.5100
  9.6000000      -0.86941926E-02    8330.5100
  9.6500000      -0.71099370E-02    8330.5100
  9.7000000      -0.56452000E-02    8330.5100
  9.7500000      -0.49699950E-02    8330.5100
  9.8000000      -0.46928433E-02    8330.5100
  9.8500000      -0.43343496E-02    8330.5100
  9.9000000      -0.31566830E-02    8330.5100
  9.9500000      -0.19422002E-02    8330.5100
  10.000000      -0.11908001E-02    8330.5100
  10.050000      -0.10505557E-02    8330.5100
  10.100000      -0.89327684E-03    8330.5100
  10.150000       0.21477694E-04    8330.5100
  10.200000       0.11842631E-02    8330.5100
  10.250000       0.20011698E-02    8330.5100
  10.300000       0.19429587E-02    8330.5100
  10.350000       0.18428402E-02    8330.5100
  10.400000       0.24338926E-02    8330.5100
  10.450000       0.34533401E-02    8330.5100
  10.500000       0.43160508E-02    8330.5100
  10.550000       0.44681918E-02    8330.5100
  10.600000       0.46056602E-02    8330.5100
  10.650000       0.53194606E-02    8330.5100
  10.700000       0.63739138E-02    8330.5100
  10.750000       0.72247310E-02    8330.5100
  10.800000       0.74685902E-02    8330.5100
  10.850000       0.75601421E-02    8330.5100
  10.900000      -0.35860804E-01    8330.5100
  10.950000      -0.43307351E-01    8330.5100
  11.000000       0.97280998E-02    8330.5100
  11.050000       0.62649005E-01    8330.5100
  11.100000       0.10851781E-01    8330.5100
  11.150000       0.10805883E-01    8330.5100
  11.200000       0.11709082E-01    8330.5100
  11.250000       0.11990292E-01    8330.5100
  11.300000       0.11855180E-01    8330.5100
  11.350000       0.12015339E-01    8330.5100
  11.400000       0.12764237E-01    8330.5100
  11.450000       0.13429148E-01    8330.5100
  11.500000       0.13219222E-01    8330.5100
  11.550000       0.12969522E-01    8330.5100
  11.600000       0.13461788E-01    8330.5100
  11.650000       0.14244179E-01    8330.5100
  11.700000       0.14409110E-01    8330.5100
  11.750000       0.13876672E-01    8330.5100
  11.800000       0.13530886E-01    8330.5100
  11.850000       0.13875894E-01    8330.5100
  11.900000       0.14186067E-01    8330.5100
  11.950000       0.13737762E-01    8330.5100
  12.000000       0.13291614E-01    8330.5100
  12.050000       0.13621837E-01    8330.5100
  12.100000       0.14104679E-01    8330.5100
  12.150000       0.13754424E-01    8330.5100
  12.200000       0.12896475E-01    8330.5100
  12.250000       0.12627670E-01    8330.5100
  12.300000       0.13004050E-01    8330.5100
  12.350000       0.12990625E-01    8330.5100
  12.400000       0.12275818E-01    8330.5100
  12.450000       0.11863118E-01    8330.5100
  12.500000       0.12298509E-01    8330.5100
  12.550000       0.12470053E-01    8330.5100
  12.600000       0.11511173E-01    8330.5100
  12.650000       0.10644069E-01    8330.5100
  12.700000       0.11018036E-01    8330.5100
  12.750000       0.11401371E-01    8330.5100
  12.800000       0.10621272E-01    8330.5100
  12.850000       0.97364900E-02    8330.5100
  12.900000       0.96908638E-02    8330.5100
  12.950000       0.99037011E-02    8330.5100
  13.000000       0.98432729E-02    8330.5100
  13.050000       0.98110799E-02    8330.5100
  13.100000       0.10406503E-01    8330.5100
  13.150000       0.10719848E-01    8330.5100
  13.200000       0.93506156E-02    8330.5100
  13.250000       0.73368188E-02    8330.5100
  13.300000       0.67880567E-02    8330.5100
  13.350000       0.70024452E-02    8330.5100
  13.400000       0.75090853E-02    8330.5100
  13.450000       0.79862026E-02    8330.5100
  13.500000       0.69717109E-02    8330.5100
  13.550000       0.57057082E-02    8330.5100
  13.600000       0.44415471E-02    8330.5100
  13.650000       0.34331622E-02    8330.5100
  13.700000       0.35584344E-02    8330.5100
  13.750000       0.38343245E-02    8330.5100
  13.800000       0.40749724E-02    8330.5100
  13.850000       0.38659626E-02    8330.5100
  13.900000       0.27087373E-02    8330.5100
  13.950000       0.14355507E-02    8330.5100
  14.000000       0.23483266E-03    8330.5100
  14.050000      -0.28362267E-03    8330.5100
  14.100000      -0.10321633E-03    8330.5100
  14.150000       0.14933961E-03    8330.5100
  14.200000       0.28689417E-03    8330.5100
  14.250000      -0.51750774E-03    8330.5100
  14.300000      -0.17089773E-02    8330.5100
  14.350000      -0.28955631E-02    8330.5100
  14.400000      -0.37989984E-02    8330.5100
  14.450000      -0.36111646E-02    8330.5100
  14.500000      -0.32744901E-02    8330.5100
  14.550000      -0.29882722E-02    8330.5100
  14.600000      -0.33506701E-02    8330.5100
  14.650000      -0.44047575E-02    8330.5100
  14.700000      -0.55206749E-02    8330.5100
  14.750000      -0.65040108E-02    8330.5100
  14.800000      -0.65002010E-02    8330.5100
  14.850000      -0.62322727E-02    8330.5100
  14.900000      -0.59626707E-02    8330.5100
  14.950000      -0.61318531E-02    8330.5100
  15.000000      -0.69857792E-02    8330.5100
  15.050000      -0.78833151E-02    8330.5100
  15.100000      -0.86445487E-02    8330.5100
  15.150000      -0.85173366E-02    8330.5100
  15.200000      -0.81073621E-02    8330.5100
  15.250000      -0.76815884E-02    8330.5100
  15.300000      -0.76788602E-02    8330.5100
  15.350000      -0.82406609E-02    8330.5100
