# data from ifeffit
#------------------------
#   energy         xmu         bkg         k
  8438.0000        1.6030670       0.69495074        6.0500000
  8440.0200        1.6037690       0.69582280        6.1000000
  8442.0000        1.6044900       0.69664914        6.1500000
  8443.9900        1.6047880       0.69745152        6.2000000
  8446.0100        1.6049430       0.69823741        6.2500000
  8448.0000        1.6048840       0.69898370        6.3000000
  8449.9900        1.6051770       0.69970254        6.3500000
  8452.0100        1.6056620       0.70040438        6.4000000
  8454.0100        1.6060600       0.70107190        6.4500000
  8456.0000        1.6064290       0.70170930        6.5000000
  8458.0000        1.6070960       0.70232324        6.5500000
  8459.9900        1.6074370       0.70290781        6.6000000
  8461.9900        1.6077820       0.70346916        6.6500000
  8463.9900        1.6079520       0.70400452        6.7000000
  8465.9900        1.6079770       0.70451415        6.7500000
  8467.9900        1.6076960       0.70499829        6.8000000
  8469.9900        1.6068270       0.70545719        6.8500000
  8471.9900        1.6055700       0.70589112        6.9000000
  8473.9900        1.6042110       0.70630031        6.9500000
  8476.0000        1.6018600       0.70668688        7.0000000
  8478.0000        1.6000740       0.70704724        7.0500000
  8480.0100        1.5971360       0.70738523        7.1000000
  8482.0100        1.5947860       0.70769776        7.1500000
  8483.9900        1.5919660       0.70798403        7.2000000
  8486.0000        1.5897220       0.70825136        7.2500000
  8488.0100        1.5871210       0.70849547        7.3000000
  8489.9900        1.5846970       0.70871350        7.3500000
  8492.0000        1.5820770       0.70891229        7.4000000
  8494.0100        1.5804120       0.70908864        7.4500000
  8495.9900        1.5782170       0.70924065        7.5000000
  8498.0100        1.5762150       0.70937379        7.5500000
  8499.9900        1.5711450       0.70948303        7.6000000
  8509.9900        1.5631490       0.70972189        7.6500000
  8520.0100        1.5558730       0.70946038        7.7000000
  8530.0000        1.5525940       0.70873186        7.7500000
  8540.0100        1.5487290       0.70756474        7.8000000
  8550.0100        1.5461730       0.70599319        7.8500000
  8560.0000        1.5407790       0.70404968        7.9000000
  8569.9900        1.5356250       0.70176405        7.9500000
  8580.0000        1.5278890       0.69916202        8.0000000
  8590.0100        1.5229270       0.69627923        8.0500000
  8600.0000        1.5136710       0.69315357        8.1000000
  8609.9900        1.5084390       0.68981076        8.1500000
  8620.0000        1.5008170       0.68627478        8.2000000
  8630.0000        1.4953940       0.68258727        8.2500000
  8640.0000        1.4884830       0.67877610        8.3000000
  8649.9900        1.4841970       0.67487650        8.3500000
  8660.0000        1.4781120       0.67090797        8.4000000
  8670.0000        1.4736260       0.66691362        8.4500000
  8679.9900        1.4681360       0.66292481        8.5000000
  8690.0100        1.4639910       0.65895697        8.5500000
  8699.9800        1.4575530       0.65507284        8.6000000
  8709.9800        1.4528270       0.65127233        8.6500000
  8720.0100        1.4462450       0.64758773        8.7000000
  8729.9900        1.4416120       0.64407741        8.7500000
  8739.9900        1.4349280       0.64072475        8.8000000
  8749.9900        1.4303190       0.63753294        8.8500000
  8760.0100        1.4243500       0.63449190        8.9000000
  8769.9800        1.4200910       0.63161799        8.9500000
  8779.9800        1.4144470       0.62888355        9.0000000
  8790.0100        1.4090780       0.62628569        9.0500000
  8799.9900        1.4048170       0.62384054        9.1000000
  8809.9900        1.4007240       0.62152615        9.1500000
  8819.9800        1.3951790       0.61934550        9.2000000
  8830.0000        1.3911000       0.61728605        9.2500000
  8840.0100        1.3855690       0.61535222        9.3000000
  8850.0000        1.3817570       0.61354122        9.3500000
  8859.9900        1.3760250       0.61184489        9.4000000
  8870.0000        1.3717440       0.61025600        9.4500000
  8880.0000        1.3663230       0.60877530        9.5000000
  8890.0200        1.3624430       0.60739431        9.5500000
  8899.9900        1.3566890       0.60611807        9.6000000
  8909.9900        1.3527880       0.60493186        9.6500000
  8920.0100        1.3474140       0.60383339        9.7000000
  8929.9900        1.3437720       0.60282480        9.7500000
  8939.9900        1.3381740       0.60189559        9.8000000
  8950.0100        1.3346770       0.60104207        9.8500000
  8959.9900        1.3293900       0.60026493        9.9000000
  8969.9900        1.3256510       0.59955513        9.9500000
  8980.0100        1.3217010       0.59890888        10.000000
  8989.9900        1.3185710       0.59832569        10.050000
  8999.9900        1.3121170       0.59779769        10.100000
  9020.0200        1.3054560       0.59689306        10.150000
  9040.0000        1.2948650       0.59616611        10.200000
  9060.0000        1.2883680       0.59558050        10.250000
  9079.9900        1.2781430       0.59510383        10.300000
  9099.9900        1.2717420       0.59470222        10.350000
  9120.0200        1.2618640       0.59434199        10.400000
  9139.9900        1.2557500       0.59399131        10.450000
  9160.0100        1.2461690       0.59361477        10.500000
  9180.0200        1.2398340       0.59317998        10.550000
  9200.0000        1.2307210       0.59265415        10.600000
  9220.0000        1.2245540       0.59200289        10.650000
  9239.9800        1.2159860       0.59121156        10.700000
  9260.0200        1.2099510       0.59028950        10.750000
  9279.9900        1.2010430       0.58925845        10.800000
  9300.0100        1.1948470       0.58812805        10.850000
  9500.0100        1.1228130       0.57496282        10.900000
  9700.0000        1.0604690       0.56935745        10.950000
  9900.0100       0.99742500       0.58697511        11.000000
