EN	        MUT	       MUT_ERR
8440.02		1.6167769	0.0003168
8438.00		1.6161601	0.0002301
8436.01		1.6153702	0.0002325
8434.00		1.6140448	0.0003918
8432.01		1.6123217	0.0002291
8430.00		1.6103156	0.0002686
8427.99		1.6082238	0.0002940
8426.01		1.6058719	0.0003022
8424.00		1.6041528	0.0003987
8421.99		1.6027430	0.0003996
8420.01		1.6026779	0.0002014
8418.01		1.6052777	0.0003050
8416.00		1.6085221	0.0003463
8413.99		1.6133434	0.0003721
8411.99		1.6195533	0.0003872
8409.99		1.6280639	0.0002608
8407.99		1.6357453	0.0003080
8406.01		1.6457477	0.0002889
8404.01		1.6531667	0.0002857
8401.98		1.6626300	0.0003445
8399.99		1.6693013	0.0003535
8397.99		1.6768860	0.0003372
8395.99		1.6827095	0.0002768
8394.00		1.6889056	0.0002998
8392.00		1.6923093	0.0003422
8390.01		1.6952560	0.0004583
8387.99		1.6963591	0.0002869
8386.00		1.6973863	0.0003178
8384.01		1.6968793	0.0003324
8381.99		1.6962303	0.0003110
8380.00		1.6949141	0.0002606
8378.01		1.6918974	0.0004390
8375.99		1.6869830	0.0004177
8374.01		1.6756947	0.0003969
8371.99		1.6620718	0.0003527
8370.01		1.6385112	0.0003329
8368.00		1.6146365	0.0004029
8365.99		1.5833027	0.0004561
8364.01		1.5594653	0.0003502
8362.00		1.5372180	0.0003918
8359.99		1.5275814	0.0002669
8358.01		1.5299813	0.0004452
8356.00		1.5429933	0.0002587
8354.00		1.5706169	0.0002911
8351.99		1.5971218	0.0003501
8349.99		1.6289711	0.0003501
8347.99		1.6493306	0.0003641
8346.01		1.6727335	0.0003077
8344.01		1.7057210	0.0003604
8344.01		1.7040928	0.0003334
8342.01		1.7717821	0.0003069
8341.00		1.8090675	0.0004175
8339.99		1.8555418	0.0005055
8339.51		1.8812724	0.0003991
8339.00		1.9138537	0.0003022
8338.49		1.9404398	0.0002519
8337.99		1.9706342	0.0003697
8337.51		1.9951482	0.0003785
8337.00		2.0232793	0.0003842
8336.50		2.0449911	0.0003821
8335.99		2.0667051	0.0005294
8335.51		2.0782117	0.0003980
8335.01		2.0837036	0.0002515
8334.50		2.0790315	0.0005461
8334.00		2.0605300	0.0003907
8333.49		2.0328448	0.0003394
8333.01		1.9897616	0.0004496
8332.51		1.9409810	0.0003632
8332.00		1.8744299	0.0004353
8331.49		1.8144022	0.0004344
8330.99		1.7445428	0.0005201
8330.51		1.6829006	0.0004221
8328.49		1.3944163	0.0002422
8328.49		1.3922354	0.0003362
8328.01		1.3276553	0.0004775
8327.51		1.2716282	0.0002287
8327.00		1.2130219	0.0003207
8326.50		1.1651335	0.0002794
8325.99		1.1183116	0.0002611
8325.49		1.0817175	0.0002661
8325.01		1.0486094	0.0003387
8324.51		1.0238050	0.0002653
8324.00		1.0025371	0.0002421
8323.50		0.9887811	0.0002876
8322.99		0.9779892	0.0002997
8322.49		0.9718352	0.0002775
8322.01		0.9670543	0.0002316
8321.51		0.9640618	0.0003162
8321.00		0.9621677	0.0003007
8320.50		0.9616741	0.0003757
8319.99		0.9623318	0.0002916
8319.49		0.9636743	0.0003506
8319.01		0.9650488	0.0002986
8318.51		0.9648347	0.0003046
8318.00		0.9643772	0.0002616
8317.50		0.9621978	0.0002273
8317.00		0.9579405	0.0002410
8316.49		0.9543547	0.0002688
8315.99		0.9510465	0.0002740
8315.51		0.9494850	0.0002899
8315.01		0.9479720	0.0002992
8314.51		0.9468090	0.0002430
8314.00		0.9463759	0.0003126
8313.50		0.9459193	0.0002581
8312.99		0.9458377	0.0002723
8312.49		0.9457028	0.0002260
8311.99		0.9454880	0.0002982
8311.51		0.9458215	0.0002943
8311.01		0.9456998	0.0002640
8310.51		0.9457435	0.0002424
8310.00		0.9456797	0.0002932
8309.50		0.9453170	0.0003372
8309.00		0.9448182	0.0002939
8308.49		0.9445283	0.0002719
8307.99		0.9441110	0.0003208
8307.49		0.9440966	0.0003581
8306.99		0.9437667	0.0003275
8306.51		0.9437812	0.0002799
8300.01		0.9445206	0.0002717
8300.01		0.9425930	0.0002812
8259.99		0.9544534	0.0002806
8219.99		0.9650120	0.0004270
8180.01		0.9823685	0.0003538
8100.01		1.0076667	0.0005800
8000.01		1.0512844	0.0003811
7500.01		1.2811187	0.0005449
7500.01		1.2791059	0.0005584
