# data from ifeffit
#------------------------
#   k         chi         chi       dchi         win
  10.800000      -0.39716506E-02  -0.39716506E-02   0.28907331E-02    0.0000000
  10.850000      -0.52699033E-02  -0.52699033E-02   0.29854273E-02    0.0000000
  10.900000      -0.53228276E-02  -0.53228276E-02   0.30080579E-02    0.0000000
  10.950000      -0.35888696E-02  -0.35888696E-02   0.29230390E-02    0.0000000
  11.000000      -0.16067867E-02  -0.16067867E-02   0.28380201E-02    0.0000000
  11.050000       0.34309946E-03   0.34309946E-03   0.27530013E-02    0.0000000
  11.100000       0.19804671E-02   0.19804671E-02   0.26679824E-02    0.0000000
  11.150000       0.18144464E-02   0.18144464E-02   0.27639430E-02    0.0000000
  11.200000       0.36856301E-03   0.36856301E-03   0.29494185E-02    0.0000000
  11.250000      -0.13736822E-02  -0.13736822E-02   0.31348940E-02    0.0000000
  11.300000      -0.31653792E-02  -0.31653792E-02   0.33203695E-02    0.0000000
  11.350000      -0.47596178E-02  -0.47596178E-02   0.35058451E-02    0.0000000
  11.400000      -0.35305192E-02  -0.35305192E-02   0.33049185E-02    0.0000000
  11.450000      -0.14024471E-02  -0.14024471E-02   0.30798388E-02    0.0000000
  11.500000       0.11058367E-02   0.11058367E-02   0.28547591E-02    0.0000000
  11.550000       0.37646553E-02   0.37646553E-02   0.26296794E-02    0.0000000
  11.600000       0.63443316E-02   0.63443316E-02   0.24045998E-02    0.0000000
  11.650000       0.86151886E-02   0.86151886E-02   0.21795201E-02    0.0000000
  11.700000       0.10346168E-01   0.10346168E-01   0.19987513E-02    0.0000000
  11.750000       0.78168781E-02   0.78168781E-02   0.24405108E-02    0.0000000
  11.800000       0.47988233E-02   0.47988233E-02   0.28822703E-02    0.0000000
  11.850000       0.15331604E-02   0.15331604E-02   0.33240298E-02    0.0000000
  11.900000      -0.17389541E-02  -0.17389541E-02   0.37657893E-02    0.0000000
  11.950000      -0.47763637E-02  -0.47763637E-02   0.42075489E-02    0.0000000
  12.000000      -0.73379118E-02  -0.73379118E-02   0.46493084E-02    0.0000000
  12.050000      -0.78443643E-02  -0.78443643E-02   0.47039130E-02    0.0000000
  12.100000      -0.51924975E-02  -0.51924975E-02   0.42531883E-02    0.0000000
  12.150000      -0.20829717E-02  -0.20829717E-02   0.38024636E-02    0.0000000
  12.200000       0.11992583E-02   0.11992583E-02   0.33517389E-02    0.0000000
  12.250000       0.43692377E-02   0.43692377E-02   0.29010142E-02    0.0000000
  12.300000       0.71420115E-02   0.71420115E-02   0.24502895E-02    0.0000000
  12.350000       0.92326250E-02   0.92326250E-02   0.19995648E-02    0.0000000
  12.400000       0.68158959E-02   0.68158959E-02   0.21948403E-02    0.0000000
  12.450000       0.31922644E-02   0.31922644E-02   0.24140156E-02    0.0000000
  12.500000      -0.78547508E-03  -0.78547508E-03   0.26331910E-02    0.0000000
  12.550000      -0.47916561E-02  -0.47916561E-02   0.28523663E-02    0.0000000
  12.600000      -0.85006124E-02  -0.85006124E-02   0.30715417E-02    0.0000000
  12.650000      -0.11586678E-01  -0.11586678E-01   0.32907170E-02    0.0000000
  12.700000      -0.11374905E-01  -0.11374905E-01   0.32350411E-02    0.0000000
  12.750000      -0.85992082E-02  -0.85992082E-02   0.30528685E-02    0.0000000
  12.800000      -0.52648335E-02  -0.52648335E-02   0.28706960E-02    0.0000000
  12.850000      -0.16813454E-02  -0.16813454E-02   0.26885234E-02    0.0000000
  12.900000       0.18416921E-02   0.18416921E-02   0.25063509E-02    0.0000000
  12.950000       0.49947146E-02   0.49947146E-02   0.23241783E-02    0.0000000
  13.000000       0.59823458E-02   0.59823458E-02   0.27356951E-02    0.0000000
  13.050000       0.45064598E-02   0.45064598E-02   0.35888808E-02    0.0000000
  13.100000       0.25207678E-02   0.25207678E-02   0.44420665E-02    0.0000000
  13.150000       0.24354052E-03   0.24354052E-03   0.52952522E-02    0.0000000
  13.200000      -0.21069510E-02  -0.21069510E-02   0.61484379E-02    0.0000000
  13.250000      -0.43124358E-02  -0.43124358E-02   0.70016235E-02    0.0000000
  13.300000      -0.47052253E-02  -0.47052253E-02   0.70270778E-02    0.0000000
  13.350000      -0.26747497E-02  -0.26747497E-02   0.64054759E-02    0.0000000
  13.400000      -0.19107723E-03  -0.19107723E-03   0.57838740E-02    0.0000000
  13.450000       0.25497099E-02   0.25497099E-02   0.51622721E-02    0.0000000
  13.500000       0.53515295E-02   0.53515295E-02   0.45406702E-02    0.0000000
  13.550000       0.80182992E-02   0.80182992E-02   0.39190683E-02    0.0000000
  13.600000       0.10353937E-01   0.10353937E-01   0.32974664E-02    0.0000000
  13.650000       0.12162360E-01   0.12162360E-01   0.26758645E-02    0.0000000
  13.700000       0.10807742E-01   0.10807742E-01   0.28762484E-02    0.0000000
  13.750000       0.72250089E-02   0.72250089E-02   0.33608505E-02    0.0000000
  13.800000       0.32008727E-02   0.32008727E-02   0.38454527E-02    0.0000000
