# data from ifeffit
#------------------------
#   pre         bkg         e0
  70.423801        71.423466        20006.008
  70.692104        71.402567        20006.008
  71.029455        71.383789        20006.008
  74.129120        71.175532        20006.008
  74.249111        71.154442        20006.008
  74.399161        71.133181        20006.008
  74.510578        71.111967        20006.008
  74.530253        71.090655        20006.008
  74.552698        71.069392        20006.008
  74.534042        71.050228        20006.008
  74.432351        71.028920        20006.008
  74.281664        71.007589        20006.008
  74.144123        70.986161        20006.008
  73.891261        70.964785        20006.008
  70.159963        70.751821        20006.008
  69.789800        70.732382        20006.008
  69.502372        70.710850        20006.008
  69.320533        70.689153        20006.008
  69.128542        70.667513        20006.008
  68.948751        70.645783        20006.008
  68.829166        70.624112        20006.008
  68.727615        70.602426        20006.008
  68.657358        70.582889        20006.008
  68.656239        70.561176        20006.008
  68.719260        70.539374        20006.008
  69.361866        70.323395        20006.008
  69.311167        70.301546        20006.008
  69.349528        70.281868        20006.008
  69.381622        70.260003        20006.008
  69.383502        70.238131        20006.008
  69.380094        70.216176        20006.008
  69.373178        70.194289        20006.008
  69.387386        70.172321        20006.008
  69.409768        70.150497        20006.008
  69.421926        70.130776        20006.008
  69.479338        70.108791        20006.008
  69.633255        69.891547        20006.008
  69.669336        69.869535        20006.008
  69.670229        69.849784        20006.008
  69.751498        69.827847        20006.008
  69.796146        69.805911        20006.008
  69.855037        69.783977        20006.008
  69.957745        69.761969        20006.008
  70.052666        69.740038        20006.008
  70.173623        69.720220        20006.008
  70.283052        69.698295        20006.008
  70.366178        69.676373        20006.008
  71.790437        69.459472        20006.008
  71.897248        69.439794        20006.008
  72.009880        69.417871        20006.008
  72.075575        69.396033        20006.008
  72.113206        69.374129        20006.008
  72.163571        69.352385        20006.008
  72.184785        69.330502        20006.008
  72.171207        69.310876        20006.008
  72.134169        69.289088        20006.008
  72.027482        69.267238        20006.008
  71.979749        69.245474        20006.008
  70.518695        69.032689        20006.008
  70.321683        69.011085        20006.008
  70.124014        68.989499        20006.008
  69.910167        68.967930        20006.008
  69.750789        68.948526        20006.008
  69.510156        68.926918        20006.008
  69.286563        68.905403        20006.008
  69.072770        68.883905        20006.008
  68.885236        68.862427        20006.008
  68.684883        68.843104        20006.008
  68.520608        68.821587        20006.008
  66.673267        68.612240        20006.008
  66.539153        68.590919        20006.008
  66.414880        68.569690        20006.008
  66.318280        68.548406        20006.008
  66.237013        68.527285        20006.008
  66.166160        68.506037        20006.008
  66.092215        68.486987        20006.008
  66.050412        68.465845        20006.008
  66.007252        68.444649        20006.008
  65.964326        68.423616        20006.008
  65.987819        68.402456        20006.008
  65.647624        68.196576        20006.008
  65.588313        68.177761        20006.008
  65.568571        68.156809        20006.008
  65.591937        68.135946        20006.008
  65.595616        68.115028        20006.008
  65.628171        68.094200        20006.008
  65.634273        68.075463        20006.008
  65.671649        68.054668        20006.008
  65.677868        68.033890        20006.008
  65.759686        68.013058        20006.008
  65.833979        67.992316        20006.008
  65.917811        67.973655        20006.008
  66.951132        67.771214        20006.008
  67.391796        67.570486        20006.008
  67.322727        67.550110        20006.008
  67.338450        67.529682        20006.008
  67.346592        67.509410        20006.008
  67.362604        67.489015        20006.008
  67.345169        67.470730        20006.008
  67.358726        67.450437        20006.008
  67.331985        67.430091        20006.008
  67.320274        67.409831        20006.008
  67.286557        67.391535        20006.008
  67.297584        67.371376        20006.008
  68.794683        66.977851        20006.008
  69.061579        66.957891        20006.008
  69.207318        66.939996        20006.008
  69.415864        66.920136        20006.008
  69.683483        66.900291        20006.008
  69.948315        66.880394        20006.008
  70.045287        66.862555        20006.008
  70.223261        66.842757        20006.008
  70.388413        66.822975        20006.008
  70.606221        66.803208        20006.008
  70.804005        66.783390        20006.008
  71.159978        66.592474        20006.008
  71.037352        66.572892        20006.008
  70.934238        66.553258        20006.008
  70.803512        66.535655        20006.008
  70.610079        66.516118        20006.008
  70.428155        66.496530        20006.008
  70.266316        66.477091        20006.008
  70.032548        66.457534        20006.008
  69.839483        66.439999        20006.008
  69.615631        66.420538        20006.008
  69.418630        66.401025        20006.008
  66.256716        66.213044        20006.008
  65.780851        66.193762        20006.008
  65.425973        66.174429        20006.008
  65.072406        66.155243        20006.008
  64.763267        66.137922        20006.008
  64.436430        66.118632        20006.008
  64.137145        66.099424        20006.008
  63.825894        66.080164        20006.008
  63.547656        66.062896        20006.008
  63.243960        66.043731        20006.008
  62.946719        66.024581        20006.008
  61.203142        65.839376        20006.008
  61.203988        65.820384        20006.008
  61.211347        65.746381        20006.008
  61.523585        65.672600        20006.008
  62.020993        65.599039        20006.008
  62.447260        65.525695        20006.008
  62.950690        65.162195        20006.008
  63.161292        65.092028        20006.008
  63.430727        65.020163        20006.008
  63.777862        64.948503        20006.008
  64.167635        64.877048        20006.008
  64.732491        64.805796        20006.008
  66.630102        64.454375        20006.008
  66.717123        64.384241        20006.008
  66.723918        64.314360        20006.008
  66.596164        64.244731        20006.008
  66.554566        64.176941        20006.008
  66.543169        64.107683        20006.008
  65.845452        63.765592        20006.008
  65.598519        63.697361        20006.008
  65.204514        63.629306        20006.008
  64.762738        63.563157        20006.008
  64.240887        63.495447        20006.008
  63.589850        63.427908        20006.008
  61.075700        63.096200        20006.008
  60.685154        63.029652        20006.008
  60.366112        62.963264        20006.008
  60.076612        62.898725        20006.008
  59.816174        62.832651        20006.008
  59.630153        62.768414        20006.008
  60.833923        62.442811        20006.008
  61.135633        62.379390        20006.008
  61.489113        62.314567        20006.008
  61.744591        62.251424        20006.008
  62.046781        62.186882        20006.008
  62.362059        62.124125        20006.008
  63.358559        61.807063        20006.008
  63.391501        61.743404        20006.008
  63.421362        61.681549        20006.008
  63.389794        61.618143        20006.008
  63.341337        61.556477        20006.008
  63.319335        61.493318        20006.008
  62.285441        61.184173        20006.008
  62.060886        61.123255        20006.008
  61.923765        61.060964        20006.008
  61.861317        61.000317        20006.008
  61.816697        60.938189        20006.008
  61.727565        60.877807        20006.008
  60.347960        60.573914        20006.008
  60.004009        60.514120        20006.008
  59.678368        60.452799        20006.008
  59.494569        60.393135        20006.008
  59.391790        60.333560        20006.008
  59.380015        60.272515        20006.008
  59.242446        59.974847        20006.008
  59.070991        59.915854        20006.008
  58.944914        59.855448        20006.008
