 name:     molybdenum                                             Feff 8.20
 formula:  Mo
 sites:    Mo1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, bcc
 POT  SCF  20  4.0092   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=42 Rmt= 1.509 Rnm= 1.565 K  shell
 Pot 1 Z=42 Rmt= 1.479 Rnm= 1.530
 Gam_ch=5.613E+00 H-L exch
 Mu=-8.794E+00 kf=2.129E+00 Vint=-2.037E+01 Rs_int= 1.704
 PATH  Rmax= 6.014,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   19      icalc       2
 -----------------------------------------------------------------------
   4  48.000   5.8728    2.8926   -8.79445 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  42 Mo       absorbing atom
     0.0000    0.0000   -3.1472  1  42 Mo    
     0.0000    0.0000    0.0000  0  42 Mo    
     1.5736    1.5736    1.5736  1  42 Mo    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.800  8.7302E+00  7.8931E-02 -1.4200E+01  1.133E+00  5.1780E+00  1.9208E+00
  0.900  8.7030E+00  8.2876E-02 -1.4759E+01  1.132E+00  5.2697E+00  1.9627E+00
  1.000  8.6729E+00  8.4709E-02 -1.5283E+01  1.131E+00  5.3641E+00  2.0086E+00
  1.100  8.6400E+00  8.4569E-02 -1.5775E+01  1.130E+00  5.4589E+00  2.0584E+00
  1.200  8.6041E+00  8.2675E-02 -1.6238E+01  1.130E+00  5.5521E+00  2.1119E+00
  1.300  8.5654E+00  7.9318E-02 -1.6672E+01  1.130E+00  5.6415E+00  2.1690E+00
  1.400  8.5237E+00  7.4800E-02 -1.7077E+01  1.131E+00  5.7255E+00  2.2294E+00
  1.500  8.4789E+00  6.9405E-02 -1.7450E+01  1.132E+00  5.8027E+00  2.2931E+00
  1.600  8.4309E+00  6.3397E-02 -1.7787E+01  1.134E+00  5.8721E+00  2.3599E+00
  1.700  8.3796E+00  5.7025E-02 -1.8084E+01  1.136E+00  5.9335E+00  2.4299E+00
  1.800  8.3245E+00  5.0539E-02 -1.8336E+01  1.139E+00  5.9872E+00  2.5029E+00
  1.900  8.2655E+00  4.4194E-02 -1.8536E+01  1.142E+00  6.0344E+00  2.5790E+00
  2.000  8.2021E+00  3.8260E-02 -1.8677E+01  1.146E+00  6.0769E+00  2.6581E+00
  2.200  8.0604E+00  2.8596E-02 -1.8768E+01  1.153E+00  6.1607E+00  2.8258E+00
  2.400  7.8889E+00  2.2568E-02 -1.8559E+01  1.159E+00  6.2769E+00  3.0102E+00
  2.600  7.6687E+00  1.9057E-02 -1.8165E+01  1.266E+00  5.2482E+00  3.2174E+00
  2.800  7.5934E+00  2.4428E-02 -1.8458E+01  1.376E+00  4.4224E+00  3.3733E+00
  3.000  7.5496E+00  4.1194E-02 -1.8807E+01  1.405E+00  4.1352E+00  3.5132E+00
  3.200  7.4671E+00  6.4034E-02 -1.8988E+01  1.409E+00  4.0075E+00  3.6639E+00
  3.400  7.3703E+00  8.5604E-02 -1.9110E+01  1.400E+00  3.9721E+00  3.8200E+00
  3.600  7.2621E+00  9.6290E-02 -1.9195E+01  1.376E+00  3.9930E+00  3.9810E+00
  3.800  7.1472E+00  9.3436E-02 -1.9246E+01  1.353E+00  4.0520E+00  4.1463E+00
  4.000  7.0274E+00  8.0312E-02 -1.9243E+01  1.324E+00  4.1389E+00  4.3154E+00
  4.200  6.9048E+00  6.3683E-02 -1.9173E+01  1.299E+00  4.2471E+00  4.4880E+00
  4.400  6.7810E+00  4.8281E-02 -1.9016E+01  1.271E+00  4.3724E+00  4.6636E+00
  4.600  6.6565E+00  3.7045E-02 -1.8777E+01  1.247E+00  4.5120E+00  4.8418E+00
  4.800  6.5324E+00  2.9673E-02 -1.8484E+01  1.225E+00  4.6635E+00  5.0224E+00
  5.000  6.4089E+00  2.5211E-02 -1.8152E+01  1.204E+00  4.8253E+00  5.2050E+00
  5.200  6.2865E+00  2.3242E-02 -1.7799E+01  1.186E+00  4.9963E+00  5.3894E+00
  5.400  6.1653E+00  2.4027E-02 -1.7463E+01  1.169E+00  5.1754E+00  5.5754E+00
  5.600  6.0453E+00  2.7341E-02 -1.7209E+01  1.152E+00  5.3617E+00  5.7628E+00
  5.800  5.9266E+00  3.2241E-02 -1.7066E+01  1.137E+00  5.5548E+00  5.9514E+00
  6.000  5.8087E+00  3.7705E-02 -1.7018E+01  1.122E+00  5.7539E+00  6.1412E+00
  6.500  5.5159E+00  4.9281E-02 -1.7129E+01  1.084E+00  6.2755E+00  6.6194E+00
  7.000  5.2274E+00  5.4274E-02 -1.7381E+01  1.051E+00  6.8271E+00  7.1022E+00
  7.500  4.9499E+00  5.3281E-02 -1.7660E+01  1.026E+00  7.4045E+00  7.5883E+00
  8.000  4.6843E+00  4.8446E-02 -1.7911E+01  1.007E+00  8.0050E+00  8.0770E+00
  8.500  4.4280E+00  4.1591E-02 -1.8121E+01  9.925E-01  8.6262E+00  8.5677E+00
  9.000  4.1804E+00  3.4460E-02 -1.8284E+01  9.805E-01  9.2664E+00  9.0599E+00
  9.500  3.9435E+00  2.8820E-02 -1.8399E+01  9.707E-01  9.9241E+00  9.5534E+00
 10.000  3.7180E+00  2.5231E-02 -1.8485E+01  9.632E-01  1.0598E+01  1.0048E+01
 11.000  3.2944E+00  2.1683E-02 -1.8707E+01  9.535E-01  1.1991E+01  1.1039E+01
 12.000  2.9014E+00  1.8764E-02 -1.9078E+01  9.465E-01  1.3439E+01  1.2033E+01
 13.000  2.5402E+00  1.5003E-02 -1.9525E+01  9.428E-01  1.4935E+01  1.3027E+01
 14.000  2.2031E+00  1.0952E-02 -2.0001E+01  9.403E-01  1.6477E+01  1.4023E+01
 15.000  1.8916E+00  7.5205E-03 -2.0440E+01  9.383E-01  1.8060E+01  1.5020E+01
 16.000  1.5999E+00  4.9651E-03 -2.0803E+01  9.360E-01  1.9680E+01  1.6018E+01
 17.000  1.3250E+00  3.5557E-03 -2.1081E+01  9.334E-01  2.1337E+01  1.7016E+01
 18.000  1.0664E+00  3.0994E-03 -2.1335E+01  9.322E-01  2.3026E+01  1.8014E+01
 19.000  8.2101E-01  3.5656E-03 -2.2076E+01  9.315E-01  2.4747E+01  1.9012E+01
 20.000  5.9052E-01  2.9397E-03 -2.3426E+01  9.317E-01  2.6496E+01  2.0011E+01
 21.000  3.7133E-01  2.6373E-03 -2.5232E+01  9.321E-01  2.8273E+01  2.1010E+01
 22.000  1.6489E-01  4.1825E-03 -2.6825E+01  9.330E-01  3.0076E+01  2.2009E+01
 23.000 -3.2470E-02  5.6494E-03 -2.8043E+01  9.340E-01  3.1903E+01  2.3008E+01
 24.000 -2.1862E-01  6.3319E-03 -2.9098E+01  9.352E-01  3.3754E+01  2.4008E+01
 25.000 -3.9590E-01  6.7794E-03 -3.0079E+01  9.365E-01  3.5627E+01  2.5007E+01
