                             K                           CHI                       CHI_ERR
            0.0000000000000000           -0.0619000010192394            0.0156044904142618
            0.0500000007450581           -0.0571999996900558            0.0156044904142618
            0.1000000014901161           -0.0524999983608723            0.0156044904142618
            0.1500000059604645           -0.0478000007569790            0.0156044904142618
            0.2000000029802322           -0.0430999994277954            0.0156044904142618
            0.2500000000000000           -0.0384000018239021            0.0156044904142618
            0.3000000119209290           -0.0337000004947186            0.0156044904142618
            0.3499999940395355           -0.0289999991655350            0.0156044904142618
            0.4000000059604645           -0.0242999996989965            0.0156044904142618
            0.4499999880790710           -0.0196000002324581            0.0044448124244809
            0.5000000000000000           -0.0148999998345971            0.0044448124244809
            0.5500000119209290           -0.0102000003680587            0.0044448124244809
            0.6000000238418579           -0.0054500000551343            0.0044448124244809
            0.6499999761581421           -0.0056199999526143            0.0044448124244809
            0.6999999880790710           -0.0179999992251396            0.0007581838872284
            0.7500000000000000           -0.0305000003427267            0.0007581838872284
            0.8000000119209290           -0.0417999997735023            0.0007581838872284
            0.8500000238418579           -0.0516000017523766            0.0015846729511395
            0.8999999761581421           -0.0612999983131886            0.0015846729511395
            0.9499999880790710           -0.0608000010251999            0.0015846729511395
            1.0000000000000000           -0.0586999990046024            0.0037350715138018
            1.0499999523162842           -0.0494000017642975            0.0037350715138018
            1.1000000238418579           -0.0326000005006790            0.0037350715138018
            1.1499999761581421           -0.0097200004383922            0.0013500028289855
            1.2000000476837158            0.0153000000864267            0.0013500028289855
            1.2500000000000000            0.0392000004649162            0.0031007842626423
            1.2999999523162842            0.0718000009655952            0.0031007842626423
            1.3500000238418579            0.1106999963521957            0.0005090493359603
            1.3999999761581421            0.1348000019788742            0.0005090493359603
            1.4500000476837158            0.1596000045537949            0.0002047417219728
            1.5000000000000000            0.1967000067234039            0.0002047417219728
            1.5499999523162842            0.2387000024318695            0.0010732092196122
            1.6000000238418579            0.2827999889850616            0.0032093138433993
            1.6499999761581421            0.3215999901294708            0.0032093138433993
            1.7000000476837158            0.3497000038623810            0.0010194729547948
            1.7500000000000000            0.4027999937534332            0.0010194729547948
            1.7999999523162842            0.4435999989509583            0.0019116743933409
            1.8500000238418579            0.4607999920845032            0.0017998989205807
            1.8999999761581421            0.4573999941349030            0.0037969341501594
            1.9500000476837158            0.4347999989986420            0.0037969341501594
            2.0000000000000000            0.4029999971389771            0.0013234328944236
            2.0499999523162842            0.3474000096321106            0.0019736604299396
            2.0999999046325684            0.2691000103950500            0.0019396144198254
            2.1500000953674316            0.1958999931812286            0.0019396144198254
            2.2000000476837158            0.1129999980330467            0.0011656323913485
            2.2500000000000000            0.0872000008821487            0.0018844665028155
            2.2999999523162842            0.0524999983608723            0.0034038897138089
            2.3499999046325684            0.0152000002563000            0.0034804630558938
            2.4000000953674316           -0.0097099998965859            0.0016525279497728
            2.4500000476837158           -0.0254999995231628            0.0008297695312649
            2.5000000000000000           -0.0272000003606081            0.0016272675711662
            2.5499999523162842           -0.0485000014305115            0.0017296982696280
