# data from ifeffit
#------------------------
#   k         chi         chi       dchi         win
  1.7000000       0.21519587       0.20733216       0.26543699E-02    0.0000000
  1.7500000       0.21602039       0.20257254       0.25461267E-02    0.0000000
  1.8000000       0.19105525       0.19520699       0.27644769E-02    0.0000000
  1.8500000       0.17022084       0.18507923       0.43194797E-02    0.0000000
  1.9000000       0.16113050       0.17190143       0.26953145E-02   0.66986993E-01
  1.9500000       0.13427685       0.15419011       0.26134926E-02   0.24999894
  2.0000000       0.12297401       0.13348218       0.28070906E-02   0.49999817
  2.0500000       0.84611996E-01   0.11012128       0.28062978E-02   0.74999788
  2.1000000       0.77460045E-01   0.84569516E-01   0.26906194E-02   0.93301117
  2.1500000       0.45586818E-01   0.54789218E-01   0.27353389E-02   1.00000000
  2.2000000       0.69790272E-02   0.23769101E-01   0.28444246E-02    1.0000000
  2.2500000      -0.13964705E-01  -0.74102263E-02   0.28203521E-02    1.0000000
  2.3000000      -0.20161072E-01  -0.37859016E-01   0.26854953E-02    1.0000000
  2.3500000      -0.53718094E-01  -0.67951013E-01   0.27743024E-02    1.0000000
  2.4000000      -0.76310384E-01  -0.95518523E-01   0.27841111E-02    1.0000000
  2.4500000      -0.97986335E-01  -0.11935771       0.29785352E-02    1.0000000
  2.5000000      -0.10168564      -0.13891462       0.34054602E-02    1.0000000
  2.5500000      -0.12931953      -0.15411176       0.27809160E-02    1.0000000
  2.6000000      -0.14639075      -0.16430174       0.27805910E-02    1.0000000
  2.6500000      -0.16102456      -0.16932477       0.31285212E-02    1.0000000
  2.7000000      -0.17326594      -0.16949913       0.57170424E-02    1.0000000
  2.7500000      -0.16639653      -0.16518711       0.36691437E-02    1.0000000
  2.8000000      -0.17337462      -0.15683280       0.33005302E-02    1.0000000
  2.8500000      -0.16746628      -0.14525147       0.45983724E-02    1.0000000
  2.9000000      -0.14891507      -0.13122010       0.41778315E-02    1.0000000
  2.9500000      -0.13233036      -0.11506866       0.29021016E-02    1.0000000
  3.0000000      -0.10796606      -0.97088484E-01   0.28384685E-02    1.0000000
  3.0500000      -0.81370360E-01  -0.78588938E-01   0.27953569E-02    1.0000000
  3.1000000      -0.55632965E-01  -0.60215129E-01   0.28178275E-02    1.0000000
  3.1500000      -0.24741119E-01  -0.42893017E-01   0.28169827E-02    1.0000000
  3.2000000       0.89347836E-02  -0.26854673E-01   0.27881090E-02    1.0000000
  3.2500000       0.26718611E-01  -0.11198328E-01   0.29145349E-02    1.0000000
  3.3000000       0.36420274E-01   0.36427181E-02   0.29856937E-02    1.0000000
  3.3500000       0.47270056E-01   0.17474934E-01   0.28177419E-02    1.0000000
  3.4000000       0.54349799E-01   0.30657241E-01   0.32256446E-02    1.0000000
  3.4500000       0.62060524E-01   0.42306683E-01   0.36478502E-02    1.0000000
  3.5000000       0.77435812E-01   0.52278746E-01   0.31144835E-02    1.0000000
  3.5500000       0.84444785E-01   0.60519434E-01   0.31014536E-02    1.0000000
  3.6000000       0.89358188E-01   0.67242820E-01   0.31727542E-02    1.0000000
  3.6500000       0.10068353       0.72112896E-01   0.30556899E-02    1.0000000
  3.7000000       0.10304698       0.75117790E-01   0.30341499E-02    1.0000000
  3.7500000       0.95105986E-01   0.76274705E-01   0.30290677E-02    1.0000000
  3.8000000       0.83752787E-01   0.75727147E-01   0.30081443E-02    1.0000000
  3.8500000       0.93703638E-01   0.73410821E-01   0.27484499E-02    1.0000000
  3.9000000       0.84643789E-01   0.69400893E-01   0.27838333E-02    1.0000000
  3.9500000       0.63800511E-01   0.63819859E-01   0.29219890E-02    1.0000000
  4.0000000       0.55327126E-01   0.56933868E-01   0.29733682E-02    1.0000000
  4.0500000       0.44326002E-01   0.48861323E-01   0.29825233E-02    1.0000000
  4.1000000       0.22861487E-01   0.39871075E-01   0.37517580E-02    1.0000000
  4.1500000       0.13595169E-01   0.30269412E-01   0.34643599E-02    1.0000000
  4.2000000       0.14654456E-01   0.20210502E-01   0.29875692E-02    1.0000000
  4.2500000       0.52291645E-02   0.10115909E-01   0.28633276E-02    1.0000000
  4.3000000      -0.98956506E-02   0.37801740E-03   0.29897563E-02    1.0000000
  4.3500000      -0.18653892E-01  -0.86404681E-02   0.28867589E-02    1.0000000
  4.4000000      -0.16013638E-01  -0.16851918E-01   0.27281319E-02    1.0000000
  4.4500000      -0.14166703E-01  -0.23851624E-01   0.27912063E-02    1.0000000
  4.5000000      -0.29152016E-01  -0.29431219E-01   0.28342025E-02    1.0000000
  4.5500000      -0.32863453E-01  -0.33479373E-01   0.28606315E-02    1.0000000
  4.6000000      -0.20464852E-01  -0.35961299E-01   0.27486925E-02    1.0000000
  4.6500000      -0.27828172E-01  -0.36967544E-01   0.27532925E-02    1.0000000
  4.7000000      -0.35062416E-01  -0.36639192E-01   0.27770113E-02    1.0000000
  4.7500000      -0.44484215E-01  -0.35182003E-01   0.28238983E-02    1.0000000
  4.8000000      -0.54043203E-01  -0.32865051E-01   0.28414668E-02    1.0000000
  4.8500000      -0.52800683E-01  -0.29935840E-01   0.28401723E-02    1.0000000
  4.9000000      -0.46099295E-01  -0.26676918E-01   0.29012894E-02    1.0000000
  4.9500000      -0.38988120E-01  -0.23356753E-01   0.29687798E-02    1.0000000
  5.0000000      -0.43416945E-01  -0.20184158E-01   0.27728166E-02    1.0000000
  5.0500000      -0.38119552E-01  -0.17342857E-01   0.27297749E-02    1.0000000
  5.1000000      -0.33928330E-01  -0.14953976E-01   0.28185004E-02    1.0000000
  5.1500000      -0.30269151E-01  -0.13060759E-01   0.30755736E-02    1.0000000
  5.2000000      -0.21233726E-01  -0.11646022E-01   0.61215858E-02    1.0000000
  5.2500000      -0.92218498E-02  -0.10624887E-01   0.28744563E-02    1.0000000
  5.3000000       0.37482034E-02  -0.98513733E-02   0.28903628E-02    1.0000000
  5.3500000      -0.78598643E-02  -0.91465748E-02   0.29076476E-02    1.0000000
  5.4000000      -0.66765257E-02  -0.83556774E-02   0.29000967E-02    1.0000000
  5.4500000      -0.26767065E-02  -0.72846771E-02   0.27866613E-02    1.0000000
  5.5000000      -0.40388151E-03  -0.57713146E-02   0.28855012E-02    1.0000000
  5.5500000       0.28522919E-02  -0.37101884E-02   0.28082301E-02    1.0000000
