# data from ifeffit
#------------------------
#   k         chi         chi       dchi         win
  4.8500000      -0.52800683E-01  -0.36240621E-01   0.28401723E-02    1.0000000
  4.9000000      -0.46099295E-01  -0.35878177E-01   0.29012894E-02    1.0000000
  4.9500000      -0.38988120E-01  -0.34527300E-01   0.29687798E-02    1.0000000
  5.0000000      -0.43416945E-01  -0.32298769E-01   0.27728166E-02    1.0000000
  5.0500000      -0.38119552E-01  -0.29132044E-01   0.27297749E-02    1.0000000
  5.1000000      -0.33928330E-01  -0.25184336E-01   0.28185004E-02    1.0000000
  5.1500000      -0.30269151E-01  -0.20706679E-01   0.30755736E-02    1.0000000
  5.2000000      -0.21233726E-01  -0.16041631E-01   0.61215858E-02    1.0000000
  5.2500000      -0.92218498E-02  -0.11467427E-01   0.28744563E-02    1.0000000
  5.3000000       0.37482034E-02  -0.73036208E-02   0.28903628E-02    1.0000000
  5.3500000      -0.78598643E-02  -0.38213159E-02   0.29076476E-02    1.0000000
  5.4000000      -0.66765257E-02  -0.12043875E-02   0.29000967E-02    1.0000000
  5.4500000      -0.26767065E-02   0.47903406E-03   0.27866613E-02    1.0000000
  5.5000000      -0.40388151E-03   0.12831662E-02   0.28855012E-02    1.0000000
  5.5500000       0.28522919E-02   0.13812517E-02   0.28082301E-02    1.0000000
  5.6000000       0.73675771E-02   0.10596044E-02   0.28191029E-02    1.0000000
  5.6500000       0.66227746E-02   0.63884038E-03   0.28628380E-02    1.0000000
  5.7000000       0.43711550E-02   0.46758729E-03   0.28050884E-02    1.0000000
  5.7500000       0.34492955E-02   0.86206250E-03   0.27464764E-02    1.0000000
  5.8000000       0.65970390E-02   0.20828749E-02   0.27015339E-02    1.0000000
  5.8500000       0.99714677E-02   0.42553674E-02   0.27580644E-02    1.0000000
  5.9000000       0.13670764E-01   0.73647213E-02   0.27797549E-02    1.0000000
  5.9500000       0.21089791E-01   0.11250021E-01   0.49999354E-02    1.0000000
  6.0000000       0.24313346E-01   0.15664882E-01   0.28486006E-02    1.0000000
  6.0500000       0.26659418E-01   0.20195319E-01   0.28505838E-02    1.0000000
  6.1000000       0.31310752E-01   0.24381526E-01   0.27552426E-02    1.0000000
  6.1500000       0.30279347E-01   0.27775043E-01   0.28222229E-02    1.0000000
  6.2000000       0.32068461E-01   0.29982691E-01   0.27460941E-02    1.0000000
  6.2500000       0.29132964E-01   0.30715496E-01   0.28394597E-02    1.0000000
  6.3000000       0.30292162E-01   0.29824084E-01   0.29097346E-02    1.0000000
