 Ferrocene PUBLISHED DATA                                         Feff 8.10
 Abs   Z=26 Rmt= 1.254 Rnm= 1.300 K  shell
 Pot 1 Z= 6 Rmt= 0.847 Rnm= 1.043
 Pot 2 Z= 1 Rmt= 0.763 Rnm= 0.924
 Gam_ch=1.309E+00 H-L exch
 Mu= 5.790E+00 kf=2.396E+00 Vint=-1.608E+01 Rs_int= 1.514
 S02  1.000                                        Global sig2  0.00100
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    7145.536     35.660   2.800  8.20751E-01  9.59115E-01 -1.44925E-01
    7146.612     36.736   2.850  8.31889E-01  9.62699E-01 -1.36617E-01
    7147.708     37.832   2.900  8.42338E-01  9.66283E-01 -1.29075E-01
    7148.822     38.946   2.950  8.52938E-01  9.69867E-01 -1.21417E-01
    7149.956     40.080   3.000  8.64475E-01  9.73450E-01 -1.12834E-01
    7151.108     41.232   3.050  8.76286E-01  9.75355E-01 -1.02338E-01
    7152.280     42.404   3.100  8.89187E-01  9.77261E-01 -9.07661E-02
    7153.470     43.594   3.150  9.03263E-01  9.79166E-01 -7.80413E-02
    7154.680     44.804   3.200  9.18394E-01  9.81071E-01 -6.42925E-02
    7155.909     46.033   3.250  9.32644E-01  9.83260E-01 -5.17778E-02
    7157.156     47.280   3.300  9.48014E-01  9.85449E-01 -3.81899E-02
    7158.423     48.547   3.350  9.64137E-01  9.87638E-01 -2.39088E-02
    7159.709     49.833   3.400  9.80517E-01  9.89827E-01 -9.44609E-03
    7161.014     51.138   3.450  9.96460E-01  9.91627E-01  4.88675E-03
    7162.338     52.462   3.500  1.01251E+00  9.93428E-01  1.92353E-02
    7163.681     53.805   3.550  1.02804E+00  9.95228E-01  3.29602E-02
    7165.043     55.167   3.600  1.04241E+00  9.97029E-01  4.54457E-02
    7166.424     56.548   3.650  1.05691E+00  9.99059E-01  5.77477E-02
    7167.824     57.948   3.700  1.06991E+00  1.00109E+00  6.84859E-02
    7169.244     59.368   3.750  1.08099E+00  1.00312E+00  7.72495E-02
    7170.682     60.806   3.800  1.08986E+00  1.00515E+00  8.37723E-02
    7172.139     62.263   3.850  1.09780E+00  1.00704E+00  8.94680E-02
    7173.616     63.740   3.900  1.10346E+00  1.00893E+00  9.29004E-02
    7175.111     65.235   3.950  1.10687E+00  1.01082E+00  9.41007E-02
    7176.626     66.750   4.000  1.10814E+00  1.01270E+00  9.32037E-02
    7178.159     68.283   4.050  1.10849E+00  1.01460E+00  9.14362E-02
    7179.712     69.836   4.100  1.10694E+00  1.01649E+00  8.78403E-02
    7181.283     71.407   4.150  1.10370E+00  1.01838E+00  8.26180E-02
    7182.874     72.998   4.200  1.09899E+00  1.02027E+00  7.60125E-02
    7184.484     74.608   4.250  1.09316E+00  1.02190E+00  6.86426E-02
    7186.112     76.236   4.300  1.08609E+00  1.02353E+00  6.01311E-02
    7187.760     77.884   4.350  1.07799E+00  1.02516E+00  5.06606E-02
    7189.427     79.551   4.400  1.06904E+00  1.02678E+00  4.04255E-02
    7191.113     81.237   4.450  1.05895E+00  1.02793E+00  2.96227E-02
    7192.818     82.942   4.500  1.04833E+00  1.02908E+00  1.83614E-02
    7194.542     84.666   4.550  1.03743E+00  1.03023E+00  6.85406E-03
    7196.285     86.409   4.600  1.02647E+00  1.03138E+00 -4.66400E-03
    7198.047     88.171   4.650  1.01492E+00  1.03187E+00 -1.60937E-02
    7199.828     89.952   4.700  1.00387E+00  1.03236E+00 -2.70414E-02
    7201.629     91.753   4.750  9.93593E-01  1.03286E+00 -3.72291E-02
    7203.448     93.572   4.800  9.84394E-01  1.03335E+00 -4.63821E-02
    7205.286     95.410   4.850  9.75882E-01  1.03332E+00 -5.44214E-02
    7207.143     97.267   4.900  9.68899E-01  1.03329E+00 -6.10138E-02
    7209.020     99.144   4.950  9.63616E-01  1.03326E+00 -6.59958E-02
    7210.915    101.039   5.000  9.60147E-01  1.03323E+00 -6.92589E-02
    7212.830    102.954   5.050  9.57793E-01  1.03258E+00 -7.09442E-02
    7214.763    104.887   5.100  9.57250E-01  1.03193E+00 -7.09126E-02
    7216.716    106.840   5.150  9.58451E-01  1.03128E+00 -6.92243E-02
    7218.688    108.812   5.200  9.61274E-01  1.03063E+00 -6.59885E-02
    7220.678    110.802   5.250  9.64768E-01  1.02921E+00 -6.14165E-02
    7222.688    112.812   5.300  9.69572E-01  1.02779E+00 -5.55779E-02
    7224.717    114.841   5.350  9.75494E-01  1.02636E+00 -4.86504E-02
    7226.765    116.889   5.400  9.82329E-01  1.02494E+00 -4.08239E-02
    7228.832    118.956   5.450  9.89571E-01  1.02317E+00 -3.22650E-02
    7230.918    121.042   5.500  9.97364E-01  1.02141E+00 -2.31368E-02
    7233.023    123.147   5.550  1.00550E+00  1.01964E+00 -1.36410E-02
    7235.147    125.271   5.600  1.01375E+00  1.01787E+00 -3.98677E-03
    7237.290    127.414   5.650  1.02173E+00  1.01581E+00  5.74026E-03
    7239.452    129.576   5.700  1.02939E+00  1.01375E+00  1.52040E-02
    7241.633    131.757   5.750  1.03648E+00  1.01169E+00  2.41556E-02
    7243.834    133.958   5.800  1.04274E+00  1.00963E+00  3.23453E-02
    7246.053    136.177   5.850  1.04784E+00  1.00738E+00  3.96313E-02
    7248.291    138.415   5.900  1.05161E+00  1.00514E+00  4.56473E-02
