 name:     molybdenum                                             Feff 8.20
 formula:  Mo
 sites:    Mo1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, bcc
 POT  SCF  20  4.0092   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=42 Rmt= 1.509 Rnm= 1.565 K  shell
 Pot 1 Z=42 Rmt= 1.479 Rnm= 1.530
 Gam_ch=5.613E+00 H-L exch
 Mu=-8.794E+00 kf=2.129E+00 Vint=-2.037E+01 Rs_int= 1.704
 PATH  Rmax= 6.014,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   17      icalc       2
 -----------------------------------------------------------------------
   3  48.000   5.5459    2.8926   -8.79445 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  42 Mo       absorbing atom
    -1.5736    1.5736    4.7208  1  42 Mo    
    -1.5736    1.5736    1.5736  1  42 Mo    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  6.000  5.8087E+00  1.3349E-02 -2.9115E+01  1.122E+00  5.7539E+00  6.1412E+00
  6.500  5.5159E+00  2.0884E-02 -2.9438E+01  1.084E+00  6.2755E+00  6.6194E+00
  7.000  5.2274E+00  2.7220E-02 -2.9957E+01  1.051E+00  6.8271E+00  7.1022E+00
  7.500  4.9499E+00  2.8578E-02 -3.0470E+01  1.026E+00  7.4045E+00  7.5883E+00
  8.000  4.6843E+00  2.4974E-02 -3.1026E+01  1.007E+00  8.0050E+00  8.0770E+00
  8.500  4.4280E+00  1.8461E-02 -3.1695E+01  9.925E-01  8.6262E+00  8.5677E+00
  9.000  4.1804E+00  1.3925E-02 -3.2735E+01  9.805E-01  9.2664E+00  9.0599E+00
  9.500  3.9435E+00  1.8981E-02 -3.3822E+01  9.707E-01  9.9241E+00  9.5534E+00
 10.000  3.7180E+00  2.9184E-02 -3.4447E+01  9.632E-01  1.0598E+01  1.0048E+01
 11.000  3.2944E+00  4.7190E-02 -3.5225E+01  9.535E-01  1.1991E+01  1.1039E+01
 12.000  2.9014E+00  5.6088E-02 -3.5823E+01  9.465E-01  1.3439E+01  1.2033E+01
 13.000  2.5402E+00  5.5355E-02 -3.6348E+01  9.428E-01  1.4935E+01  1.3027E+01
 14.000  2.2031E+00  4.7871E-02 -3.6823E+01  9.403E-01  1.6477E+01  1.4023E+01
 15.000  1.8916E+00  3.6796E-02 -3.7244E+01  9.383E-01  1.8060E+01  1.5020E+01
 16.000  1.5999E+00  2.5236E-02 -3.7563E+01  9.360E-01  1.9680E+01  1.6018E+01
 17.000  1.3250E+00  1.6423E-02 -3.7704E+01  9.334E-01  2.1337E+01  1.7016E+01
 18.000  1.0664E+00  1.2250E-02 -3.7657E+01  9.322E-01  2.3026E+01  1.8014E+01
 19.000  8.2101E-01  1.0538E-02 -3.7647E+01  9.315E-01  2.4747E+01  1.9012E+01
 20.000  5.9052E-01  9.7351E-03 -3.7625E+01  9.317E-01  2.6496E+01  2.0011E+01
 21.000  3.7133E-01  1.0001E-02 -3.7655E+01  9.321E-01  2.8273E+01  2.1010E+01
 22.000  1.6489E-01  1.0760E-02 -3.7767E+01  9.330E-01  3.0076E+01  2.2009E+01
 23.000 -3.2470E-02  1.1559E-02 -3.7963E+01  9.340E-01  3.1903E+01  2.3008E+01
 24.000 -2.1862E-01  1.2024E-02 -3.8238E+01  9.352E-01  3.3754E+01  2.4008E+01
 25.000 -3.9590E-01  1.1981E-02 -3.8529E+01  9.365E-01  3.5627E+01  2.5007E+01
