 name:     molybdenum                                             Feff 8.20
 formula:  Mo
 sites:    Mo1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, bcc
 POT  SCF  20  4.0092   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=42 Rmt= 1.509 Rnm= 1.565 K  shell
 Pot 1 Z=42 Rmt= 1.479 Rnm= 1.530
 Gam_ch=5.613E+00 H-L exch
 Mu=-8.794E+00 kf=2.129E+00 Vint=-2.037E+01 Rs_int= 1.704
 PATH  Rmax= 6.014,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    2      icalc       2
 -----------------------------------------------------------------------
   2   6.000   3.1472    2.8926   -8.79445 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  42 Mo       absorbing atom
     0.0000    0.0000   -3.1472  1  42 Mo    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  3.400  7.3703E+00  6.4386E-01 -1.7212E+01  1.400E+00  3.9721E+00  3.8200E+00
  3.600  7.2621E+00  6.5463E-01 -1.7315E+01  1.376E+00  3.9930E+00  3.9810E+00
  3.800  7.1472E+00  6.3315E-01 -1.7396E+01  1.353E+00  4.0520E+00  4.1463E+00
  4.000  7.0274E+00  5.9017E-01 -1.7449E+01  1.324E+00  4.1389E+00  4.3154E+00
  4.200  6.9048E+00  5.3303E-01 -1.7466E+01  1.299E+00  4.2471E+00  4.4880E+00
  4.400  6.7810E+00  4.7076E-01 -1.7440E+01  1.271E+00  4.3724E+00  4.6636E+00
  4.600  6.6565E+00  4.1298E-01 -1.7364E+01  1.247E+00  4.5120E+00  4.8418E+00
  4.800  6.5324E+00  3.6684E-01 -1.7235E+01  1.225E+00  4.6635E+00  5.0224E+00
  5.000  6.4089E+00  3.3961E-01 -1.7059E+01  1.204E+00  4.8253E+00  5.2050E+00
  5.200  6.2865E+00  3.3449E-01 -1.6868E+01  1.186E+00  4.9963E+00  5.3894E+00
  5.400  6.1653E+00  3.5005E-01 -1.6695E+01  1.169E+00  5.1754E+00  5.5754E+00
  5.600  6.0453E+00  3.8032E-01 -1.6563E+01  1.152E+00  5.3617E+00  5.7628E+00
  5.800  5.9266E+00  4.1932E-01 -1.6476E+01  1.137E+00  5.5548E+00  5.9514E+00
  6.000  5.8087E+00  4.6224E-01 -1.6427E+01  1.122E+00  5.7539E+00  6.1412E+00
  6.500  5.5159E+00  5.6739E-01 -1.6407E+01  1.084E+00  6.2755E+00  6.6194E+00
  7.000  5.2274E+00  6.4940E-01 -1.6463E+01  1.051E+00  6.8271E+00  7.1022E+00
  7.500  4.9499E+00  7.0611E-01 -1.6551E+01  1.026E+00  7.4045E+00  7.5883E+00
  8.000  4.6843E+00  7.4160E-01 -1.6648E+01  1.007E+00  8.0050E+00  8.0770E+00
  8.500  4.4280E+00  7.5873E-01 -1.6750E+01  9.925E-01  8.6262E+00  8.5677E+00
  9.000  4.1804E+00  7.5874E-01 -1.6856E+01  9.805E-01  9.2664E+00  9.0599E+00
  9.500  3.9435E+00  7.4702E-01 -1.6963E+01  9.707E-01  9.9241E+00  9.5534E+00
 10.000  3.7180E+00  7.2822E-01 -1.7070E+01  9.632E-01  1.0598E+01  1.0048E+01
 11.000  3.2944E+00  6.7277E-01 -1.7280E+01  9.535E-01  1.1991E+01  1.1039E+01
 12.000  2.9014E+00  6.0659E-01 -1.7489E+01  9.465E-01  1.3439E+01  1.2033E+01
