# data from ifeffit
#------------------------
#   k         chi       k         chi         dchi         win
  1.2500000      -0.21945546        1.2500000      -0.37809822E-02   0.24545888E-01    0.0000000
  1.3000000      -0.75113932E-01    1.3000000       0.35341751E-01   0.25058655E-01    0.0000000
  1.3500000       0.68322835E-01    1.3500000       0.72813933E-01   0.25030671E-01    0.0000000
  1.4000000       0.20639631        1.4000000       0.11283095       0.24661851E-01    0.0000000
  1.4500000       0.34499225        1.4500000       0.15678201       0.24748792E-01    0.0000000
  1.5000000       0.46979425        1.5000000       0.20398024       0.25076592E-01    0.0000000
  1.5500000       0.57368549        1.5500000       0.25764457       0.25252609E-01    0.0000000
  1.6000000       0.65475019        1.6000000       0.29863523       0.24948510E-01    0.0000000
  1.6500000       0.71310033        1.6500000       0.33776320       0.24930965E-01    0.0000000
  1.7000000       0.74412662        1.7000000       0.36413527       0.24225479E-01    0.0000000
  1.7500000       0.74938124        1.7500000       0.37322317       0.24276777E-01    0.0000000
  1.8000000       0.73229370        1.8000000       0.35773205       0.25034679E-01    0.0000000
  1.8500000       0.69192864        1.8500000       0.31983868       0.24070842E-01    0.0000000
  1.9000000       0.63507154        1.9000000       0.26881470       0.24630577E-01    0.0000000
  1.9500000       0.56840659        1.9500000       0.19101022       0.24561483E-01    0.0000000
  2.0000000       0.49706033        2.0000000       0.13857843       0.24407489E-01    0.0000000
  2.0500000       0.41978635        2.0500000       0.84976222E-01   0.24448499E-01    0.0000000
  2.1000000       0.34507399        2.1000000       0.29100565E-01   0.24276014E-01    0.0000000
  2.1500000       0.27672682        2.1500000      -0.24952554E-02   0.24253561E-01    0.0000000
  2.2000000       0.21595529        2.2000000      -0.22026915E-01   0.24511360E-01    0.0000000
  2.2500000       0.15941286        2.2500000      -0.40413259E-01   0.24775499E-01    0.0000000
  2.3000000       0.11015909        2.3000000      -0.51194313E-01   0.23997443E-01    0.0000000
  2.3500000       0.67528615E-01    2.3500000      -0.60185423E-01   0.23902885E-01    0.0000000
  2.4000000       0.29919578E-01    2.4000000      -0.64068723E-01   0.24566071E-01    0.0000000
  2.4500000      -0.60800468E-02    2.4500000      -0.69135683E-01   0.24281902E-01    0.0000000
  2.5000000      -0.39401094E-01    2.5000000      -0.75064148E-01   0.24044681E-01    0.0000000
  2.5500000      -0.70264229E-01    2.5500000      -0.79418152E-01   0.24172612E-01    0.0000000
  2.6000000      -0.98713213E-01    2.6000000      -0.85197679E-01   0.24042202E-01    0.0000000
  2.6500000      -0.12569114        2.6500000      -0.93198912E-01   0.23806786E-01    0.0000000
  2.7000000      -0.14859364        2.7000000      -0.99342021E-01   0.23967600E-01    0.0000000
  2.7500000      -0.16650583        2.7500000      -0.10614198       0.23715746E-01    0.0000000
  2.8000000      -0.17905348        2.8000000      -0.10899277       0.23801489E-01    0.0000000
  2.8500000      -0.18442433        2.8500000      -0.11385421       0.23609353E-01    0.0000000
  2.9000000      -0.18352132        2.9000000      -0.11668069       0.23524090E-01    0.0000000
  2.9500000      -0.17787710        2.9500000      -0.11906781       0.23942424E-01    0.0000000
  3.0000000      -0.16915031        3.0000000      -0.11853480       0.22944834E-01    0.0000000
  3.0500000      -0.16227473        3.0500000      -0.11764419       0.23857538E-01    0.0000000
  3.1000000      -0.15455782        3.1000000      -0.11427387       0.23405479E-01    0.0000000
  3.1500000      -0.14589472        3.1500000      -0.10919315       0.23472184E-01    0.0000000
  3.2000000      -0.13623660        3.2000000      -0.10126963       0.23282216E-01    0.0000000
  3.2500000      -0.12659182        3.2500000      -0.91625048E-01   0.24242018E-01    0.0000000
  3.3000000      -0.11669614        3.3000000      -0.81858497E-01   0.23582762E-01    0.0000000
  3.3500000      -0.10605476        3.3500000      -0.73187156E-01   0.23693027E-01   0.89232366E-30
  3.4000000      -0.94276696E-01    3.4000000      -0.59547669E-01   0.22919309E-01   0.66986993E-01
  3.4500000      -0.82233847E-01    3.4500000      -0.48319503E-01   0.23265255E-01   0.24999894
  3.5000000      -0.69005034E-01    3.5000000      -0.37150374E-01   0.23431199E-01   0.49999817
  3.5500000      -0.54458147E-01    3.5500000      -0.24607683E-01   0.23488225E-01   0.74999788
  3.6000000      -0.38784865E-01    3.6000000      -0.12304871E-01   0.23111459E-01   0.93301117
  3.6500000      -0.22687038E-01    3.6500000       0.19757816E-02   0.23202119E-01   1.00000000
  3.7000000      -0.61456989E-02    3.7000000       0.17942736E-01   0.22700022E-01    1.0000000
  3.7500000       0.10355356E-01    3.7500000       0.29766498E-01   0.22821729E-01    1.0000000
  3.8000000       0.26245261E-01    3.8000000       0.39934461E-01   0.23006441E-01    1.0000000
  3.8500000       0.41069162E-01    3.8500000       0.49749876E-01   0.22249196E-01    1.0000000
  3.9000000       0.54361885E-01    3.9000000       0.58847540E-01   0.22587295E-01    1.0000000
  3.9500000       0.65700354E-01    3.9500000       0.67454676E-01   0.22392636E-01    1.0000000
  4.0000000       0.74777851E-01    4.0000000       0.73300702E-01   0.22833320E-01    1.0000000
  4.0500000       0.81714063E-01    4.0500000       0.78545539E-01   0.22453221E-01    1.0000000
  4.1000000       0.86135191E-01    4.1000000       0.84087470E-01   0.22315085E-01    1.0000000
  4.1500000       0.88035251E-01    4.1500000       0.86801143E-01   0.22621917E-01    1.0000000
  4.2000000       0.87543365E-01    4.2000000       0.87987304E-01   0.22312871E-01    1.0000000
  4.2500000       0.85171889E-01    4.2500000       0.88129718E-01   0.22320956E-01    1.0000000
  4.3000000       0.80901493E-01    4.3000000       0.85817986E-01   0.22172216E-01    1.0000000
  4.3500000       0.74993862E-01    4.3500000       0.82793656E-01   0.21961179E-01    1.0000000
  4.4000000       0.67764604E-01    4.4000000       0.78206869E-01   0.21757344E-01    1.0000000
  4.4500000       0.59605786E-01    4.4500000       0.70966359E-01   0.21596067E-01    1.0000000
  4.5000000       0.50642182E-01    4.5000000       0.63666074E-01   0.21859645E-01    1.0000000
  4.5500000       0.41176375E-01    4.5500000       0.55107538E-01   0.21661503E-01    1.0000000
  4.6000000       0.31497720E-01    4.6000000       0.45687239E-01   0.21562671E-01    1.0000000
  4.6500000       0.21982041E-01    4.6500000       0.36041152E-01   0.21106745E-01    1.0000000
  4.7000000       0.12673075E-01    4.7000000       0.25888202E-01   0.21253754E-01    1.0000000
  4.7500000       0.37406257E-02    4.7500000       0.14369953E-01   0.21279085E-01    1.0000000
  4.8000000      -0.46678568E-02    4.8000000       0.36345691E-02   0.20928736E-01    1.0000000
  4.8500000      -0.12585645E-01    4.8500000      -0.41349494E-02   0.21294041E-01    1.0000000
  4.9000000      -0.19838132E-01    4.9000000      -0.13123383E-01   0.20185049E-01    1.0000000
  4.9500000      -0.26334543E-01    4.9500000      -0.22271998E-01   0.20650355E-01    1.0000000
  5.0000000      -0.32006856E-01    5.0000000      -0.29583441E-01   0.20400193E-01    1.0000000
  5.0500000      -0.37016382E-01    5.0500000      -0.35709306E-01   0.19757294E-01    1.0000000
  5.1000000      -0.41107920E-01    5.1000000      -0.41236947E-01   0.18931417E-01    1.0000000
  5.1500000      -0.44201488E-01    5.1500000      -0.44813420E-01   0.18994271E-01    1.0000000
