# data from ifeffit
#------------------------
#   k         chi       k         chi         dchi         win
  3.6500000      -0.28102847E-01    3.6500000       0.19757816E-02   0.23202119E-01   1.00000000
  3.7000000      -0.11930513E-01    3.7000000       0.17942736E-01   0.22700022E-01    1.0000000
  3.7500000       0.44437843E-02    3.7500000       0.29766498E-01   0.22821729E-01    1.0000000
  3.8000000       0.20447142E-01    3.8000000       0.39934461E-01   0.23006441E-01    1.0000000
  3.8500000       0.35527462E-01    3.8500000       0.49749876E-01   0.22249196E-01    1.0000000
  3.9000000       0.49269907E-01    3.9000000       0.58847540E-01   0.22587295E-01    1.0000000
  3.9500000       0.61196524E-01    3.9500000       0.67454676E-01   0.22392636E-01    1.0000000
  4.0000000       0.70951277E-01    4.0000000       0.73300702E-01   0.22833320E-01    1.0000000
  4.0500000       0.78418698E-01    4.0500000       0.78545539E-01   0.22453221E-01    1.0000000
  4.1000000       0.83574341E-01    4.1000000       0.84087470E-01   0.22315085E-01    1.0000000
  4.1500000       0.86181637E-01    4.1500000       0.86801143E-01   0.22621917E-01    1.0000000
  4.2000000       0.86340121E-01    4.2000000       0.87987304E-01   0.22312871E-01    1.0000000
  4.2500000       0.84365556E-01    4.2500000       0.88129718E-01   0.22320956E-01    1.0000000
  4.3000000       0.80588268E-01    4.3000000       0.85817986E-01   0.22172216E-01    1.0000000
  4.3500000       0.75089439E-01    4.3500000       0.82793656E-01   0.21961179E-01    1.0000000
  4.4000000       0.68185183E-01    4.4000000       0.78206869E-01   0.21757344E-01    1.0000000
  4.4500000       0.60239290E-01    4.4500000       0.70966359E-01   0.21596067E-01    1.0000000
  4.5000000       0.51497108E-01    4.5000000       0.63666074E-01   0.21859645E-01    1.0000000
  4.5500000       0.42187959E-01    4.5500000       0.55107538E-01   0.21661503E-01    1.0000000
  4.6000000       0.32611960E-01    4.6000000       0.45687239E-01   0.21562671E-01    1.0000000
  4.6500000       0.23093518E-01    4.6500000       0.36041152E-01   0.21106745E-01    1.0000000
  4.7000000       0.13831017E-01    4.7000000       0.25888202E-01   0.21253754E-01    1.0000000
  4.7500000       0.49196931E-02    4.7500000       0.14369953E-01   0.21279085E-01    1.0000000
  4.8000000      -0.34871536E-02    4.8000000       0.36345691E-02   0.20928736E-01    1.0000000
  4.8500000      -0.11340386E-01    4.8500000      -0.41349494E-02   0.21294041E-01    1.0000000
  4.9000000      -0.18602234E-01    4.9000000      -0.13123383E-01   0.20185049E-01    1.0000000
  4.9500000      -0.25123538E-01    4.9500000      -0.22271998E-01   0.20650355E-01    1.0000000
  5.0000000      -0.30837453E-01    5.0000000      -0.29583441E-01   0.20400193E-01    1.0000000
  5.0500000      -0.35796550E-01    5.0500000      -0.35709306E-01   0.19757294E-01    1.0000000
  5.1000000      -0.39961961E-01    5.1000000      -0.41236947E-01   0.18931417E-01    1.0000000
  5.1500000      -0.43151597E-01    5.1500000      -0.44813420E-01   0.18994271E-01    1.0000000
  5.2000000      -0.45306833E-01    5.2000000      -0.47071493E-01   0.18010941E-01    1.0000000
  5.2500000      -0.46498393E-01    5.2500000      -0.48701629E-01   0.18035108E-01    1.0000000
  5.3000000      -0.46692472E-01    5.3000000      -0.48224036E-01   0.17132342E-01    1.0000000
  5.3500000      -0.45742842E-01    5.3500000      -0.46922514E-01   0.16462571E-01    1.0000000
  5.4000000      -0.43655607E-01    5.4000000      -0.45078404E-01   0.16036593E-01    1.0000000
  5.4500000      -0.40526711E-01    5.4500000      -0.41931361E-01   0.16134166E-01    1.0000000
  5.5000000      -0.36412413E-01    5.5000000      -0.37906172E-01   0.15927869E-01    1.0000000
  5.5500000      -0.31381321E-01    5.5500000      -0.33380855E-01   0.15426616E-01    1.0000000
  5.6000000      -0.25600195E-01    5.6000000      -0.28595557E-01   0.15329811E-01    1.0000000
  5.6500000      -0.19268190E-01    5.6500000      -0.22402548E-01   0.15221630E-01    1.0000000
  5.7000000      -0.12563104E-01    5.7000000      -0.16356151E-01   0.15071755E-01    1.0000000
  5.7500000      -0.57113800E-02    5.7500000      -0.10739510E-01   0.15286205E-01    1.0000000
  5.8000000       0.10473283E-02    5.8000000      -0.47654844E-02   0.14697094E-01    1.0000000
