# data from ifeffit
#------------------------
#   k         chi         dchi         e0
  58.108182      -0.11860519E-01   0.87369047E-03    20006.008
  58.109317      -0.12215006E-01   0.82751261E-03    20006.008
  58.110455      -0.12394410E-01   0.77193776E-03    20006.008
  58.111590      -0.11795716E-01   0.72631988E-03    20006.008
  58.112725      -0.10368326E-01   0.66401413E-03    20006.008
  58.113860      -0.81682710E-02   0.60252520E-03    20006.008
  58.114999      -0.45590778E-02   0.54835880E-03    20006.008
  58.116020      -0.47919607E-03   0.46575196E-03    20006.008
  58.117155       0.50519836E-02   0.35355179E-03    20006.008
  58.118294       0.11391443E-01   0.38489590E-03    20006.008
  58.119425       0.15373254E-01   0.50521849E-03    20006.008
  58.120564       0.20501720E-01   0.48971597E-03    20006.008
  58.121699       0.25767362E-01   0.47045322E-03    20006.008
  58.122839       0.31034155E-01   0.45311500E-03    20006.008
  58.123970       0.36471087E-01   0.41882792E-03    20006.008
  58.125109       0.41147226E-01   0.39205766E-03    20006.008
  58.126244       0.46487533E-01   0.38070238E-03    20006.008
  58.127383       0.52109968E-01   0.36340239E-03    20006.008
  58.128519       0.57840529E-01   0.30707761E-03    20006.008
  58.129654       0.64979269E-01   0.43276403E-03    20006.008
  58.130676       0.69894687E-01   0.55228794E-03    20006.008
  58.131812       0.75977223E-01   0.53592882E-03    20006.008
  58.132951       0.82410239E-01   0.50862277E-03    20006.008
  58.134086       0.87764313E-01   0.49441524E-03    20006.008
  58.135222       0.92510194E-01   0.44509407E-03    20006.008
  58.136358       0.96594120E-01   0.41415758E-03    20006.008
  58.137497       0.99521673E-01   0.38582055E-03    20006.008
  58.138633       0.10056241       0.35143180E-03    20006.008
  58.139772       0.99044592E-01   0.40713330E-03    20006.008
  58.140904       0.97494763E-01   0.36745990E-03    20006.008
  58.142044       0.92558583E-01   0.13064024E-02    20006.008
  58.143179       0.85320767E-01   0.12482740E-02    20006.008
  58.144202       0.77470071E-01   0.12099962E-02    20006.008
  58.145342       0.68067373E-01   0.11581497E-02    20006.008
  58.146474       0.57881502E-01   0.11404493E-02    20006.008
  58.147614       0.46830238E-01   0.10832741E-02    20006.008
  58.148750       0.36211886E-01   0.10570409E-02    20006.008
  58.149889       0.25576777E-01   0.98416149E-03    20006.008
  58.151025       0.15462784E-01   0.92322984E-03    20006.008
  58.152161       0.71052426E-02   0.57644021E-03    20006.008
  58.163419      -0.37178407E-01   0.51557463E-03    20006.008
  58.164559      -0.37874941E-01   0.82601090E-03    20006.008
  58.165695      -0.37840758E-01   0.80471022E-03    20006.008
  58.166836      -0.37295881E-01   0.80319364E-03    20006.008
  58.167859      -0.35519080E-01   0.80472849E-03    20006.008
  58.168992      -0.34436481E-01   0.81391554E-03    20006.008
  58.170132      -0.32295737E-01   0.82454466E-03    20006.008
  58.171269      -0.30073543E-01   0.82011959E-03    20006.008
  58.172410      -0.27365639E-01   0.82014814E-03    20006.008
  58.173546      -0.23697501E-01   0.83843568E-03    20006.008
  58.174683      -0.20439151E-01   0.72946018E-03    20006.008
  58.185951      -0.35710212E-02   0.40710598E-03    20006.008
  58.187089      -0.37951162E-02   0.93155759E-03    20006.008
  58.188230      -0.53465686E-02   0.99868103E-03    20006.008
  58.189367      -0.62110699E-02   0.13459660E-02    20006.008
  58.190391      -0.79621624E-02   0.15854636E-02    20006.008
  58.191528      -0.92513106E-02   0.14119761E-02    20006.008
  58.192665      -0.10830113E-01   0.90600505E-03    20006.008
  58.193807      -0.12113673E-01   0.90509339E-03    20006.008
  58.194944      -0.14048967E-01   0.94338079E-03    20006.008
  58.196086      -0.16390969E-01   0.90883269E-03    20006.008
  58.197219      -0.17580308E-01   0.37981442E-03    20006.008
  58.208494      -0.33088974E-01   0.56060760E-03    20006.008
  58.209632      -0.34191910E-01   0.10306731E-02    20006.008
  58.210657      -0.34114857E-01   0.98700103E-03    20006.008
  58.211799      -0.33228603E-01   0.98776890E-03    20006.008
  58.212937      -0.31838743E-01   0.93950351E-03    20006.008
  58.214075      -0.29986884E-01   0.95371654E-03    20006.008
  58.215213      -0.27630084E-01   0.90456976E-03    20006.008
  58.216355      -0.24785640E-01   0.88392563E-03    20006.008
  58.217493      -0.21476355E-01   0.88072281E-03    20006.008
  58.218635      -0.17525189E-01   0.84861264E-03    20006.008
  58.219660      -0.12633076E-01   0.62494121E-03    20006.008
  58.230942       0.32949154E-01   0.92635902E-03    20006.008
  58.232077       0.34887597E-01   0.12048803E-02    20006.008
  58.233219       0.37250512E-01   0.11885751E-02    20006.008
  58.234358       0.39077529E-01   0.11827502E-02    20006.008
  58.235500       0.39629262E-01   0.11524985E-02    20006.008
  58.236639       0.40221476E-01   0.10631824E-02    20006.008
  58.237665       0.40214640E-01   0.10692395E-02    20006.008
  58.238803       0.39078994E-01   0.10743750E-02    20006.008
  58.239942       0.37260949E-01   0.10252225E-02    20006.008
  58.241085       0.35628869E-01   0.10735724E-02    20006.008
  58.242224       0.32385992E-01   0.65007734E-03    20006.008
  58.253513      -0.16904731E-01   0.62009196E-03    20006.008
  58.254539      -0.21824279E-01   0.90470610E-03    20006.008
  58.255674      -0.25556367E-01   0.90787788E-03    20006.008
  58.256818      -0.27806000E-01   0.88627604E-03    20006.008
  58.257957      -0.30198678E-01   0.88159014E-03    20006.008
  58.259101      -0.32418836E-01   0.90116680E-03    20006.008
  58.260240      -0.33794503E-01   0.90351970E-03    20006.008
  58.261380      -0.34916104E-01   0.90031490E-03    20006.008
  58.262406      -0.35627698E-01   0.90828870E-03    20006.008
  58.263545      -0.35336252E-01   0.88870625E-03    20006.008
  58.264689      -0.34140454E-01   0.96092497E-03    20006.008
  58.275985      -0.21921003E-01   0.85074394E-03    20006.008
  58.277125      -0.22305622E-01   0.93780508E-03    20006.008
  58.278152      -0.21465651E-01   0.95124509E-03    20006.008
  58.279292      -0.20679274E-01   0.96500321E-03    20006.008
  58.280432      -0.20317722E-01   0.93675234E-03    20006.008
  58.281576      -0.20028226E-01   0.92917537E-03    20006.008
  58.282716      -0.19788055E-01   0.92562991E-03    20006.008
  58.283860      -0.19246810E-01   0.92933033E-03    20006.008
  58.284997      -0.18590802E-01   0.92014592E-03    20006.008
  58.286023      -0.18110833E-01   0.92136258E-03    20006.008
  58.287168      -0.16953917E-01   0.89454954E-03    20006.008
  58.298467      -0.11297322E-01   0.74738116E-03    20006.008
  58.299612      -0.10426375E-01   0.92618981E-03    20006.008
  58.300639      -0.10091034E-01   0.94752112E-03    20006.008
  58.301780      -0.85765868E-02   0.91426024E-03    20006.008
  58.302921      -0.75810602E-02   0.91840975E-03    20006.008
  58.304062      -0.63815465E-02   0.90568636E-03    20006.008
  58.305207      -0.45557887E-02   0.91887610E-03    20006.008
  58.306348      -0.28401889E-02   0.90661147E-03    20006.008
  58.307379      -0.78729315E-03   0.91682872E-03    20006.008
  58.308520       0.11386360E-02   0.90370779E-03    20006.008
  58.309661       0.26916938E-02   0.97381985E-03    20006.008
  58.320968       0.26753886E-01   0.11892169E-02    20006.008
  58.321995       0.28627169E-01   0.10461564E-02    20006.008
  58.323141       0.30624850E-01   0.10779921E-02    20006.008
  58.324282       0.31950833E-01   0.10732933E-02    20006.008
  58.325428       0.32877289E-01   0.10542997E-02    20006.008
