# data from ifeffit
#------------------------
#   k         chi       k         chi         dchi         win
  6.9500000      -0.11013954E-01    6.9500000      -0.17339440E-01   0.81830662E-02    1.0000000
  7.0000000      -0.13568563E-01    7.0000000      -0.19336705E-01   0.29325998E-01    1.0000000
  7.0500000      -0.15574270E-01    7.0500000      -0.19422396E-01   0.21220851E-01    1.0000000
  7.1000000      -0.17012662E-01    7.1000000      -0.20176993E-01   0.16774958E-01    1.0000000
  7.1500000      -0.17886284E-01    7.1500000      -0.20076070E-01   0.14035901E-01    1.0000000
  7.2000000      -0.18216063E-01    7.2000000      -0.18972673E-01   0.12426280E-01    1.0000000
  7.2500000      -0.18037962E-01    7.2500000      -0.18707181E-01   0.11127214E-01    1.0000000
  7.3000000      -0.17399268E-01    7.3000000      -0.17821064E-01   0.10313625E-01    1.0000000
  7.3500000      -0.16354924E-01    7.3500000      -0.15727103E-01   0.92652880E-02    1.0000000
  7.4000000      -0.14964248E-01    7.4000000      -0.13296077E-01   0.87079614E-02    1.0000000
  7.4500000      -0.13274950E-01    7.4500000      -0.11464291E-01   0.79743485E-02    1.0000000
  7.5000000      -0.11319662E-01    7.5000000      -0.92695656E-02   0.74845456E-02    1.0000000
  7.5500000      -0.91960013E-02    7.5500000      -0.69626145E-02   0.71046637E-02    1.0000000
  7.6000000      -0.69681228E-02    7.6000000      -0.40101648E-02   0.67566763E-02    1.0000000
  7.6500000      -0.46974519E-02    7.6500000      -0.16828208E-02   0.64463625E-02    1.0000000
  7.7000000      -0.24422544E-02    7.7000000       0.10712556E-02   0.63492746E-02    1.0000000
  7.7500000      -0.25725071E-03    7.7500000       0.43272418E-02   0.62065438E-02    1.0000000
  7.8000000       0.18068721E-02    7.8000000       0.58433204E-02   0.60763059E-02    1.0000000
  7.8500000       0.37041335E-02    7.8500000       0.74317994E-02   0.59958689E-02    1.0000000
  7.9000000       0.53941191E-02    7.9000000       0.93929982E-02   0.59536279E-02    1.0000000
  7.9500000       0.68429570E-02    7.9500000       0.11050900E-01   0.58517829E-02    1.0000000
  8.0000000       0.80224655E-02    8.0000000       0.11751090E-01   0.59456633E-02    1.0000000
  8.0500000       0.89141872E-02    8.0500000       0.12323187E-01   0.60215196E-02    1.0000000
  8.1000000       0.95101418E-02    8.1000000       0.12992225E-01   0.61551463E-02    1.0000000
  8.1500000       0.98114323E-02    8.1500000       0.12320852E-01   0.60433201E-02    1.0000000
  8.2000000       0.98279134E-02    8.2000000       0.11932738E-01   0.61170766E-02    1.0000000
  8.2500000       0.95774634E-02    8.2500000       0.12279566E-01   0.62934511E-02    1.0000000
  8.3000000       0.90849042E-02    8.3000000       0.11536445E-01   0.63090397E-02    1.0000000
  8.3500000       0.83806535E-02    8.3500000       0.10411434E-01   0.65416018E-02    1.0000000
  8.4000000       0.74992163E-02    8.4000000       0.87842484E-02   0.65551320E-02    1.0000000
  8.4500000       0.64803036E-02    8.4500000       0.72783745E-02   0.65362363E-02    1.0000000
  8.5000000       0.53764344E-02    8.5000000       0.53379064E-02   0.65358851E-02    1.0000000
  8.5500000       0.42029607E-02    8.5500000       0.32604381E-02   0.66808288E-02    1.0000000
  8.6000000       0.29955683E-02    8.6000000       0.25267076E-02   0.67878617E-02    1.0000000
  8.6500000       0.17878893E-02    8.6500000       0.60419728E-03   0.68621568E-02    1.0000000
  8.7000000       0.61081478E-03    8.7000000      -0.59422210E-03   0.69769719E-02    1.0000000
  8.7500000      -0.50797358E-03    8.7500000      -0.15588764E-02   0.71252135E-02    1.0000000
  8.8000000      -0.15442856E-02    8.8000000      -0.33767685E-02   0.72753024E-02    1.0000000
  8.8500000      -0.24775639E-02    8.8500000      -0.40427686E-02   0.73765328E-02    1.0000000
  8.9000000      -0.32909326E-02    8.9000000      -0.47232524E-02   0.74189224E-02    1.0000000
  8.9500000      -0.39726882E-02    8.9500000      -0.54231221E-02   0.75891645E-02    1.0000000
  9.0000000      -0.45395022E-02    9.0000000      -0.60206035E-02   0.75886221E-02    1.0000000
  9.0500000      -0.49619401E-02    9.0500000      -0.65791397E-02   0.77753301E-02    1.0000000
  9.1000000      -0.52359002E-02    9.1000000      -0.60188325E-02   0.78512875E-02    1.0000000
  9.1500000      -0.53608276E-02    9.1500000      -0.51847549E-02   0.81093169E-02    1.0000000
  9.2000000      -0.53396734E-02    9.2000000      -0.48457735E-02   0.82619490E-02    1.0000000
  9.2500000      -0.51788203E-02    9.2500000      -0.43115706E-02   0.83806600E-02    1.0000000
  9.3000000      -0.48879552E-02    9.3000000      -0.35829306E-02   0.86436540E-02    1.0000000
  9.3500000      -0.44798657E-02    9.3500000      -0.28120699E-02   0.86388180E-02    1.0000000
  9.4000000      -0.39701439E-02    9.4000000      -0.21249638E-02   0.89592221E-02    1.0000000
  9.4500000      -0.33767903E-02    9.4500000      -0.12379051E-02   0.90252142E-02    1.0000000
  9.5000000      -0.27206192E-02    9.5000000      -0.19918157E-03   0.93354495E-02    1.0000000
  9.5500000      -0.20113789E-02    9.5500000       0.73124962E-03   0.92877940E-02    1.0000000
  9.6000000      -0.12716590E-02    9.6000000       0.18110052E-02   0.94504224E-02    1.0000000
  9.6500000      -0.52440878E-03    9.6500000       0.28029021E-02   0.95144607E-02    1.0000000
  9.7000000       0.20782312E-03    9.7000000       0.39426294E-02   0.96695251E-02    1.0000000
  9.7500000       0.90363560E-03    9.7500000       0.48891527E-02   0.96999021E-02    1.0000000
  9.8000000       0.15434712E-02    9.8000000       0.60955663E-02   0.97472679E-02    1.0000000
  9.8500000       0.21102270E-02    9.8500000       0.64751167E-02   0.98685338E-02    1.0000000
  9.9000000       0.25897532E-02    9.9000000       0.59504699E-02   0.98734243E-02    1.0000000
  9.9500000       0.29712176E-02    9.9500000       0.56748709E-02   0.99139581E-02    1.0000000
  10.000000       0.32755412E-02    10.000000       0.60732699E-02   0.98298986E-02    1.0000000
