# data from ifeffit
#------------------------
#   k         chi         dchi
  5.6288614      -0.55896021E-02   0.13366706E-02
  5.6770475      -0.50208262E-02   0.13476532E-02
  5.7209378      -0.13563140E-02   0.12652874E-02
  5.7669924       0.67972407E-03   0.13373743E-02
  5.8153851       0.33830217E-02   0.12957473E-02
  5.8595802       0.81417157E-02   0.12770364E-02
  5.9061058       0.78383172E-02   0.13349587E-02
  5.9520478       0.51795900E-02   0.12776384E-02
  5.9954540       0.37094601E-02   0.13029980E-02
  6.0407165       0.39015003E-02   0.12160381E-02
  6.0847815       0.95996509E-02   0.12578174E-02
  6.1270337       0.95597498E-02   0.12681182E-02
  6.1689965       0.15416758E-01   0.12754704E-02
  6.2108867       0.21824895E-01   0.23403844E-02
  6.2121517       0.19380082E-01   0.15989945E-02
  6.2508204       0.23773811E-01   0.12970758E-02
  6.2907088       0.24795243E-01   0.13447881E-02
  6.3332414       0.31087701E-01   0.12234033E-02
  6.3738467       0.28826578E-01   0.12996196E-02
  6.4129699       0.29896250E-01   0.12857232E-02
  6.4546970       0.31121947E-01   0.12494175E-02
  6.4959544       0.27384158E-01   0.12948790E-02
  6.5369514       0.29033394E-01   0.13511334E-02
  6.5788874       0.23102906E-01   0.12293993E-02
  6.6209533       0.19838697E-01   0.12854876E-02
  6.6611811       0.15084769E-01   0.12459408E-02
  6.7011673       0.86435608E-02   0.12801848E-02
  6.7399450       0.55385013E-02   0.12552176E-02
  6.7771483       0.67898424E-03   0.11933014E-02
  6.8154936       0.47346045E-02   0.36142815E-02
  6.8536244       0.30863167E-02   0.13505617E-02
  6.8879328      -0.67311497E-02   0.12763380E-02
  6.9303904      -0.15678050E-01   0.95413567E-03
  7.1172128      -0.22558664E-01   0.12534031E-02
  7.3076827      -0.15977070E-01   0.13414360E-02
  7.4794933      -0.83155473E-02   0.13046161E-02
  7.6522382      -0.33943846E-02   0.14128727E-02
  7.8266923       0.11702452E-01   0.13562796E-02
  7.9875106       0.59028161E-02   0.13581597E-02
  8.1506190       0.37770365E-02   0.14656318E-02
  8.3147803       0.68866435E-03   0.12535541E-02
  8.4694254      -0.28422940E-02   0.14364990E-02
  8.6216009      -0.18319064E-02   0.29710861E-02
  8.9255044       0.48570302E-03   0.13466260E-02
  9.2128592       0.53850014E-04   0.14319818E-02
  9.4901384      -0.23450753E-02   0.13903684E-02
  9.7669205      -0.36685041E-03   0.14365656E-02
  10.027848       0.70495795E-02   0.15079527E-02
  10.286740      -0.20667235E-02   0.16702394E-02
  10.538778      -0.33593014E-02   0.14643995E-02
  10.782134      -0.17306307E-02   0.11844954E-02
  11.027483       0.33806101E-02   0.24550659E-02
  11.260747       0.39044440E-02   0.15049194E-02
  11.493493       0.46341667E-02   0.15578320E-02
  11.833811      -0.64975482E-02   0.20070081E-02
  12.160413       0.10058260E-02   0.15710329E-02
  12.481092       0.15685149E-02   0.11530491E-02
  12.791894      -0.49805967E-02   0.19064126E-02
  13.093821      -0.42420324E-02   0.16066366E-02
  13.392266       0.27022189E-02   0.16360272E-02
  13.779763       0.48992873E-02   0.15811843E-02
  14.157489       0.59855217E-02   0.28097323E-02
  14.523322      -0.91733099E-02   0.16551574E-02
  14.881660      -0.76108964E-03   0.21063482E-02
