 Ferrocene PUBLISHED DATA                                         Feff 8.10
 Abs   Z=26 Rmt= 1.252 Rnm= 1.298 K  shell
 Pot 1 Z= 6 Rmt= 0.847 Rnm= 1.042
 Pot 2 Z= 1 Rmt= 0.763 Rnm= 0.924
 Gam_ch=1.309E+00 H-L exch
 Mu= 5.790E+00 kf=2.396E+00 Vint=-1.609E+01 Rs_int= 1.513
 S02  1.000                                        Global sig2  0.00100
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    7144.487     34.603   2.750  8.11568E-01  9.56545E-01 -1.51779E-01
    7145.544     35.660   2.800  8.32274E-01  9.59421E-01 -1.33116E-01
    7146.621     36.737   2.850  8.48478E-01  9.62944E-01 -1.19504E-01
    7147.716     37.832   2.900  8.62062E-01  9.66468E-01 -1.08697E-01
    7148.830     38.946   2.950  8.73733E-01  9.69991E-01 -9.99352E-02
    7149.964     40.080   3.000  8.84359E-01  9.73515E-01 -9.23043E-02
    7151.116     41.232   3.050  8.95418E-01  9.75414E-01 -8.26288E-02
    7152.288     42.404   3.100  9.06129E-01  9.77313E-01 -7.33564E-02
    7153.478     43.595   3.150  9.16854E-01  9.79212E-01 -6.41136E-02
    7154.688     44.804   3.200  9.27834E-01  9.81111E-01 -5.46500E-02
    7155.917     46.033   3.250  9.37178E-01  9.83302E-01 -4.71841E-02
    7157.165     47.281   3.300  9.47455E-01  9.85493E-01 -3.88064E-02
    7158.431     48.548   3.350  9.58748E-01  9.87685E-01 -2.94407E-02
    7159.717     49.834   3.400  9.70954E-01  9.89876E-01 -1.91986E-02
    7161.022     51.138   3.450  9.83442E-01  9.91694E-01 -8.34533E-03
    7162.346     52.462   3.500  9.97263E-01  9.93512E-01  3.78032E-03
    7163.689     53.805   3.550  1.01190E+00  9.95331E-01  1.66431E-02
    7165.051     55.167   3.600  1.02670E+00  9.97149E-01  2.95965E-02
    7166.432     56.549   3.650  1.04266E+00  9.99205E-01  4.33814E-02
    7167.833     57.949   3.700  1.05814E+00  1.00126E+00  5.66007E-02
    7169.252     59.368   3.750  1.07242E+00  1.00332E+00  6.85410E-02
    7170.690     60.806   3.800  1.08485E+00  1.00537E+00  7.85938E-02
    7172.147     62.264   3.850  1.09642E+00  1.00730E+00  8.78501E-02
    7173.624     63.740   3.900  1.10550E+00  1.00922E+00  9.46062E-02
    7175.119     65.235   3.950  1.11183E+00  1.01114E+00  9.86285E-02
    7176.634     66.750   4.000  1.11533E+00  1.01306E+00  9.98620E-02
    7178.167     68.283   4.050  1.11726E+00  1.01499E+00  9.95675E-02
    7179.720     69.836   4.100  1.11647E+00  1.01692E+00  9.66470E-02
    7181.291     71.408   4.150  1.11320E+00  1.01884E+00  9.13389E-02
    7182.882     72.998   4.200  1.10779E+00  1.02077E+00  8.39938E-02
    7184.492     74.608   4.250  1.10080E+00  1.02245E+00  7.54471E-02
    7186.121     76.237   4.300  1.09220E+00  1.02412E+00  6.54046E-02
    7187.768     77.885   4.350  1.08240E+00  1.02580E+00  5.42442E-02
    7189.435     79.551   4.400  1.07177E+00  1.02748E+00  4.23500E-02
    7191.121     81.237   4.450  1.06013E+00  1.02866E+00  3.00370E-02
    7192.826     82.942   4.500  1.04829E+00  1.02985E+00  1.75687E-02
    7194.550     84.666   4.550  1.03656E+00  1.03104E+00  5.24637E-03
    7196.293     86.409   4.600  1.02522E+00  1.03223E+00 -6.66020E-03
    7198.055     88.171   4.650  1.01370E+00  1.03278E+00 -1.81036E-02
    7199.836     89.953   4.700  1.00306E+00  1.03333E+00 -2.86948E-02
    7201.637     91.753   4.750  9.93502E-01  1.03388E+00 -3.82495E-02
    7203.456     93.572   4.800  9.85182E-01  1.03443E+00 -4.66110E-02
    7205.294     95.410   4.850  9.77591E-01  1.03444E+00 -5.38045E-02
    7207.152     97.268   4.900  9.71459E-01  1.03445E+00 -5.96172E-02
    7209.028     99.144   4.950  9.66848E-01  1.03446E+00 -6.39913E-02
    7210.924    101.040   5.000  9.63792E-01  1.03447E+00 -6.68935E-02
    7212.838    102.954   5.050  9.61574E-01  1.03385E+00 -6.84717E-02
    7214.772    104.888   5.100  9.60859E-01  1.03323E+00 -6.86284E-02
    7216.724    106.840   5.150  9.61608E-01  1.03261E+00 -6.73966E-02
    7218.696    108.812   5.200  9.63761E-01  1.03200E+00 -6.48274E-02
    7220.687    110.803   5.250  9.66435E-01  1.03060E+00 -6.10604E-02
    7222.696    112.813   5.300  9.70358E-01  1.02920E+00 -5.60900E-02
    7224.725    114.841   5.350  9.75429E-01  1.02780E+00 -5.00065E-02
    7226.773    116.889   5.400  9.81523E-01  1.02640E+00 -4.29240E-02
    7228.840    118.956   5.450  9.88153E-01  1.02464E+00 -3.49761E-02
    7230.926    121.042   5.500  9.95534E-01  1.02288E+00 -2.62701E-02
    7233.031    123.147   5.550  1.00347E+00  1.02111E+00 -1.69942E-02
    7235.155    125.271   5.600  1.01172E+00  1.01935E+00 -7.36779E-03
    7237.298    127.414   5.650  1.01986E+00  1.01729E+00  2.48695E-03
    7239.460    129.576   5.700  1.02782E+00  1.01523E+00  1.22139E-02
    7241.642    131.758   5.750  1.03529E+00  1.01317E+00  2.15222E-02
    7243.842    133.958   5.800  1.04198E+00  1.01111E+00  3.01215E-02
    7246.061    136.177   5.850  1.04753E+00  1.00883E+00  3.78464E-02
    7248.299    138.416   5.900  1.05173E+00  1.00656E+00  4.43032E-02
    7250.557    140.673   5.950  1.05439E+00  1.00429E+00  4.92770E-02
    7252.833    142.950   6.000  1.05537E+00  1.00202E+00  5.26133E-02
    7255.129    145.245   6.050  1.05507E+00  1.00007E+00  5.43636E-02
    7257.443    147.560   6.100  1.05293E+00  9.98122E-01  5.43097E-02
    7259.777    149.893   6.150  1.04905E+00  9.96175E-01  5.25133E-02
    7262.130    152.246   6.200  1.04356E+00  9.94228E-01  4.91129E-02
    7264.501    154.618   6.250  1.03669E+00  9.92281E-01  4.43134E-02
    7266.892    157.008   6.300  1.02870E+00  9.90334E-01  3.83729E-02
    7269.302    159.418   6.350  1.01989E+00  9.88387E-01  3.15870E-02
    7271.731    161.847   6.400  1.01059E+00  9.86440E-01  2.42706E-02
