      k          chi          mag           phase @#
     3.5500    1.664309E-02  1.048424E-01  6.442604E+00
     3.6000    2.959649E-02  1.043493E-01  6.570762E+00
     3.6500    4.338136E-02  1.055612E-01  6.706691E+00
     3.7000    5.660068E-02  1.060160E-01  6.846378E+00
     3.7500    6.854098E-02  1.057189E-01  6.988577E+00
     3.8000    7.859376E-02  1.047004E-01  7.132236E+00
     3.8500    8.785006E-02  1.045384E-01  7.281135E+00
     3.9000    9.460619E-02  1.037699E-01  7.430568E+00
     3.9500    9.862849E-02  1.024519E-01  7.579924E+00
     4.0000    9.986204E-02  1.006508E-01  7.728704E+00
     4.0500    9.956751E-02  9.960157E-02  7.880134E+00
     4.1000    9.664696E-02  9.818005E-02  8.030933E+00
     4.1500    9.133893E-02  9.643900E-02  8.180652E+00
     4.2000    8.399378E-02  9.444873E-02  8.328954E+00
     4.2500    7.544713E-02  9.301164E-02  8.478649E+00
     4.3000    6.540462E-02  9.140340E-02  8.627352E+00
     4.3500    5.424416E-02  8.965636E-02  8.774983E+00
     4.4000    4.234997E-02  8.780979E-02  8.921509E+00
     4.4500    3.003697E-02  8.625423E-02  9.069088E+00
     4.5000    1.756867E-02  8.464420E-02  9.215699E+00
     4.5500    5.246368E-03  8.299665E-02  9.361524E+00
     4.6000   -6.660198E-03  8.132217E-02  9.506769E+00
     4.6500   -1.810356E-02  7.987583E-02  9.653411E+00
     4.7000   -2.869482E-02  7.842884E-02  9.799346E+00
     4.7500   -3.824947E-02  7.698372E-02  9.944745E+00
     4.8000   -4.661101E-02  7.553904E-02  1.008976E+01
     4.8500   -5.380450E-02  7.427057E-02  1.023500E+01
     4.9000   -5.961721E-02  7.303379E-02  1.037975E+01
     4.9500   -6.399132E-02  7.182602E-02  1.052415E+01
     5.0000   -6.689348E-02  7.064284E-02  1.066831E+01
     5.0500   -6.847173E-02  6.963434E-02  1.081258E+01
     5.1000   -6.862840E-02  6.868002E-02  1.095680E+01
     5.1500   -6.739658E-02  6.777362E-02  1.110111E+01
     5.2000   -6.482736E-02  6.690814E-02  1.124562E+01
     5.2500   -6.106041E-02  6.618841E-02  1.139180E+01
     5.3000   -5.608999E-02  6.551834E-02  1.153870E+01
     5.3500   -5.000654E-02  6.488596E-02  1.168646E+01
     5.4000   -4.292398E-02  6.427942E-02  1.183516E+01
     5.4500   -3.497610E-02  6.380534E-02  1.198620E+01
     5.5000   -2.627006E-02  6.333471E-02  1.213867E+01
     5.5500   -1.699424E-02  6.285289E-02  1.229258E+01
     5.6000   -7.367794E-03  6.234674E-02  1.244792E+01
     5.6500    2.486946E-03  6.187817E-02  1.260657E+01
     5.7000    1.221395E-02  6.135250E-02  1.276679E+01
     5.7500    2.152219E-02  6.075919E-02  1.292845E+01
     5.8000    3.012150E-02  6.008990E-02  1.309144E+01
     5.8500    3.784641E-02  5.935185E-02  1.325783E+01
     5.9000    4.430321E-02  5.851287E-02  1.342531E+01
     5.9500    4.927703E-02  5.757105E-02  1.359373E+01
     6.0000    5.261325E-02  5.652634E-02  1.376290E+01
     6.0500    5.436362E-02  5.548619E-02  1.393567E+01
     6.1000    5.430971E-02  5.433159E-02  1.410878E+01
     6.1500    5.251333E-02  5.306934E-02  1.428205E+01
     6.2000    4.911288E-02  5.170725E-02  1.445529E+01
     6.2500    4.431335E-02  5.025396E-02  1.462832E+01
