 Ferrocene eclipsed structure                           Feff 6L.02    potph 4.12
 Abs   Z=26 Rmt= 1.124 Rnm= 1.287 K shell
 Pot 1 Z= 6 Rmt= 0.732 Rnm= 1.075
 Gam_ch=1.325E+00 H-L exch
 Mu=-4.296E+00 kf=2.560E+00 Vint=-2.927E+01 Rs_int= 1.417
 Path    4      icalc       2                           Feff 6L.02   genfmt 1.44
 -------------------------------------------------------------------------------
   4  20.000   3.4847    2.0750   -4.29573 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  26 Fe       absorbing atom
     1.6709    1.2095    0.0000  1   6 C     
     1.6709    0.3737   -1.1504  1   6 C     
     1.6709    1.2095    0.0000  1   6 C     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  2.3490E+00  0.0000E+00 -3.0603E+00  0.1016E+01  2.9448E+01  2.5604E+00
  0.200  2.3456E+00  2.1177E-02 -4.4081E+00  0.1016E+01  2.9531E+01  2.5678E+00
  0.400  2.3354E+00  4.0575E-02 -5.6661E+00  0.1016E+01  2.9750E+01  2.5900E+00
  0.600  2.3188E+00  5.6702E-02 -6.8392E+00  0.1015E+01  3.0013E+01  2.6266E+00
  0.800  2.2959E+00  6.8610E-02 -7.9353E+00  0.1015E+01  3.0182E+01  2.6771E+00
  1.000  2.2674E+00  7.6043E-02 -8.9639E+00  0.1015E+01  3.0091E+01  2.7409E+00
  1.200  2.2337E+00  7.9449E-02 -9.9348E+00  0.1016E+01  2.9596E+01  2.8172E+00
  1.400  2.1953E+00  7.9813E-02 -1.0857E+01  0.1016E+01  2.8622E+01  2.9054E+00
  1.600  2.1525E+00  7.8371E-02 -1.1734E+01  0.1018E+01  2.7200E+01  3.0048E+00
  1.800  2.1057E+00  7.6265E-02 -1.2567E+01  0.1020E+01  2.5457E+01  3.1151E+00
  2.000  2.0547E+00  7.4244E-02 -1.3350E+01  0.1023E+01  2.3578E+01  3.2358E+00
  2.200  1.9992E+00  7.2505E-02 -1.4074E+01  0.1026E+01  2.1746E+01  3.3667E+00
  2.400  1.9385E+00  7.0752E-02 -1.4729E+01  0.1031E+01  2.0115E+01  3.5077E+00
  2.600  1.8710E+00  6.8431E-02 -1.5310E+01  0.1035E+01  1.8792E+01  3.6587E+00
  2.800  1.8095E+00  6.5001E-02 -1.5815E+01  0.1029E+01  1.7854E+01  3.8199E+00
  3.000  1.6247E+00  6.1949E-02 -1.6168E+01  0.1061E+01  1.2569E+01  4.0279E+00
  3.200  1.6223E+00  6.9791E-02 -1.6746E+01  0.1134E+01  8.5425E+00  4.1563E+00
  3.400  1.6162E+00  7.2075E-02 -1.7239E+01  0.1172E+01  7.1978E+00  4.2912E+00
  3.600  1.5914E+00  6.9196E-02 -1.7667E+01  0.1190E+01  6.5750E+00  4.4318E+00
  3.800  1.5534E+00  6.2824E-02 -1.8065E+01  0.1195E+01  6.2584E+00  4.5778E+00
  4.000  1.5016E+00  5.4599E-02 -1.8451E+01  0.1195E+01  6.1041E+00  4.7286E+00
  4.200  1.4531E+00  4.6266E-02 -1.8843E+01  0.1189E+01  6.0484E+00  4.8839E+00
  4.400  1.3916E+00  3.8764E-02 -1.9223E+01  0.1181E+01  6.0585E+00  5.0432E+00
  4.600  1.3306E+00  3.2363E-02 -1.9584E+01  0.1173E+01  6.1156E+00  5.2061E+00
  4.800  1.2569E+00  2.6968E-02 -1.9928E+01  0.1161E+01  6.2080E+00  5.3723E+00
  5.000  1.1792E+00  2.2509E-02 -2.0256E+01  0.1151E+01  6.3284E+00  5.5413E+00
  5.200  1.1038E+00  1.8820E-02 -2.0570E+01  0.1141E+01  6.4713E+00  5.7130E+00
  5.400  1.0216E+00  1.5823E-02 -2.0871E+01  0.1130E+01  6.6331E+00  5.8871E+00
  5.600  9.3836E-01  1.3299E-02 -2.1159E+01  0.1120E+01  6.8112E+00  6.0632E+00
  5.800  8.5661E-01  1.1219E-02 -2.1440E+01  0.1110E+01  7.0034E+00  6.2413E+00
  6.000  7.7405E-01  9.4888E-03 -2.1702E+01  0.1101E+01  7.2081E+00  6.4211E+00
  6.500  5.7304E-01  6.2091E-03 -2.2312E+01  0.1078E+01  7.7672E+00  6.8769E+00
  7.000  3.8351E-01  4.0192E-03 -2.2856E+01  0.1058E+01  8.3838E+00  7.3403E+00
  7.500  2.0859E-01  2.5889E-03 -2.3324E+01  0.1040E+01  9.0491E+00  7.8095E+00
  8.000  4.0652E-02  1.6886E-03 -2.3720E+01  0.1025E+01  9.7574E+00  8.2835E+00
  8.500 -1.2311E-01  1.1461E-03 -2.4060E+01  0.1010E+01  1.0505E+01  8.7611E+00
  9.000 -2.9371E-01  8.2555E-04 -2.4366E+01  0.9962E+00  1.1288E+01  9.2418E+00
  9.500 -4.6472E-01  6.3155E-04 -2.4663E+01  0.9845E+00  1.2105E+01  9.7250E+00
 10.000 -6.2785E-01  5.0375E-04 -2.4953E+01  0.9748E+00  1.2954E+01  1.0210E+01
 11.000 -9.2963E-01  3.4077E-04 -2.5543E+01  0.9597E+00  1.4743E+01  1.1186E+01
 12.000 -1.2057E+00  2.3071E-04 -2.6242E+01  0.9506E+00  1.6644E+01  1.2166E+01
 13.000 -1.4675E+00  1.3997E-04 -2.7009E+01  0.9464E+00  1.8652E+01  1.3150E+01
 14.000 -1.7079E+00  7.4333E-05 -2.7577E+01  0.9432E+00  2.0761E+01  1.4137E+01
 15.000 -1.9275E+00  4.1558E-05 -2.7743E+01  0.9411E+00  2.2967E+01  1.5126E+01
 16.000 -2.1343E+00  2.9106E-05 -2.7880E+01  0.9408E+00  2.5266E+01  1.6116E+01
 17.000 -2.3266E+00  2.3313E-05 -2.8239E+01  0.9409E+00  2.7655E+01  1.7108E+01
 18.000 -2.5034E+00  2.1171E-05 -2.8723E+01  0.9408E+00  3.0130E+01  1.8101E+01
 19.000 -2.6701E+00  1.3894E-05 -2.9255E+01  0.9412E+00  3.2690E+01  1.9094E+01
 20.000 -2.8258E+00  1.7018E-05 -2.8568E+01  0.9414E+00  3.5332E+01  2.0089E+01
