# data from ifeffit
#------------------------
#   energy         xmu         bkg         k
  7331.8400        87.529796        82.938649        10.068771
  7336.0000        87.286203        83.020455        10.121957
  7339.9200        87.175051        83.092898        10.173449
  7343.7700        87.035469        83.159732        10.221863
  7347.7100        87.019155        83.223771        10.272344
  7351.7500        87.217759        83.284932        10.323467
  7355.8800        87.452372        83.342823        10.375599
  7360.0200        87.326275        83.396236        10.427346
  7363.9700        87.671115        83.442962        10.476587
  7367.8900        87.693061        83.485318        10.524353
  7371.7600        87.769065        83.523278        10.573886
  7375.8300        87.915035        83.559142        10.623804
  7379.9800        87.877459        83.591507        10.674715
  7383.9700        87.782848        83.618700        10.724774
  7387.9000        87.640988        83.641797        10.773021
  7391.8500        86.943746        83.661395        10.819842
  7395.8400        86.930783        83.677586        10.866581
  7399.9400        86.642956        83.690524        10.915401
  7404.0300        87.060551        83.699776        10.965914
  7408.0800        86.603807        83.705418        11.013817
  7411.9000        86.551897        83.707602        11.061040
  7415.8300        85.319051        83.706738        11.106293
  7419.8900        85.464706        83.702609        11.152771
  7424.0200        85.505070        83.695113        11.198940
  7428.1000        85.429621        83.684524        11.247947
  7432.0300        84.144210        83.671408        11.341862
  7435.9800        84.397793        83.655413        11.386344
  7439.8300        83.878852        83.637179        11.431914
  7443.9300        84.585768        83.614967        11.477302
  7448.0700        83.298603        83.589694        11.524784
  7452.1800        83.718502        83.561859        11.571053
  7456.1500        83.729183        83.532452        11.616574
  7459.9800        84.194358        83.501804        11.660795
  7463.8600        83.367229        83.468543        11.705072
  7467.8900        84.045526        83.431711        11.748513
  7472.0600        83.212136        83.391229        11.794237
  7476.1500        83.863204        83.349263        11.839785
  7480.0900        83.537085        83.306794        11.885048
  7483.9000        83.774077        83.263888        11.928713
  7487.8500        83.333865        83.217568        11.971014
  7491.8600        83.584318        83.168704        12.013821
  7496.0600        82.901155        83.115619        12.057671
  7500.1700        83.827353        83.061864        12.103526
  7504.1400        83.052114        83.008321        12.147590
  7507.9800        84.035602        82.955088        12.189455
  7511.8600        83.776012        82.899925        12.231711
  7515.9000        83.885852        82.841093        12.272862
  7520.0700        83.013679        82.778956        12.316002
  7524.1700        83.427198        82.716546        12.359627
  7528.1600        82.667220        82.654634        12.402571
  7531.9300        82.916618        82.595137        12.403099
  7535.8800        83.117212        82.531829        12.444946
  7539.9000        83.103552        82.466452        12.485498
  7544.0200        82.223513        82.398538        12.526547
  7548.1300        82.659343        82.329949        12.567983
  7552.0600        81.861224        82.263655        12.611048
  7555.8900        81.939719        82.198451        12.653345
  7559.8800        80.656213        82.129967        12.695193
  7563.9200        81.066765        82.060121        12.736285
  7568.0600        81.096841        81.988102        12.775811
  7572.1500        81.172176        81.916591        12.816134
  7576.1100        80.397945        81.847087        12.856535
  7579.9700        81.066524        81.779155        12.899347
  7583.8400        80.373527        81.710936        12.941208
