# data from ifeffit
#------------------------
#   k         chi         dchi         e0
  4.4054421       0.48993326E-01   0.10721479E-02    20006.008
  4.4189750       0.49012607E-01   0.10782830E-02    20006.008
  4.4339582       0.47894450E-01   0.10834899E-02    20006.008
  4.4488916       0.46086006E-01   0.10339451E-02    20006.008
  4.4638270       0.44463103E-01   0.10827303E-02    20006.008
  4.4786623       0.41213503E-01   0.65563588E-03    20006.008
  4.6231574      -0.83979867E-02   0.62545763E-03    20006.008
  4.6360646      -0.13359283E-01   0.91253530E-03    20006.008
  4.6503102      -0.17124287E-01   0.91573395E-03    20006.008
  4.6646107      -0.19395602E-01   0.89394316E-03    20006.008
  4.6788196      -0.21812749E-01   0.88921331E-03    20006.008
  4.6930348      -0.24057426E-01   0.90895429E-03    20006.008
  4.7071593      -0.25451797E-01   0.91132115E-03    20006.008
  4.7212422      -0.26591384E-01   0.90808092E-03    20006.008
  4.7338865      -0.27317844E-01   0.91611529E-03    20006.008
  4.7478916      -0.27034965E-01   0.89635390E-03    20006.008
  4.7619041      -0.25841448E-01   0.96918158E-03    20006.008
  4.8981866      -0.13716703E-01   0.85788014E-03    20006.008
  4.9117314      -0.14131684E-01   0.94564552E-03    20006.008
  4.9238952      -0.13310167E-01   0.95917314E-03    20006.008
  4.9373709      -0.12546675E-01   0.97301691E-03    20006.008
  4.9508106      -0.12212729E-01   0.94450217E-03    20006.008
  4.9642606      -0.11952702E-01   0.93683230E-03    20006.008
  4.9776290      -0.11743430E-01   0.93322658E-03    20006.008
  4.9910081      -0.11231852E-01   0.93692505E-03    20006.008
  5.0042608      -0.10605449E-01   0.92763280E-03    20006.008
  5.0162045      -0.10154079E-01   0.92882886E-03    20006.008
  5.0294829      -0.90250404E-02   0.90176464E-03    20006.008
  5.1587865      -0.37440636E-02   0.75309083E-03    20006.008
  5.1717061      -0.29138815E-02   0.93322111E-03    20006.008
  5.1832715      -0.26192181E-02   0.95467300E-03    20006.008
  5.1960875      -0.11421352E-02   0.92111607E-03    20006.008
  5.2088727      -0.18871929E-03   0.92525081E-03    20006.008
  5.2216272       0.96938432E-03   0.91238676E-03    20006.008
  5.2343949       0.27573473E-02   0.92562672E-03    20006.008
  5.2470887       0.44336696E-02   0.91322481E-03    20006.008
  5.2585352       0.64539997E-02   0.92347297E-03    20006.008
  5.2711721       0.83405889E-02   0.91020884E-03    20006.008
  5.2837794       0.98508370E-02   0.98077285E-03    20006.008
  5.4071287       0.33508983E-01   0.11970409E-02    20006.008
  5.4182023       0.35340079E-01   0.10529837E-02    20006.008
  5.4305178       0.37289608E-01   0.10849631E-02    20006.008
  5.4427641       0.38562796E-01   0.10801701E-02    20006.008
  5.4550254       0.39433264E-01   0.10609916E-02    20006.008
  5.4671762       0.40485488E-01   0.10831451E-02    20006.008
  5.4793841       0.41120024E-01   0.11041170E-02    20006.008
  5.4903153       0.41219072E-01   0.10645378E-02    20006.008
  5.5024315       0.41012117E-01   0.10829301E-02    20006.008
  5.5145632       0.39800525E-01   0.10633232E-02    20006.008
  5.5266276       0.39438206E-01   0.95636219E-03    20006.008
  5.6436552       0.21480280E-01   0.70173330E-03    20006.008
  5.6554507       0.18945577E-01   0.91353086E-03    20006.008
  5.6672222       0.16399521E-01   0.89708576E-03    20006.008
  5.6789700       0.13617050E-01   0.91182265E-03    20006.008
  5.6895267       0.11591029E-01   0.92363174E-03    20006.008
  5.7012698       0.84173589E-02   0.93919608E-03    20006.008
  5.7129493       0.54876428E-02   0.96785119E-03    20006.008
  5.7246056       0.26980850E-02   0.97723949E-03    20006.008
  5.7362388       0.28782132E-03   0.98728404E-03    20006.008
  5.7466930      -0.23414127E-02   0.10027984E-02    20006.008
  5.7583224      -0.44161595E-02   0.10748711E-02    20006.008
  5.8708067      -0.28299928E-01   0.73050017E-03    20006.008
  5.8821971      -0.29952903E-01   0.91915801E-03    20006.008
  5.8935272      -0.31464683E-01   0.89753061E-03    20006.008
  5.9048750      -0.32572936E-01   0.90213568E-03    20006.008
  5.9161241      -0.33460449E-01   0.87879125E-03    20006.008
  5.9274298      -0.34194713E-01   0.90621430E-03    20006.008
  5.9375561      -0.35005560E-01   0.91623028E-03    20006.008
  5.9487836      -0.35317943E-01   0.92615561E-03    20006.008
  5.9600290      -0.35649587E-01   0.90753309E-03    20006.008
  5.9711769      -0.35980304E-01   0.90694584E-03    20006.008
  5.9823814      -0.35338471E-01   0.75495427E-03    20006.008
  6.0908383      -0.37412816E-01   0.56665279E-03    20006.008
  6.1007008      -0.38016932E-01   0.96618181E-03    20006.008
  6.1116744      -0.38010683E-01   0.98025428E-03    20006.008
  6.1225915      -0.37373032E-01   0.97748483E-03    20006.008
  6.1335271      -0.37023248E-01   0.94941553E-03    20006.008
  6.1444064      -0.36250454E-01   0.93909950E-03    20006.008
  6.1541856      -0.35895411E-01   0.91642767E-03    20006.008
  6.1650295      -0.35051462E-01   0.88979615E-03    20006.008
  6.1758550      -0.34665183E-01   0.88543228E-03    20006.008
  6.1866991      -0.33166419E-01   0.84579906E-03    20006.008
  6.1974879      -0.31778656E-01   0.60148983E-03    20006.008
  6.2071858      -0.30279449E-01   0.93322627E-03    20006.008
  6.3119272      -0.12134479E-01   0.64167534E-03    20006.008
  6.4149745      -0.26769120E-02   0.55491579E-03    20006.008
  6.4253914      -0.33983829E-02   0.92959114E-03    20006.008
  6.4358278      -0.28639068E-02   0.88595128E-03    20006.008
  6.4461765      -0.24437295E-02   0.88217682E-03    20006.008
  6.4565803      -0.19048533E-02   0.86244386E-03    20006.008
  6.4659015      -0.18926210E-02   0.83360362E-03    20006.008
  6.4762392      -0.13911764E-02   0.84394612E-03    20006.008
  6.4865964      -0.14862640E-02   0.82578402E-03    20006.008
  6.4969022      -0.13597118E-02   0.82828805E-03    20006.008
  6.5062028      -0.15887548E-02   0.80466476E-03    20006.008
  6.5164433      -0.11261793E-02   0.55888007E-03    20006.008
  6.7149653       0.27097298E-01   0.26096523E-03    20006.008
  6.7249669       0.31389552E-01   0.28659049E-02    20006.008
  6.7339288       0.33842516E-01   0.28867693E-02    20006.008
  6.7438691       0.37265759E-01   0.28333290E-02    20006.008
  6.7537954       0.41573761E-01   0.28601572E-02    20006.008
  6.7637416       0.45843458E-01   0.29497866E-02    20006.008
  6.7726540       0.47572924E-01   0.30247780E-02    20006.008
  6.7825396       0.50545860E-01   0.29612097E-02    20006.008
  6.7924113       0.53328451E-01   0.29842036E-02    20006.008
  6.8022692       0.56900633E-01   0.29576620E-02    20006.008
  6.8121472       0.60175931E-01   0.31465187E-03    20006.008
  6.9070096       0.68562340E-01   0.24901770E-03    20006.008
  6.9167100       0.67034877E-01   0.13028108E-02    20006.008
  6.9264307       0.65800513E-01   0.13119368E-02    20006.008
  6.9351414       0.64117920E-01   0.12592314E-02    20006.008
  6.9448040       0.61522629E-01   0.12572699E-02    20006.008
  6.9544868       0.59099720E-01   0.12566544E-02    20006.008
  6.9640905       0.56975120E-01   0.12114449E-02    20006.008
  6.9737475       0.53768846E-01   0.12096205E-02    20006.008
  6.9824014       0.51141309E-01   0.12356474E-02    20006.008
  6.9920011       0.48079299E-01   0.12547262E-02    20006.008
  7.0016211       0.45420671E-01   0.49063052E-03    20006.008
  7.0940428       0.63752001E-03   0.76182351E-03    20006.008
  7.1034973      -0.62596579E-02   0.94949005E-03    20006.008
  7.1129722      -0.11331841E-01   0.96940617E-03    20006.008
  7.1223702      -0.16389370E-01   0.93663802E-03    20006.008
  7.1308506      -0.20805702E-01   0.88474458E-03    20006.008
  7.1402906      -0.25462975E-01   0.93945715E-03    20006.008
  7.1496864      -0.29707345E-01   0.88505235E-03    20006.008
  7.1591026      -0.34134516E-01   0.89271326E-03    20006.008
  7.1675412      -0.38093557E-01   0.85099064E-03    20006.008
  7.1769027      -0.42412606E-01   0.84164574E-03    20006.008
  7.1862525      -0.46636603E-01   0.39869786E-03    20006.008
  7.2764515      -0.70435319E-01   0.47390991E-03    20006.008
  7.2856786      -0.70154123E-01   0.71064470E-03    20006.008
  7.3215926      -0.68995099E-01   0.10425445E-02    20006.008
  7.3573385      -0.63194296E-01   0.67277120E-03    20006.008
  7.3929187      -0.54560878E-01   0.70063500E-03    20006.008
  7.4283356      -0.46996926E-01   0.90266075E-03    20006.008
  7.6030503      -0.33952679E-01   0.53497661E-03    20006.008
  7.6366258      -0.29675458E-01   0.81707832E-03    20006.008
  7.6709658      -0.24458717E-01   0.81500463E-03    20006.008
  7.7051596      -0.18037222E-01   0.81544811E-03    20006.008
  7.7392092      -0.10947452E-01   0.87243242E-03    20006.008
  7.7731166      -0.11435353E-02   0.78561489E-03    20006.008
  7.9397064       0.33745509E-01   0.94917169E-03    20006.008
  7.9728300       0.36223586E-01   0.99452902E-03    20006.008
  8.0057942       0.37455584E-01   0.95311016E-03    20006.008
  8.0386011       0.36591878E-01   0.90989117E-03    20006.008
  8.0705052       0.37039084E-01   0.90190108E-03    20006.008
  8.1030630       0.37982068E-01   0.79886543E-03    20006.008
  8.2633506       0.32610840E-01   0.82488067E-03    20006.008
  8.2952179       0.29840692E-01   0.89274637E-03    20006.008
  8.3269697       0.24750386E-01   0.78267873E-03    20006.008
  8.3578011       0.18867029E-01   0.74906607E-03    20006.008
  8.3893286       0.11735214E-01   0.12206218E-02    20006.008
  8.4207444       0.25487240E-02   0.63183923E-03    20006.008
  8.5745901      -0.32025199E-01   0.44577591E-03    20006.008
  8.6053666      -0.37199076E-01   0.81173910E-03    20006.008
  8.6360396      -0.41250703E-01   0.63849798E-03    20006.008
  8.6658311      -0.44869277E-01   0.60430455E-03    20006.008
  8.6963030      -0.48009522E-01   0.56606764E-03    20006.008
  8.7259006      -0.49998565E-01   0.54826745E-03    20006.008
  8.8755153      -0.25765514E-01   0.49229442E-03    20006.008
  8.9045784      -0.19938050E-01   0.58778465E-03    20006.008
  8.9342575      -0.13245738E-01   0.62157751E-03    20006.008
  8.9631416      -0.81406216E-02   0.62679807E-03    20006.008
  8.9926393      -0.22515490E-02   0.63028097E-03    20006.008
  9.0212962       0.38315979E-02   0.52028887E-03    20006.008
  9.1656910       0.25105161E-01   0.53224254E-03    20006.008
  9.1946048       0.26695858E-01   0.67868712E-03    20006.008
  9.2226735       0.28209785E-01   0.79316483E-03    20006.008
  9.2514207       0.28755742E-01   0.96368111E-03    20006.008
  9.2793540       0.28999365E-01   0.10636095E-02    20006.008
  9.3079375       0.29698666E-01   0.49922324E-03    20006.008
  9.4474639       0.18004324E-01   0.74785541E-03    20006.008
  9.4748822       0.15345273E-01   0.63946492E-03    20006.008
  9.5028923       0.14135623E-01   0.62810005E-03    20006.008
  9.5301374       0.14120324E-01   0.65691142E-03    20006.008
  9.5580212       0.14422205E-01   0.63917054E-03    20006.008
  9.5850961       0.13964435E-01   0.56023254E-03    20006.008
  9.7209629      -0.37235020E-02   0.47228156E-03    20006.008
  9.7476171      -0.84227662E-02   0.70848740E-03    20006.008
  9.7749241      -0.12803543E-01   0.62620554E-03    20006.008
  9.8014662      -0.14871517E-01   0.56940689E-03    20006.008
  9.8279418      -0.15602157E-01   0.72752413E-03    20006.008
  9.8550425      -0.14800368E-01   0.40530345E-03    20006.008
  9.9867713      -0.12203784E-01   0.78473088E-03    20006.008
  10.012793      -0.14092698E-01   0.11277346E-02    20006.008
  10.039409      -0.15203987E-01   0.73433138E-03    20006.008
  10.065328      -0.16307104E-01   0.64342591E-03    20006.008
  10.091163      -0.17094933E-01   0.69894735E-03    20006.008
  10.116914      -0.16038823E-01   0.50238643E-03    20006.008
  10.246198      -0.19467427E-02   0.47384102E-03    20006.008
  10.271613       0.42792453E-04   0.70560951E-03    20006.008
  10.322271       0.20159378E-02   0.10171315E-02    20006.008
  10.373361       0.20499307E-02   0.69983261E-03    20006.008
  10.423542       0.48235990E-03   0.68715280E-03    20006.008
  10.473525      -0.90317936E-03   0.55995276E-03    20006.008
  10.720854       0.18110892E-01   0.35032594E-03    20006.008
  10.769573       0.16513261E-01   0.72542673E-03    20006.008
  10.818071       0.13159545E-01   0.69287800E-03    20006.008
  10.866392       0.10592052E-01   0.72463951E-03    20006.008
  10.914498       0.96259562E-02   0.71815796E-03    20006.008
  10.962433       0.86537563E-02   0.83571417E-03    20006.008
  11.199289      -0.84239175E-02   0.92544478E-03    20006.008
  11.246100      -0.74001471E-02   0.99631793E-03    20006.008
  11.292757      -0.48845732E-02   0.74643373E-03    20006.008
  11.338612      -0.40266607E-02   0.79142947E-03    20006.008
  11.384906      -0.32375661E-02   0.12464334E-02    20006.008
  11.431051      -0.18706941E-02   0.66343937E-03    20006.008
  11.658083      -0.67877995E-02   0.53435081E-03    20006.008
  11.702668      -0.57994366E-02   0.74958866E-03    20006.008
  11.747690      -0.27508351E-02   0.79501934E-03    20006.008
  11.791951      -0.31122433E-03   0.76595862E-03    20006.008
  11.836648       0.11739767E-02   0.81928608E-03    20006.008
  11.880653       0.94934892E-03   0.52314929E-03    20006.008
  12.098946       0.23718689E-02   0.47326251E-03    20006.008
  12.142654       0.57568468E-02   0.80883237E-03    20006.008
  12.185653       0.10917231E-01   0.77982628E-03    20006.008
  12.228498       0.15968251E-01   0.78756872E-03    20006.008
  12.271210       0.19141709E-01   0.85302127E-03    20006.008
  12.313811       0.19703856E-01   0.57231952E-03    20006.008
  12.524830      -0.41202964E-02   0.41463268E-03    20006.008
  12.566689      -0.80580478E-02   0.20499781E-02    20006.008
  12.608387      -0.81468543E-02   0.20227532E-02    20006.008
  12.649964      -0.67142906E-02   0.18927465E-02    20006.008
  12.691440      -0.83693589E-02   0.18545797E-02    20006.008
  12.732779      -0.72282385E-02   0.65993419E-03    20006.008
  12.936707      -0.87152693E-02   0.63933357E-03    20006.008
  12.977360      -0.29436857E-02   0.21116781E-02    20006.008
  13.017384      -0.57780638E-03   0.21146821E-02    20006.008
  13.057818       0.89983518E-03   0.21142696E-02    20006.008
  13.097626       0.23749818E-02   0.20853262E-02    20006.008
  13.137845       0.25424087E-02   0.48441408E-03    20006.008
  13.335811       0.44828641E-02   0.56842665E-03    20006.008
  13.374900       0.72848219E-02   0.20835307E-02    20006.008
  13.414396       0.83243476E-02   0.20751274E-02    20006.008
  13.453287       0.87394872E-02   0.20876029E-02    20006.008
  13.492064       0.94143517E-02   0.20323261E-02    20006.008
  13.530762       0.12591125E-01   0.44110059E-03    20006.008
  13.723301       0.61013252E-02   0.54429278E-03    20006.008
  13.761421       0.48864854E-02   0.26463595E-02    20006.008
  13.799468       0.18858917E-02   0.26445664E-02    20006.008
  13.837408       0.11145362E-03   0.25374591E-02    20006.008
  13.875277      -0.11327546E-02   0.27142332E-02    20006.008
  13.913022      -0.28051367E-02   0.48258458E-03    20006.008
  14.100072      -0.10523856E-01   0.73280727E-03    20006.008
  14.137340      -0.10839554E-01   0.24322350E-02    20006.008
  14.174024      -0.10530051E-01   0.25098088E-02    20006.008
  14.211092      -0.81898842E-02   0.25683764E-02    20006.008
  14.248112      -0.66012671E-02   0.27381372E-02    20006.008
  14.284554      -0.32564500E-02   0.73060618E-03    20006.008
  14.467005       0.80373751E-02   0.29303689E-03    20006.008
  14.503455       0.77802240E-02   0.29530542E-02    20006.008
  14.682653       0.10031276E-01   0.27022669E-02    20006.008
  14.860498       0.76987495E-02   0.26579779E-02    20006.008
  15.035648       0.31478966E-03   0.64214561E-03    20006.008
  17.605085       0.48046377E-02   0.58370282E-03    20006.008
  17.753523       0.22240796E-02   0.13866413E-02    20006.008
  17.900571       0.37905409E-02   0.11156326E-02    20006.008
  18.046302       0.42710805E-02   0.10331130E-02    20006.008
  18.191142       0.50059623E-02   0.10362835E-02    20006.008
