e (keV)         k		ksqchi         	ksqdchi			
8.810632926  11.200000      -0.65951713E-01   0.25618461
8.814929306  11.250000      -0.52069030E-01   0.25930282
8.819244825  11.300000      -0.34570692E-01   0.26258321
8.82357948  11.350000      -0.19552854E-01   0.26685623
8.827933274  11.400000      -0.10737170E-01   0.27117387
8.832306204  11.450000      -0.27025650E-02   0.27557726
8.836698273  11.500000       0.65274279E-02   0.28003590
8.841109479  11.550000       0.19738545E-01   0.28460770
8.845539822  11.600000       0.46373401E-01   0.28928768
8.849989303  11.650000       0.76462826E-01   0.29336980
8.854457922  11.700000       0.92288774E-01   0.29570399
8.858945678  11.750000       0.89085777E-01   0.29806958
8.863452572  11.800000       0.74863778E-01   0.30122820
8.867978603  11.850000       0.52258264E-01   0.30440809
8.872523772  11.900000       0.31776965E-01   0.30709114
8.877088078  11.950000       0.27933490E-01   0.30966321
8.881671522  12.000000       0.32612751E-01   0.31239557
8.886274104  12.050000       0.48373705E-01   0.31523742
8.890895823  12.100000       0.63909507E-01   0.31839819
8.895536679  12.150000       0.58945205E-01   0.32198915
8.900196673  12.200000       0.39847714E-01   0.32457222
8.904875805  12.250000       0.28012938E-01   0.32442040
8.909574074  12.300000       0.27571377E-01   0.32439511
8.914291481  12.350000       0.27081802E-01   0.32537719
8.919028025  12.400000       0.23828456E-01   0.32634188
8.923783707  12.450000       0.29238672E-01   0.32717016
8.928558527  12.500000       0.50112881E-01   0.32797994
8.933352484  12.550000       0.57598141E-01   0.32626189
8.938165578  12.600000       0.23330184E-01   0.32423671
8.94299781  12.650000      -0.54050001E-02   0.32281270
8.94784918  12.700000       0.19822506E-01   0.32147784
8.952719687  12.750000       0.49804762E-01   0.31755998
8.957609332  12.800000       0.43571131E-01   0.31270843
8.962518114  12.850000       0.25057625E-01   0.30949592
8.967446034  12.900000       0.75248572E-02   0.30694419
8.972393091  12.950000      -0.11197440E-01   0.30423620
8.977359286  13.000000      -0.20824339E-01   0.30141434
8.982344619  13.050000      -0.23930005E-01   0.29852175
8.987349089  13.100000      -0.22088994E-01   0.29555802
8.992372697  13.150000      -0.16058446E-01   0.29252265
8.997415442  13.200000      -0.66211829E-02   0.28941518
9.002477324  13.250000       0.54140331E-02   0.28623519
9.007558345  13.300000       0.19212253E-01   0.28298217
9.012658503  13.350000       0.33912086E-01   0.27965570
9.017777798  13.400000       0.48625451E-01   0.27625529
9.022916231  13.450000       0.62437318E-01   0.27278051
9.028073801  13.500000       0.74405462E-01   0.26923089
9.033250509  13.550000       0.83560208E-01   0.26560595
9.038446355  13.600000       0.88904185E-01   0.26190527
9.043661338  13.650000       0.88725511E-01   0.26100512
9.048895459  13.700000       0.76347617E-01   0.26061511
9.054148717  13.750000       0.61550565E-01   0.26019840
9.059421113  13.800000       0.44388551E-01   0.25979931
9.064712646  13.850000       0.24289910E-01   0.26166994
9.070023317  13.900000       0.43442726E-03   0.26354717
9.075353126  13.950000      -0.24307748E-01   0.26543100
9.080702072  14.000000      -0.48791407E-01   0.26650596
9.086070155  14.050000      -0.70608875E-01   0.26512038
9.091457376  14.100000      -0.89027098E-01   0.26369463
9.096863735  14.150000      -0.10519728       0.26222846
9.102289231  14.200000      -0.11899486       0.26470017
9.107733865  14.250000      -0.13041656       0.27073511
9.113197636  14.300000      -0.13919103       0.27683521
9.118680545  14.350000      -0.14507234       0.28300075
9.124182592  14.400000      -0.14771832       0.28318338
9.129703776  14.450000      -0.14595450       0.28229655
9.135244097  14.500000      -0.14131672       0.28137694
9.140803556  14.550000      -0.13421333       0.28086621
9.146382153  14.600000      -0.12299288       0.28179667
9.151979887  14.650000      -0.10886335       0.28271997
9.157596759  14.700000      -0.96611786E-01   0.28363608
9.163232768  14.750000      -0.88847771E-01   0.28441543
9.168887915  14.800000      -0.10447943       0.28511486
9.1745622  14.850000      -0.12388057       0.28580415
9.180255622  14.900000      -0.13836180       0.28738027
9.185968181  14.950000      -0.12986196       0.29640142
9.191699878  15.000000      -0.88254484E-01   0.30552403
9.197450713  15.050000      -0.41795415E-01   0.31474860
9.203220685  15.100000       0.71933885E-03   0.31278813
9.209009795  15.150000       0.38223775E-03   0.30367553
9.214818042  15.200000      -0.11380011E-01   0.29442185
9.220645427  15.250000      -0.20214314E-01   0.28726150
9.226491949  15.300000      -0.21116816E-02   0.29189714
9.232357609  15.350000       0.51489942E-01   0.29657495
9.238242407  15.400000       0.11204623       0.30129511
9.244146342  15.450000       0.17104298       0.30676444
9.250069414  15.500000       0.19723854       0.31252950
9.256011625  15.550000       0.21682760       0.31834977
9.261972972  15.600000       0.23396419       0.32704834
9.267953458  15.650000       0.26640862       0.34093797
9.27395308  15.700000       0.30624886       0.35498524
9.279971841  15.750000       0.33657398       0.36906563
9.286009739  15.800000       0.34394373       0.37678365
9.292066774  15.850000       0.31462686       0.38457721
9.298142947  15.900000       0.26328657       0.39244662
9.304238258  15.950000       0.19164914       0.39666158
9.310352706  16.000000       0.14862258       0.39934981
9.316486292  16.050000       0.11007346       0.40204831
9.322639015  16.100000       0.74491166E-01   0.40475706
9.328810876  16.150000       0.41823790E-01   0.40747613
9.335001874  16.200000       0.12017009E-01   0.41020550
9.34121201  16.250000      -0.14985958E-01   0.41294516
9.347441283  16.300000      -0.39244366E-01   0.41569517
9.353689694  16.350000      -0.60819967E-01   0.41845552
9.359957243  16.400000      -0.79777027E-01   0.42122619
9.366243929  16.450000      -0.96182357E-01   0.42400725
9.372549753  16.500000      -0.11010533       0.42679867
9.378874714  16.550000      -0.12161789       0.42960049
9.385218813  16.600000      -0.13079461       0.43241266
9.391582049  16.650000      -0.13771267       0.43523528
9.397964423  16.700000      -0.14245191       0.43806831
9.404365934  16.750000      -0.14509483       0.44091174
9.410786583  16.800000      -0.14572664       0.44376564
9.41722637  16.850000      -0.14443525       0.44663000
9.423685294  16.900000      -0.14131132       0.44950481
9.430163355  16.950000      -0.13644825       0.45239008
9.436660555  17.000000      -0.12994223       0.45528586
9.443176891  17.050000      -0.12189227       0.45819214
9.449712366  17.100000      -0.11240017       0.46110890
9.456266978  17.150000      -0.10157061       0.46403622
9.462840727  17.200000      -0.89511111E-01   0.46697406
9.469433614  17.250000      -0.76332098E-01   0.46992245
9.476045638  17.300000      -0.62146910E-01   0.47288137
9.482676801  17.350000      -0.47071806E-01   0.47585089
9.4893271  17.400000      -0.31226015E-01   0.47883099
9.495996537  17.450000      -0.14731737E-01   0.48182164
9.502685112  17.500000       0.22858305E-02   0.48893970
9.509392824  17.550000       0.86145718E-02   0.50424115
9.516119674  17.600000       0.76961046E-02   0.51969330
9.522865661  17.650000       0.70038946E-02   0.53529671
9.529630786  17.700000       0.65307822E-02   0.55105202
9.536415049  17.750000       0.62693795E-02   0.56695982
9.543218449  17.800000       0.62120658E-02   0.58302077
9.550040987  17.850000       0.63509885E-02   0.59923541
9.556882662  17.900000       0.66780596E-02   0.61560437
9.563743474  17.950000       0.71849546E-02   0.63212828
9.570623425  18.000000       0.78631110E-02   0.64880773
9.577522512  18.050000       0.87037258E-02   0.66564337
9.584440738  18.100000       0.96977543E-02   0.68263575
9.591378101  18.150000       0.10835908E-01   0.69978550
9.598334601  18.200000       0.12108652E-01   0.71709323
9.605310239  18.250000       0.13506207E-01   0.73455959
9.612305015  18.300000       0.15018541E-01   0.75218511
9.619318928  18.350000       0.16635373E-01   0.76997044
9.626351979  18.400000       0.18346170E-01   0.78791620
9.633404167  18.450000       0.20140144E-01   0.80602301
9.640475493  18.500000       0.22006250E-01   0.82429143
9.647565956  18.550000       0.23933186E-01   0.84272209
9.654675557  18.600000       0.25909391E-01   0.86131561
9.661804295  18.650000       0.27923041E-01   0.88007259
9.668952171  18.700000       0.29962048E-01   0.89899368
9.676119185  18.750000       0.32014063E-01   0.91807942
9.683305336  18.800000       0.34066465E-01   0.93733044
9.690510624  18.850000       0.36106369E-01   0.95674737
9.697735051  18.900000       0.38120615E-01   0.97633084
9.704978614  18.950000       0.40095776E-01   0.97956774
9.712241316  19.000000       0.41114319E-01   0.96980325
9.719523155  19.050000       0.41866534E-01   0.95989489
9.726824131  19.100000       0.42547947E-01   0.94984212
9.734144245  19.150000       0.43153102E-01   0.93964422
9.741483496  19.200000       0.43676438E-01   0.92930067
9.748841886  19.250000       0.44112305E-01   0.91881079
9.756219412  19.300000       0.44454949E-01   0.90817394
9.763616076  19.350000       0.44698524E-01   0.89738956
9.771031878  19.400000       0.44837084E-01   0.88645697
9.778466817  19.450000       0.44864588E-01   0.87537560
9.785920894  19.500000       0.44774886E-01   0.86414482
9.793394109  19.550000       0.44561739E-01   0.85276395
9.800886461  19.600000       0.44218802E-01   0.84123245
9.80839795   19.650000       0.43739632E-01   0.82954963
9.815928577  19.700000       0.43117680E-01   0.81771494
9.823478342  19.750000       0.42346301E-01   0.80572769
9.831047244  19.800000       0.41418740E-01   0.79358732
9.838635284  19.850000       0.40328144E-01   0.78129319
9.846242461  19.900000       0.39067559E-01   0.76884462
9.853868776  19.950000       0.37629919E-01   0.75624109
9.861514228  20.000000       0.36008058E-01   0.74348188
9.869178818  20.050000       0.34194701E-01   0.73056646
9.876862545  20.100000       0.32182470E-01   0.71749417
9.88456541   20.150000       0.29963879E-01   0.70426434
9.892287413  20.200000       0.27531335E-01   0.69087644
9.900028553  20.250000       0.24877136E-01   0.67732976
9.907788831  20.300000       0.21614069E-01   0.71125947
9.915568246  20.350000       0.13214647E-01   0.75598058
9.923366799  20.400000       0.45952708E-02   0.80111582
9.931184489  20.450000      -0.42033805E-02   0.84666677
9.939021317  20.500000      -0.13139796E-01   0.89263483
9.946877282  20.550000      -0.22171628E-01   0.93902158
9.954752385  20.600000      -0.31255687E-01   0.98582842
9.962646626  20.650000      -0.40347932E-01    1.0330569
9.970560004  20.700000      -0.49403474E-01    1.0807086
9.97849252   20.750000      -0.58376564E-01    1.1287848
9.986444173  20.800000      -0.67220588E-01    1.1772872
9.994414964  20.850000      -0.75888068E-01    1.2262171
10.00240489  20.900000      -0.84330652E-01    1.2755762
10.01041396  20.950000      -0.92499106E-01    1.3253659
10.01844216  21.000000      -0.10034331        1.3755876
10.0264895   21.050000      -0.10781227        1.4262429
10.03455598  21.100000      -0.11485407        1.4773333
10.0426416   21.150000      -0.12141594        1.5288602
10.05074635  21.200000      -0.12744415        1.5808252
10.05887024  21.250000      -0.13288411        1.6332298
10.06701327  21.300000      -0.13768029        1.6860753
10.07517544  21.350000      -0.14177624        1.7393635
10.08335674  21.400000      -0.14511459        1.7930956
10.09155718  21.450000      -0.14763705        1.8472733
10.09977676  21.500000      -0.14928437        1.9018979
10.10801548  21.550000      -0.14999639        1.8867213
10.11627333  21.600000      -0.13440619        1.8465136
10.12455032  21.650000      -0.11758838        1.8058722
10.13284645  21.700000      -0.99895184E-01    1.7647957
10.14116172  21.750000      -0.81427302E-01    1.7232822
10.14949612  21.800000      -0.62287421E-01    1.6813304
10.15784967  21.850000      -0.42580230E-01    1.6389387
10.16622234  21.900000      -0.22412458E-01    1.5961054
10.17461416  21.950000      -0.18928598E-02    1.5528290
10.18302512  22.000000       0.18867758E-01    1.5091079
10.19145521  22.050000       0.39756530E-01    1.4649406
10.19990444  22.100000       0.60658520E-01    1.4203254
10.2083728   22.150000       0.81456709E-01    1.3752608
10.21686031  22.200000       0.10203198        1.3297453
10.22536695  22.250000       0.12226312        1.2837772
10.23389273  22.300000       0.14202677        1.2373549
10.24243765  22.350000       0.16119749        1.1904769
10.2510017   22.400000       0.17964764        1.1431416
10.2595849   22.450000       0.19724748        1.0953476
10.26818723  22.500000       0.21386506        1.0470930
10.27680869  22.550000       0.22936628       0.99837647
10.2854493   22.600000       0.24361485       0.94919633
10.29410904  22.650000       0.25647227       0.89955109
10.30278792  22.700000       0.26779783       0.85189139
10.31148594  22.750000       0.27061339       0.85899714
10.32020309  22.800000       0.25383941       0.86614062
10.32893939  22.850000       0.23534891       0.87332193
10.33769482  22.900000       0.21527821       0.88054113
10.34646939  22.950000       0.19376631       0.88779841
10.35526309  23.000000       0.17095488       0.89509382
10.36407593  23.050000       0.14698828       0.90242744
10.37290792  23.100000       0.12201360       0.90979939
10.38175903  23.150000       0.96180612E-01   0.91720976
10.39062929  23.200000       0.69641867E-01   0.92465859
10.39951868  23.250000       0.42552636E-01   0.93214608
10.40842721  23.300000       0.15070974E-01   0.93967229
10.41735488  23.350000      -0.12642285E-01   0.94723729
10.42630169  23.400000      -0.40423511E-01   0.95484121
10.43526763  23.450000      -0.68106260E-01   0.96248412
10.44425271  23.500000      -0.95521269E-01   0.97016607
10.45325693  23.550000      -0.12249642       0.97788727
10.46228029  23.600000      -0.14885674       0.98564777
10.47132278  23.650000      -0.17442439       0.99344765
10.48038441  23.700000      -0.19901865        1.0012870
10.48946518  23.750000      -0.22245588        1.0091660
10.49856509  23.800000      -0.24454953        1.0170845
10.50768413  23.850000      -0.26511013        1.0241755
10.51682231  23.900000      -0.26687362        1.0305142
10.52597963  23.950000      -0.26117241        1.0368790
10.53515609  24.000000      -0.25375735        1.0432699
10.54435168  24.050000      -0.24471971        1.0496871
10.55356641  24.100000      -0.23415256        1.0561305
10.56280028  24.150000      -0.22215073        1.0626002
10.57205329  24.200000      -0.20881088        1.0690962
10.58132543  24.250000      -0.19423146        1.0756187
10.59061672  24.300000      -0.17851275        1.0821676
10.59992714  24.350000      -0.16175687        1.0887431
10.60925669  24.400000      -0.14406775        1.0953451
10.61860539  24.450000      -0.12555122        1.1019738
10.62797322  24.500000      -0.10631492        1.1086291
10.63736019  24.550000      -0.86468372E-01    1.1153112
10.6467663   24.600000      -0.66123001E-01    1.1220200
10.65619154  24.650000      -0.45392093E-01    1.1287557
10.66563592  24.700000      -0.24390845E-01    1.1355183
10.67509944  24.750000      -0.32363595E-02    1.1423078
10.6845821   24.800000       0.17952345E-01    1.1491244
10.6940839   24.850000       0.39054320E-01    1.1559680
10.70360483  24.900000       0.59946682E-01    1.1627609
10.7131449   24.950000       0.79175881E-01    1.1655706
10.72270411  25.000000       0.93579850E-01    1.1683748
10.73228245  25.050000       0.10746736        1.1711733
10.74187993  25.100000       0.12078703        1.1739662
10.75149655  25.150000       0.13348677        1.1767533
10.76113231  25.200000       0.14551375        1.1795347
10.77078721  25.250000       0.15681436        1.1823102
10.78046124  25.300000       0.16733431        1.1850799
10.79015441  25.350000       0.17701850        1.1878437
10.79986672  25.400000       0.18581113        1.1906016
10.80959816  25.450000       0.19365559        1.1933534
10.81934875  25.500000       0.20049457        1.1960992
10.82911847  25.550000       0.20626994        1.1988390
10.83890733  25.600000       0.21092286        1.2015726
10.84871532  25.650000       0.21439367        1.2043001
10.85854246  25.700000       0.21662198        1.2070213
10.86838873  25.750000       0.21754658        1.2097363
10.87825414  25.800000       0.21710552        1.2124450
10.88813868  25.850000       0.21523604        1.2151473
10.89804237  25.900000       0.21187461        1.2178433
10.90796519  25.950000       0.20695690        1.2203148
10.91790715  26.000000       0.18975610        1.2224597
10.92786824  26.050000       0.16415175        1.2245939
10.93784848  26.100000       0.13714496        1.2267175
10.94784785  26.150000       0.10893329        1.2288302
10.95786636  26.200000       0.79717499E-01    1.2309322
10.967904    26.250000       0.49701543E-01    1.2330232
10.97796079  26.300000       0.19092595E-01    1.2351032
10.98803671  26.350000      -0.11898920E-01    1.2371723
10.99813177  26.400000      -0.43059330E-01    1.2392303
11.00824596  26.450000      -0.74171689E-01    1.2412772
11.0183793   26.500000      -0.10501577        1.2433129
11.02853177  26.550000      -0.13536804        1.2453374
11.03870338  26.600000      -0.16500165        1.2473505
11.04889413  26.650000      -0.19368643        1.2493523
11.05910401  26.700000      -0.22118884        1.2513427
11.06933303  26.750000      -0.24727201        1.2533217
11.07958119  26.800000      -0.27169565        1.2552892
