 silver                                                           Feff 8.10
 Abs   Z=47 Rmt= 1.582 Rnm= 1.631 K  shell
 Pot 1 Z=47 Rmt= 1.538 Rnm= 1.579
 Gam_ch=8.302E+00 H-L exch
 Mu=-2.749E+00 kf=1.690E+00 Vint=-1.363E+01 Rs_int= 2.146
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2  12.000   2.8921    2.9849   -2.74882 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  47 Ag       absorbing atom
     0.0000    2.0450    2.0450  1  47 Ag    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  9.8801E+00  0.0000E+00 -1.0842E+01  1.018E+00  3.1556E+00  1.7191E+00
  0.100  9.8797E+00  5.4678E-02 -1.1409E+01  1.019E+00  3.1606E+00  1.7218E+00
  0.200  9.8785E+00  1.0817E-01 -1.1954E+01  1.022E+00  3.1754E+00  1.7299E+00
  0.300  9.8762E+00  1.5939E-01 -1.2476E+01  1.027E+00  3.1996E+00  1.7434E+00
  0.400  9.8728E+00  2.0744E-01 -1.2976E+01  1.033E+00  3.2327E+00  1.7621E+00
  0.500  9.8680E+00  2.5165E-01 -1.3453E+01  1.042E+00  3.2738E+00  1.7859E+00
  0.600  9.8613E+00  2.9157E-01 -1.3908E+01  1.051E+00  3.3219E+00  1.8147E+00
  0.700  9.8525E+00  3.2697E-01 -1.4339E+01  1.062E+00  3.3759E+00  1.8483E+00
  0.800  9.8410E+00  3.5774E-01 -1.4748E+01  1.075E+00  3.4345E+00  1.8865E+00
  0.900  9.8263E+00  3.8388E-01 -1.5133E+01  1.088E+00  3.4964E+00  1.9292E+00
  1.000  9.8080E+00  4.0538E-01 -1.5495E+01  1.102E+00  3.5602E+00  1.9763E+00
  1.100  9.7854E+00  4.2224E-01 -1.5832E+01  1.116E+00  3.6247E+00  2.0275E+00
  1.200  9.7580E+00  4.3437E-01 -1.6143E+01  1.132E+00  3.6886E+00  2.0828E+00
  1.300  9.7251E+00  4.4168E-01 -1.6429E+01  1.147E+00  3.7512E+00  2.1421E+00
  1.400  9.6861E+00  4.4401E-01 -1.6686E+01  1.162E+00  3.8118E+00  2.2054E+00
  1.500  9.6404E+00  4.4126E-01 -1.6914E+01  1.177E+00  3.8704E+00  2.2727E+00
  1.600  9.5872E+00  4.3341E-01 -1.7109E+01  1.191E+00  3.9275E+00  2.3440E+00
  1.700  9.5259E+00  4.2069E-01 -1.7267E+01  1.204E+00  3.9845E+00  2.4194E+00
  1.800  9.4555E+00  4.0379E-01 -1.7383E+01  1.215E+00  4.0437E+00  2.4991E+00
  1.900  9.3753E+00  3.8347E-01 -1.7448E+01  1.224E+00  4.1087E+00  2.5833E+00
  2.000  9.2749E+00  3.5926E-01 -1.7424E+01  1.229E+00  4.1878E+00  2.6757E+00
  2.200  9.0383E+00  3.2647E-01 -1.7349E+01  1.421E+00  3.5871E+00  2.8773E+00
  2.400  9.0047E+00  3.3748E-01 -1.7424E+01  1.540E+00  3.2879E+00  3.0134E+00
  2.600  8.9677E+00  4.0208E-01 -1.7428E+01  1.582E+00  3.1728E+00  3.1472E+00
  2.800  8.8984E+00  5.0939E-01 -1.7428E+01  1.581E+00  3.1510E+00  3.2915E+00
  3.000  8.8097E+00  6.4893E-01 -1.7464E+01  1.559E+00  3.1823E+00  3.4423E+00
  3.200  8.7088E+00  7.9006E-01 -1.7508E+01  1.518E+00  3.2484E+00  3.5990E+00
  3.400  8.5961E+00  9.0633E-01 -1.7546E+01  1.476E+00  3.3394E+00  3.7609E+00
  3.600  8.4776E+00  9.8889E-01 -1.7573E+01  1.432E+00  3.4495E+00  3.9275E+00
  3.800  8.3543E+00  1.0181E+00 -1.7584E+01  1.389E+00  3.5749E+00  4.0982E+00
  4.000  8.2268E+00  1.0097E+00 -1.7584E+01  1.350E+00  3.7127E+00  4.2723E+00
  4.200  8.0988E+00  9.6616E-01 -1.7576E+01  1.311E+00  3.8611E+00  4.4496E+00
  4.400  7.9677E+00  8.9949E-01 -1.7555E+01  1.277E+00  4.0186E+00  4.6294E+00
  4.600  7.8355E+00  8.1755E-01 -1.7524E+01  1.245E+00  4.1839E+00  4.8116E+00
  4.800  7.7027E+00  7.2913E-01 -1.7483E+01  1.219E+00  4.3562E+00  4.9957E+00
  5.000  7.5692E+00  6.4029E-01 -1.7423E+01  1.191E+00  4.5347E+00  5.1816E+00
