#	energy	(eV)	muonrho	dmuonrho				
8584.070000	0.086261	0.000201	
8593.960000	0.085316	0.000218	
8600.000382	0.084309	0.004114	
8610.000610	0.083697	0.002452	
8620.000839	0.083085	0.000790	
8630.000114	0.082529	0.000121	
8640.000343	0.082012	0.000172	
8650.000572	0.081793	0.000158	
8660.000801	0.081778	0.000100	
8670.000076	0.081268	0.000092	
8680.000305	0.080453	0.000116	
8690.000534	0.080262	0.000148	
8700.000763	0.080510	0.000186	
8710.000038	0.079810	0.000214	
8720.000267	0.078525	0.000235	
8730.000496	0.077762	0.000196	
8740.000725	0.077328	0.000118	
8750.000000	0.076767	0.000113	
8760.000229	0.076126	0.000153	
8770.000458	0.075869	0.000219	
8780.000687	0.075831	0.000299	
8789.999962	0.075172	0.000287	
8800.000191	0.074094	0.000214	
8810.000420	0.073767	0.000157	
8820.000649	0.073908	0.000110	
8829.999924	0.073578	0.000129	
8840.000153	0.072931	0.000191	
8850.000382	0.072285	0.000253	
8860.000610	0.071839	0.000239	
8870.000839	0.071543	0.000168	
8880.000114	0.071248	0.000097	
8890.000343	0.070944	0.000070	
8900.000572	0.070636	0.000073	
8910.000801	0.070327	0.000077	
8920.000076	0.069761	0.000074	
8930.000305	0.069005	0.000067	
8940.000534	0.068249	0.000060	
8950.000763	0.068060	0.000126	
8960.000038	0.067724	0.000118	
8970.000267	0.067388	0.000110	
8980.000496	0.067042	0.000110	
8990.000725	0.066690	0.000115	
9000.000000	0.066337	0.000120	
9010.000229	0.065959	0.000115	
9020.000458	0.065561	0.000105	
9030.000687	0.065164	0.000094	
9039.999962	0.064767	0.000083	
9050.000191	0.064208	0.000231	
9060.000420	0.063532	0.000494	
9070.000649	0.062855	0.000757	
9079.999924	0.062179	0.001019	
9090.000153	0.061730	0.000984	
9100.000382	0.061461	0.000712	
9110.000610	0.061191	0.000439	
9120.000839	0.060921	0.000167	
9130.000114	0.060590	0.000053	
9140.000343	0.060211	0.000063	
9150.000572	0.059832	0.000073	
9160.000801	0.059453	0.000083	
9170.000076	0.059173	0.000080	
9180.000305	0.058977	0.000066	
9190.000534	0.058781	0.000052	
9200.000763	0.058585	0.000038	
9210.000038	0.058212	0.000079	
9220.000267	0.057692	0.000165	
9230.000496	0.057171	0.000250	
9240.000725	0.056651	0.000336	
9250.000000	0.056346	0.000329	
9260.000229	0.056215	0.000246	
9270.000458	0.056084	0.000163	
9280.000687	0.055953	0.000080	
9289.999962	0.055682	0.000067	
9300.000191	0.055308	0.000106	
9310.000420	0.054933	0.000145	
9320.000649	0.054559	0.000185	
9329.999924	0.054321	0.000176	
9340.000153	0.054183	0.000133	
9350.000382	0.054045	0.000089	
9360.000610	0.053907	0.000046	
9370.000839	0.053645	0.000055	
9380.000114	0.053296	0.000100	
9390.000343	0.052947	0.000145	
9400.000572	0.052599	0.000191	
9410.000801	0.052383	0.000192	
9420.000076	0.052271	0.000160	
9430.000305	0.052159	0.000128	
9440.000534	0.052047	0.000096	
9450.000763	0.051935	0.000063	
9460.000038	0.051749	0.000063	
9470.000267	0.051502	0.000089	
9480.000496	0.051254	0.000114	
9490.000725	0.051006	0.000140	
9500.000000	0.050758	0.000166
