# data from ifeffit
#------------------------
#   energy         xmu         bkg         k
  8430.0000        1.6103156       0.73202422        10.324608
  8432.0100        1.6123217       0.73240548        10.450680
  8434.0000        1.6140448       0.73271980        10.575496
  8436.0100        1.6153702       0.73297488        10.698244
  8438.0000        1.6161601       0.73316704        10.819963
  8440.0200        1.6167769       0.73330205        10.940686
  8442.0000        1.6175103       0.73337704        10.940686
  8443.9900        1.6177483       0.73339657        11.059500
  8446.0100        1.6179063       0.73336054        11.177286
  8448.0000        1.6178037       0.73327141        11.293727
  8449.9900        1.6180888       0.73313041        11.409324
  8452.0100        1.6185418       0.73293564        11.523648
  8454.0100        1.6189518       0.73269293        11.636624
  8456.0000        1.6192809       0.73240356        11.748513
  8458.0000        1.6199674       0.73206599        11.859568
  8459.9900        1.6203088       0.73168499        11.969483
  8461.9900        1.6206806       0.73125809        12.078614
  8463.9900        1.6207735       0.73078848        12.186231
  8465.9900        1.6208085       0.73027754        12.293226
  8467.9900        1.6204760       0.72972667        12.399508
  8469.9900        1.6195536       0.72913724        12.504469
  8471.9900        1.6182369       0.72851064        12.608763
  8473.9900        1.6168477       0.72784825        12.712408
  8476.0000        1.6144027       0.72714788        12.814806
  8478.0000        1.6125840       0.72641791        12.916594
  8480.0100        1.6095356       0.72565242        13.017789
  8482.0100        1.6071638       0.72486043        13.117803
  8483.9900        1.6042314       0.72404793        13.217258
  8486.0000        1.6019038       0.72319557        13.414250
  8488.0100        1.5992073       0.72231687        13.607910
  8489.9900        1.5967381       0.72142688        13.799042
  8492.0000        1.5940267       0.72050002        13.987468
  8494.0100        1.5923346       0.71955101        14.173482
  8495.9900        1.5901009       0.71859586        14.357360
  8498.0100        1.5881025       0.71760205        14.538373
  8499.9900        1.5825860       0.71661032        14.717603
  8509.9900        1.5744898       0.71138355        14.894590
