# data from ifeffit
#------------------------
#   k         chi         dchi         e0
  8.0432246      -0.23116555E-01   0.45219647E-03    8330.5100
  8.2045871      -0.21521191E-01   0.39198338E-03    8330.5100
  8.3625235      -0.25814525E-01   0.51592855E-03    8330.5100
  8.3625235      -0.22445563E-01   0.45200475E-03    8330.5100
  8.5175318      -0.23962301E-01   0.36664503E-03    8330.5100
  8.6700712      -0.25313464E-01   0.39653518E-03    8330.5100
  8.8198245      -0.23218013E-01   0.42093857E-03    8330.5100
  8.9670771      -0.23129370E-01   0.38627528E-03    8330.5100
  9.1118067      -0.18992081E-01   0.43345453E-03    8330.5100
  9.2545561      -0.17398532E-01   0.47825066E-03    8330.5100
  9.3949975      -0.13332504E-01   0.41314947E-03    8330.5100
  9.5332328      -0.10758556E-01   0.38529557E-03    8330.5100
  9.6698983      -0.61090943E-02   0.36473914E-03    8330.5100
  9.8039913      -0.50922331E-02   0.58443536E-03    8330.5100
  9.9366701      -0.15226784E-02   0.51044019E-03    8330.5100
  10.067991      -0.97446964E-03   0.38706980E-03    8330.5100
  10.196978       0.23380180E-02   0.32807076E-03    8330.5100
  10.324608       0.22086147E-02   0.43247459E-03    8330.5100
  10.450680       0.51116845E-02   0.61088677E-03    8330.5100
  10.575496       0.56419890E-02   0.48799807E-03    8330.5100
  10.698244       0.86198510E-02   0.39099969E-03    8330.5100
  10.819963       0.91829029E-02   0.45720042E-03    8330.5100
  10.940686       0.99860527E-02   0.32986232E-03    8330.5100
  10.940686       0.13704694E-01   0.59668825E-03    8330.5100
  11.059500       0.12316162E-01   0.57967463E-03    8330.5100
  11.177286       0.14731692E-01   0.45156847E-03    8330.5100
  11.293727       0.14560447E-01   0.46473005E-03    8330.5100
  11.409324       0.16607317E-01   0.42370132E-03    8330.5100
  11.523648       0.16058067E-01   0.51412311E-03    8330.5100
  11.636624       0.18127965E-01   0.52072847E-03    8330.5100
  11.748513       0.16831779E-01   0.58862465E-03    8330.5100
  11.859568       0.17768040E-01   0.50050877E-03    8330.5100
  11.969483       0.16618168E-01   0.50684862E-03    8330.5100
  12.078614       0.17877808E-01   0.49140744E-03    8330.5100
  12.186231       0.15796853E-01   0.62658669E-03    8330.5100
  12.293226       0.16679017E-01   0.43990857E-03    8330.5100
  12.399508       0.14946117E-01   0.55690139E-03    8330.5100
  12.504469       0.15949306E-01   0.58830167E-03    8330.5100
  12.608763       0.13526771E-01   0.56570089E-03    8330.5100
  12.712408       0.14529836E-01   0.54802452E-03    8330.5100
  12.814806       0.12349847E-01   0.47262463E-03    8330.5100
  12.916594       0.12683995E-01   0.46650171E-03    8330.5100
  13.017789       0.12561585E-01   0.52825447E-03    8330.5100
  13.117803       0.13702310E-01   0.57819925E-03    8330.5100
  13.217258       0.91019201E-02   0.62990624E-03    8330.5100
  13.414250       0.10283939E-01   0.65330108E-03    8330.5100
  13.607910       0.44207886E-02   0.51768633E-03    8330.5100
  13.799042       0.53126160E-02   0.64672803E-03    8330.5100
  13.987468      -0.37144975E-03   0.60126086E-03    8330.5100
  14.173482       0.36759812E-03   0.45615134E-03    8330.5100
  14.357360      -0.49123759E-02   0.56991218E-03    8330.5100
  14.538373      -0.37813829E-02   0.48800581E-03    8330.5100
  14.717603      -0.85356805E-02   0.45583884E-03    8330.5100
  14.894590      -0.76115704E-02   0.49597853E-03    8330.5100
  15.069237      -0.11330757E-01   0.69494650E-03    8330.5100
  15.242055      -0.97407393E-02   0.40759811E-03    8330.5100
  15.412766      -0.12063954E-01   0.43428699E-03    8330.5100
  15.582110      -0.97406949E-02   0.50799198E-03    8330.5100
  15.749052      -0.12245630E-01   0.62555255E-03    8330.5100
  15.914654      -0.98341145E-02   0.71938852E-03    8330.5100
  17.483123       0.32555470E-03   0.75417650E-03    8330.5100
  18.921954       0.14649880E-01   0.90183509E-03    8330.5100
  20.258981      -0.14871693E-01   0.14874369E-02    8330.5100
