#	energy	(eV)	muonrho
8.458E+03	5.46889E+01	8.53700E-02
8.460E+03	5.47483E+01	9.44700E-02
8.462E+03	5.45447E+01	8.99000E-02
8.464E+03	5.48027E+01	8.53800E-02
8.466E+03	5.47076E+01	7.20500E-02
8.469E+03	5.47508E+01	9.16200E-02
8.479E+03	5.45002E+01	8.16500E-02
8.489E+03	5.44326E+01	8.18600E-02
8.499E+03	5.45378E+01	1.45320E-01
8.509E+03	5.32093E+01	1.24390E-01
8.519E+03	5.25364E+01	7.81200E-02
8.529E+03	5.18447E+01	1.14390E-01
8.539E+03	5.19105E+01	7.92000E-02
8.549E+03	5.13640E+01	7.99200E-02
8.559E+03	5.18442E+01	5.82700E-02
8.569E+03	5.18060E+01	1.13540E-01
8.579E+03	5.11984E+01	8.92600E-02
8.589E+03	5.04235E+01	9.18300E-02
8.599E+03	5.04202E+01	9.02300E-02
8.609E+03	5.00431E+01	8.40000E-02
8.619E+03	4.96276E+01	6.47800E-02
8.640E+03	4.91938E+01	1.42150E-01
8.660E+03	4.88465E+01	1.00860E-01
8.679E+03	4.80330E+01	1.50450E-01
8.700E+03	4.80933E+01	8.89600E-02
8.720E+03	4.76965E+01	9.64000E-02
8.740E+03	4.72887E+01	8.32700E-02
8.760E+03	4.66689E+01	7.70400E-02
8.779E+03	4.66476E+01	7.75300E-02
8.800E+03	4.60529E+01	9.03800E-02
8.820E+03	4.61991E+01	7.74300E-02
8.840E+03	4.59728E+01	1.01860E-01
8.870E+03	4.55757E+01	5.60100E-02
8.900E+03	4.50012E+01	1.36850E-01
8.930E+03	4.55676E+01	5.43800E-02
