EN	MUT	ERR
9079.99	1.278143	0.000351
9099.99	1.271742	0.000266
9120.02	1.261864	0.000332
9139.99	1.255750	0.000284
9160.01	1.246169	0.000265
9180.02	1.239834	0.000288
9200.00	1.230721	0.000403
9220.00	1.224554	0.000236
9239.98	1.215986	0.000251
9260.02	1.209951	0.000293
9279.99	1.201043	0.000360
9300.01	1.194847	0.000413
9500.01	1.122813	0.000421
9700.00	1.060469	0.000496
9900.01	0.997425	0.000841
