# data from ifeffit
#------------------------
#   k         chi         chi       dchi         win
  1.8500000       0.14939334       0.18165331       0.43194797E-02    0.0000000
  1.9000000       0.13822814       0.17298689       0.26953145E-02    0.0000000
  1.9500000       0.11115845       0.15923185       0.26134926E-02    0.0000000
  2.0000000       0.10093323       0.14074953       0.28070906E-02    0.0000000
  2.0500000       0.65037763E-01   0.11701029       0.28062978E-02    0.0000000
  2.1000000       0.59816850E-01   0.88666357E-01   0.26906194E-02    0.0000000
  2.1500000       0.30446764E-01   0.56026110E-01   0.27353389E-02    0.0000000
  2.2000000      -0.62585206E-02   0.19711078E-01   0.28444246E-02    0.0000000
  2.2500000      -0.26256279E-01  -0.19023337E-01   0.28203521E-02    0.0000000
  2.3000000      -0.31745766E-01  -0.57802011E-01   0.26854953E-02    0.0000000
  2.3500000      -0.64665375E-01  -0.95071048E-01   0.27743024E-02    0.0000000
  2.4000000      -0.86693971E-01  -0.13120199       0.27841111E-02    0.0000000
  2.4500000      -0.10780865      -0.16282136       0.29785352E-02    0.0000000
  2.5000000      -0.11111953      -0.18821297       0.34054602E-02    0.0000000
  2.5500000      -0.13830605      -0.20644619       0.27809160E-02    0.0000000
  2.6000000      -0.15482422      -0.21605648       0.27805910E-02    0.0000000
  2.6500000      -0.16895580      -0.21812163       0.31285212E-02    0.0000000
  2.7000000      -0.18072988      -0.21348882       0.57170424E-02    0.0000000
  2.7500000      -0.17345908      -0.20286076       0.36691437E-02    0.0000000
  2.8000000      -0.17997797      -0.18695793       0.33005302E-02    0.0000000
  2.8500000      -0.17365806      -0.16831131       0.45983724E-02    0.0000000
  2.9000000      -0.15473065      -0.14826905       0.41778315E-02    0.0000000
  2.9500000      -0.13780525      -0.12973176       0.29021016E-02    0.0000000
  3.0000000      -0.11313291      -0.11165933       0.28384685E-02    0.0000000
  3.0500000      -0.86243943E-01  -0.91743484E-01   0.27953569E-02    0.0000000
  3.1000000      -0.60219492E-01  -0.70243022E-01   0.28178275E-02    0.0000000
  3.1500000      -0.29061276E-01  -0.49082853E-01   0.28169827E-02   0.54067422E-29
  3.2000000       0.48691028E-02  -0.28249594E-01   0.27881090E-02   0.66986993E-01
  3.2500000       0.22938447E-01  -0.75223317E-02   0.29145349E-02   0.24999894
  3.3000000       0.32941845E-01   0.12478232E-01   0.29856937E-02   0.49999817
  3.3500000       0.44081793E-01   0.31941418E-01   0.28177419E-02   0.74999788
  3.4000000       0.51454017E-01   0.49809063E-01   0.32256446E-02   0.93301117
  3.4500000       0.59444764E-01   0.65413307E-01   0.36478502E-02   1.00000000
  3.5000000       0.75071275E-01   0.78368768E-01   0.31144835E-02    1.0000000
  3.5500000       0.82345200E-01   0.88562493E-01   0.31014536E-02    1.0000000
  3.6000000       0.87517491E-01   0.95620433E-01   0.31727542E-02    1.0000000
  3.6500000       0.99071671E-01   0.99467731E-01   0.30556899E-02    1.0000000
  3.7000000       0.10168590       0.10017100       0.30341499E-02    1.0000000
  3.7500000       0.94019569E-01   0.97818420E-01   0.30290677E-02    1.0000000
  3.8000000       0.82948098E-01   0.92792905E-01   0.30081443E-02    1.0000000
  3.8500000       0.93095274E-01   0.85521507E-01   0.27484499E-02    1.0000000
  3.9000000       0.84287602E-01   0.76498552E-01   0.27838333E-02    1.0000000
  3.9500000       0.63729824E-01   0.66182436E-01   0.29219890E-02    1.0000000
  4.0000000       0.55490508E-01   0.55187414E-01   0.29733682E-02    1.0000000
  4.0500000       0.44726005E-01   0.44050610E-01   0.29825233E-02    1.0000000
  4.1000000       0.23526861E-01   0.33227048E-01   0.37517580E-02    1.0000000
  4.1500000       0.14439878E-01   0.23054667E-01   0.34643599E-02    1.0000000
  4.2000000       0.15715793E-01   0.13822349E-01   0.29875692E-02    1.0000000
  4.2500000       0.64996373E-02   0.56689963E-02   0.28633276E-02    1.0000000
  4.3000000      -0.83970808E-02  -0.14033296E-02   0.29897563E-02    1.0000000
  4.3500000      -0.16952635E-01  -0.74814876E-02   0.28867589E-02    1.0000000
  4.4000000      -0.14154437E-01  -0.12653203E-01   0.27281319E-02    1.0000000
  4.4500000      -0.12152303E-01  -0.17094172E-01   0.27912063E-02    1.0000000
  4.5000000      -0.26930313E-01  -0.20981591E-01   0.28342025E-02    1.0000000
  4.5500000      -0.30487665E-01  -0.24465764E-01   0.28606315E-02    1.0000000
  4.6000000      -0.17999734E-01  -0.27637217E-01   0.27486925E-02    1.0000000
  4.6500000      -0.25224117E-01  -0.30512988E-01   0.27532925E-02    1.0000000
  4.7000000      -0.32336652E-01  -0.33053694E-01   0.27770113E-02    1.0000000
  4.7500000      -0.41649173E-01  -0.35171048E-01   0.28238983E-02    1.0000000
  4.8000000      -0.51121094E-01  -0.36670516E-01   0.28414668E-02    1.0000000
  4.8500000      -0.49846498E-01  -0.37352351E-01   0.28401723E-02    1.0000000
  4.9000000      -0.43149995E-01  -0.37095365E-01   0.29012894E-02    1.0000000
  4.9500000      -0.36067232E-01  -0.35776201E-01   0.29687798E-02    1.0000000
  5.0000000      -0.40503772E-01  -0.33280016E-01   0.27728166E-02    1.0000000
  5.0500000      -0.35265118E-01  -0.29652795E-01   0.27297749E-02    1.0000000
  5.1000000      -0.31147621E-01  -0.25125853E-01   0.28185004E-02    1.0000000
  5.1500000      -0.27578737E-01  -0.19922461E-01   0.30755736E-02    1.0000000
  5.2000000      -0.18674778E-01  -0.14327579E-01   0.61215858E-02    1.0000000
