 name:     copper                                                 Feff 8.10
 formula:  Cu
 sites:    Cu1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, fcc
 Abs   Z=29 Rmt= 1.407 Rnm= 1.452 K  shell
 Pot 1 Z=29 Rmt= 1.353 Rnm= 1.390
 Gam_ch=1.729E+00 H-L exch
 Mu=-7.603E+00 kf=1.992E+00 Vint=-1.688E+01 Rs_int= 1.821
 S02  1.000                                        Global sig2  0.00000
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    0/   0 paths used
 -----------------------------------------------------------------------
      k          chi          mag           phase @#
     4.7500    0.000000E+00  0.000000E+00  0.000000E+00
     4.8000    0.000000E+00  0.000000E+00  0.000000E+00
     4.8500    0.000000E+00  0.000000E+00  0.000000E+00
     4.9000    0.000000E+00  0.000000E+00  0.000000E+00
     4.9500    0.000000E+00  0.000000E+00  0.000000E+00
     5.0000    0.000000E+00  0.000000E+00  0.000000E+00
     5.0500    0.000000E+00  0.000000E+00  0.000000E+00
     5.1000    0.000000E+00  0.000000E+00  0.000000E+00
     5.1500    0.000000E+00  0.000000E+00  0.000000E+00
     5.2000    0.000000E+00  0.000000E+00  0.000000E+00
     5.2500    0.000000E+00  0.000000E+00  0.000000E+00
     5.3000    0.000000E+00  0.000000E+00  0.000000E+00
     5.3500    0.000000E+00  0.000000E+00  0.000000E+00
     5.4000    0.000000E+00  0.000000E+00  0.000000E+00
     5.4500    0.000000E+00  0.000000E+00  0.000000E+00
     5.5000    0.000000E+00  0.000000E+00  0.000000E+00
     5.5500    0.000000E+00  0.000000E+00  0.000000E+00
     5.6000    0.000000E+00  0.000000E+00  0.000000E+00
     5.6500    0.000000E+00  0.000000E+00  0.000000E+00
     5.7000    0.000000E+00  0.000000E+00  0.000000E+00
     5.7500    0.000000E+00  0.000000E+00  0.000000E+00
     5.8000    0.000000E+00  0.000000E+00  0.000000E+00
     5.8500    0.000000E+00  0.000000E+00  0.000000E+00
     5.9000    0.000000E+00  0.000000E+00  0.000000E+00
     5.9500    0.000000E+00  0.000000E+00  0.000000E+00
     6.0000    0.000000E+00  0.000000E+00  0.000000E+00
     6.0500    0.000000E+00  0.000000E+00  0.000000E+00
     6.1000    0.000000E+00  0.000000E+00  0.000000E+00
     6.1500    0.000000E+00  0.000000E+00  0.000000E+00
     6.2000    0.000000E+00  0.000000E+00  0.000000E+00
     6.2500    0.000000E+00  0.000000E+00  0.000000E+00
     6.3000    0.000000E+00  0.000000E+00  0.000000E+00
     6.3500    0.000000E+00  0.000000E+00  0.000000E+00
     6.4000    0.000000E+00  0.000000E+00  0.000000E+00
     6.4500    0.000000E+00  0.000000E+00  0.000000E+00
     6.5000    0.000000E+00  0.000000E+00  0.000000E+00
     6.5500    0.000000E+00  0.000000E+00  0.000000E+00
     6.6000    0.000000E+00  0.000000E+00  0.000000E+00
     6.6500    0.000000E+00  0.000000E+00  0.000000E+00
     6.7000    0.000000E+00  0.000000E+00  0.000000E+00
     6.7500    0.000000E+00  0.000000E+00  0.000000E+00
     6.8000    0.000000E+00  0.000000E+00  0.000000E+00
     6.8500    0.000000E+00  0.000000E+00  0.000000E+00
     6.9000    0.000000E+00  0.000000E+00  0.000000E+00
     6.9500    0.000000E+00  0.000000E+00  0.000000E+00
     7.0000    0.000000E+00  0.000000E+00  0.000000E+00
     7.0500    0.000000E+00  0.000000E+00  0.000000E+00
     7.1000    0.000000E+00  0.000000E+00  0.000000E+00
     7.1500    0.000000E+00  0.000000E+00  0.000000E+00
     7.2000    0.000000E+00  0.000000E+00  0.000000E+00
     7.2500    0.000000E+00  0.000000E+00  0.000000E+00
     7.3000    0.000000E+00  0.000000E+00  0.000000E+00
     7.3500    0.000000E+00  0.000000E+00  0.000000E+00
     7.4000    0.000000E+00  0.000000E+00  0.000000E+00
     7.4500    0.000000E+00  0.000000E+00  0.000000E+00
     7.5000    0.000000E+00  0.000000E+00  0.000000E+00
     7.5500    0.000000E+00  0.000000E+00  0.000000E+00
     7.6000    0.000000E+00  0.000000E+00  0.000000E+00
     7.6500    0.000000E+00  0.000000E+00  0.000000E+00
     7.7000    0.000000E+00  0.000000E+00  0.000000E+00
     7.7500    0.000000E+00  0.000000E+00  0.000000E+00
     7.8000    0.000000E+00  0.000000E+00  0.000000E+00
     7.8500    0.000000E+00  0.000000E+00  0.000000E+00
     7.9000    0.000000E+00  0.000000E+00  0.000000E+00
     7.9500    0.000000E+00  0.000000E+00  0.000000E+00
     8.0000    0.000000E+00  0.000000E+00  0.000000E+00
     8.0500    0.000000E+00  0.000000E+00  0.000000E+00
     8.1000    0.000000E+00  0.000000E+00  0.000000E+00
     8.1500    0.000000E+00  0.000000E+00  0.000000E+00
     8.2000    0.000000E+00  0.000000E+00  0.000000E+00
     8.2500    0.000000E+00  0.000000E+00  0.000000E+00
     8.3000    0.000000E+00  0.000000E+00  0.000000E+00
     8.3500    0.000000E+00  0.000000E+00  0.000000E+00
     8.4000    0.000000E+00  0.000000E+00  0.000000E+00
     8.4500    0.000000E+00  0.000000E+00  0.000000E+00
     8.5000    0.000000E+00  0.000000E+00  0.000000E+00
     8.5500    0.000000E+00  0.000000E+00  0.000000E+00
     8.6000    0.000000E+00  0.000000E+00  0.000000E+00
     8.6500    0.000000E+00  0.000000E+00  0.000000E+00
     8.7000    0.000000E+00  0.000000E+00  0.000000E+00
     8.7500    0.000000E+00  0.000000E+00  0.000000E+00
     8.8000    0.000000E+00  0.000000E+00  0.000000E+00
     8.8500    0.000000E+00  0.000000E+00  0.000000E+00
     8.9000    0.000000E+00  0.000000E+00  0.000000E+00
     8.9500    0.000000E+00  0.000000E+00  0.000000E+00
     9.0000    0.000000E+00  0.000000E+00  0.000000E+00
     9.0500    0.000000E+00  0.000000E+00  0.000000E+00
     9.1000    0.000000E+00  0.000000E+00  0.000000E+00
     9.1500    0.000000E+00  0.000000E+00  0.000000E+00
     9.2000    0.000000E+00  0.000000E+00  0.000000E+00
     9.2500    0.000000E+00  0.000000E+00  0.000000E+00
     9.3000    0.000000E+00  0.000000E+00  0.000000E+00
     9.3500    0.000000E+00  0.000000E+00  0.000000E+00
     9.4000    0.000000E+00  0.000000E+00  0.000000E+00
     9.4500    0.000000E+00  0.000000E+00  0.000000E+00
     9.5000    0.000000E+00  0.000000E+00  0.000000E+00
     9.5500    0.000000E+00  0.000000E+00  0.000000E+00
     9.6000    0.000000E+00  0.000000E+00  0.000000E+00
     9.6500    0.000000E+00  0.000000E+00  0.000000E+00
     9.7000    0.000000E+00  0.000000E+00  0.000000E+00
     9.7500    0.000000E+00  0.000000E+00  0.000000E+00
     9.8000    0.000000E+00  0.000000E+00  0.000000E+00
     9.8500    0.000000E+00  0.000000E+00  0.000000E+00
     9.9000    0.000000E+00  0.000000E+00  0.000000E+00
     9.9500    0.000000E+00  0.000000E+00  0.000000E+00
    10.0000    0.000000E+00  0.000000E+00  0.000000E+00
    10.0500    0.000000E+00  0.000000E+00  0.000000E+00
    10.1000    0.000000E+00  0.000000E+00  0.000000E+00
    10.1500    0.000000E+00  0.000000E+00  0.000000E+00
    10.2000    0.000000E+00  0.000000E+00  0.000000E+00
    10.2500    0.000000E+00  0.000000E+00  0.000000E+00
    10.3000    0.000000E+00  0.000000E+00  0.000000E+00
    10.3500    0.000000E+00  0.000000E+00  0.000000E+00
    10.4000    0.000000E+00  0.000000E+00  0.000000E+00
    10.4500    0.000000E+00  0.000000E+00  0.000000E+00
    10.5000    0.000000E+00  0.000000E+00  0.000000E+00
    10.5500    0.000000E+00  0.000000E+00  0.000000E+00
    10.6000    0.000000E+00  0.000000E+00  0.000000E+00
    10.6500    0.000000E+00  0.000000E+00  0.000000E+00
    10.7000    0.000000E+00  0.000000E+00  0.000000E+00
    10.7500    0.000000E+00  0.000000E+00  0.000000E+00
    10.8000    0.000000E+00  0.000000E+00  0.000000E+00
    10.8500    0.000000E+00  0.000000E+00  0.000000E+00
    10.9000    0.000000E+00  0.000000E+00  0.000000E+00
    10.9500    0.000000E+00  0.000000E+00  0.000000E+00
    11.0000    0.000000E+00  0.000000E+00  0.000000E+00
    11.0500    0.000000E+00  0.000000E+00  0.000000E+00
    11.1000    0.000000E+00  0.000000E+00  0.000000E+00
    11.1500    0.000000E+00  0.000000E+00  0.000000E+00
    11.2000    0.000000E+00  0.000000E+00  0.000000E+00
    11.2500    0.000000E+00  0.000000E+00  0.000000E+00
    11.3000    0.000000E+00  0.000000E+00  0.000000E+00
    11.3500    0.000000E+00  0.000000E+00  0.000000E+00
    11.4000    0.000000E+00  0.000000E+00  0.000000E+00
    11.4500    0.000000E+00  0.000000E+00  0.000000E+00
    11.5000    0.000000E+00  0.000000E+00  0.000000E+00
    11.5500    0.000000E+00  0.000000E+00  0.000000E+00
    11.6000    0.000000E+00  0.000000E+00  0.000000E+00
    11.6500    0.000000E+00  0.000000E+00  0.000000E+00
