# data from ifeffit
#------------------------
#   k         chi         e0
  7.4500000      -0.14653889E-01    7133.3100
  7.5000000      -0.15413313E-01    7133.3100
  7.5500000      -0.14941281E-01    7133.3100
  7.6000000      -0.13242884E-01    7133.3100
  7.6500000      -0.13472136E-01    7133.3100
  7.7000000      -0.12262940E-01    7133.3100
  7.7500000      -0.11108311E-01    7133.3100
  7.8000000      -0.94540049E-02    7133.3100
  7.8500000      -0.79188453E-02    7133.3100
  7.9000000      -0.63322569E-02    7133.3100
  7.9500000      -0.37920813E-02    7133.3100
  8.0000000      -0.34246171E-02    7133.3100
  8.0500000      -0.24905274E-02    7133.3100
  8.1000000      -0.15899948E-02    7133.3100
  8.1500000      -0.35827682E-03    7133.3100
  8.2000000      -0.61588289E-03    7133.3100
  8.2500000      -0.12026078E-02    7133.3100
  8.3000000      -0.21773015E-03    7133.3100
  8.3500000      -0.25029163E-02    7133.3100
  8.4000000      -0.33734690E-02    7133.3100
  8.4500000      -0.34153443E-02    7133.3100
  8.5000000      -0.47192025E-02    7133.3100
  8.5500000      -0.65880574E-02    7133.3100
  8.6000000      -0.85588623E-02    7133.3100
  8.6500000      -0.10720142E-01    7133.3100
  8.7000000      -0.13025665E-01    7133.3100
  8.7500000      -0.15613930E-01    7133.3100
  8.8000000      -0.16214310E-01    7133.3100
  8.8500000      -0.19119747E-01    7133.3100
  8.9000000      -0.19711295E-01    7133.3100
  8.9500000      -0.21135564E-01    7133.3100
  9.0000000      -0.23243662E-01    7133.3100
  9.0500000      -0.23438242E-01    7133.3100
  9.1000000      -0.24191677E-01    7133.3100
  9.1500000      -0.24934556E-01    7133.3100
  9.2000000      -0.24763740E-01    7133.3100
  9.2500000      -0.25685133E-01    7133.3100
  9.3000000      -0.24379985E-01    7133.3100
  9.3500000      -0.22982309E-01    7133.3100
  9.4000000      -0.22264889E-01    7133.3100
  9.4500000      -0.21145133E-01    7133.3100
  9.5000000      -0.19760644E-01    7133.3100
  9.5500000      -0.18347750E-01    7133.3100
  9.6000000      -0.16894198E-01    7133.3100
  9.6500000      -0.15317292E-01    7133.3100
  9.7000000      -0.13465268E-01    7133.3100
  9.7500000      -0.11730746E-01    7133.3100
  9.8000000      -0.97139018E-02    7133.3100
  9.8500000      -0.79979647E-02    7133.3100
  9.9000000      -0.55940632E-02    7133.3100
  9.9500000      -0.43004407E-02    7133.3100
  10.000000      -0.13204698E-02    7133.3100
  10.050000      -0.76726534E-03    7133.3100
  10.100000       0.10591142E-03    7133.3100
  10.150000       0.20866615E-03    7133.3100
  10.200000       0.18106803E-02    7133.3100
  10.250000       0.31828224E-02    7133.3100
  10.300000       0.27025793E-02    7133.3100
  10.350000       0.31066235E-02    7133.3100
  10.400000       0.24739111E-02    7133.3100
  10.450000       0.25538319E-02    7133.3100
  10.500000       0.39204178E-02    7133.3100
  10.550000       0.22810901E-02    7133.3100
  10.600000       0.27076590E-02    7133.3100
  10.650000       0.26046698E-02    7133.3100
  10.700000       0.26816520E-02    7133.3100
  10.750000       0.17938879E-02    7133.3100
  10.800000       0.22778623E-02    7133.3100
  10.850000       0.21303961E-02    7133.3100
  10.900000       0.24913299E-02    7133.3100
  10.950000       0.35791456E-02    7133.3100
  11.000000       0.37589766E-02    7133.3100
  11.050000       0.47856829E-02    7133.3100
  11.100000       0.51155593E-02    7133.3100
  11.150000       0.65917179E-02    7133.3100
  11.200000       0.70860760E-02    7133.3100
  11.250000       0.81981903E-02    7133.3100
  11.300000       0.96609060E-02    7133.3100
  11.350000       0.97815684E-02    7133.3100
  11.400000       0.11643913E-01    7133.3100
  11.450000       0.12322065E-01    7133.3100
  11.500000       0.14126773E-01    7133.3100
  11.550000       0.15821890E-01    7133.3100
  11.600000       0.15008526E-01    7133.3100
  11.650000       0.15023239E-01    7133.3100
  11.700000       0.15811271E-01    7133.3100
  11.750000       0.16662723E-01    7133.3100
  11.800000       0.16605109E-01    7133.3100
  11.850000       0.16763512E-01    7133.3100
  11.900000       0.16149072E-01    7133.3100
  11.950000       0.16003911E-01    7133.3100
  12.000000       0.15262079E-01    7133.3100
  12.050000       0.13704009E-01    7133.3100
  12.100000       0.13784635E-01    7133.3100
  12.150000       0.13065769E-01    7133.3100
  12.200000       0.11771652E-01    7133.3100
  12.250000       0.10766696E-01    7133.3100
  12.300000       0.99770052E-02    7133.3100
  12.350000       0.84040173E-02    7133.3100
  12.400000       0.65986048E-02    7133.3100
  12.450000       0.57587054E-02    7133.3100
  12.500000       0.50704637E-02    7133.3100
  12.550000       0.38101638E-02    7133.3100
  12.600000       0.27473528E-02    7133.3100
  12.650000       0.16500021E-02    7133.3100
  12.700000       0.75586510E-03    7133.3100
  12.750000       0.10954424E-03    7133.3100
  12.800000      -0.31763199E-03    7133.3100
  12.850000      -0.15367177E-02    7133.3100
  12.900000      -0.23807963E-02    7133.3100
  12.950000      -0.29701146E-02    7133.3100
  13.000000      -0.35435723E-02    7133.3100
  13.050000      -0.45099111E-02    7133.3100
  13.100000      -0.45970243E-02    7133.3100
  13.150000      -0.46980931E-02    7133.3100
  13.200000      -0.50526417E-02    7133.3100
  13.250000      -0.61062930E-02    7133.3100
  13.300000      -0.60341197E-02    7133.3100
  13.350000      -0.63659608E-02    7133.3100
  13.400000      -0.70228849E-02    7133.3100
  13.450000      -0.72435034E-02    7133.3100
  13.500000      -0.72992851E-02    7133.3100
  13.550000      -0.83075884E-02    7133.3100
  13.600000      -0.85443240E-02    7133.3100
  13.650000      -0.94570162E-02    7133.3100
  13.700000      -0.93079726E-02    7133.3100
  13.750000      -0.10160824E-01    7133.3100
  13.800000      -0.10245712E-01    7133.3100
  13.850000      -0.10804858E-01    7133.3100
  13.900000      -0.11761998E-01    7133.3100
  13.950000      -0.11358251E-01    7133.3100
  14.000000      -0.11370386E-01    7133.3100
  14.050000      -0.11480311E-01    7133.3100
  14.100000      -0.11997064E-01    7133.3100
  14.150000      -0.11788207E-01    7133.3100
  14.200000      -0.11368566E-01    7133.3100
  14.250000      -0.11089392E-01    7133.3100
  14.300000      -0.10704671E-01    7133.3100
  14.350000      -0.10321103E-01    7133.3100
  14.400000      -0.96596353E-02    7133.3100
  14.450000      -0.87144337E-02    7133.3100
  14.500000      -0.75945175E-02    7133.3100
  14.550000      -0.58072732E-02    7133.3100
  14.600000      -0.37542339E-02    7133.3100
  14.650000      -0.20749902E-02    7133.3100
  14.700000      -0.26215421E-05    7133.3100
  14.750000       0.22371959E-02    7133.3100
  14.800000       0.43301356E-02    7133.3100
  14.850000       0.71218892E-02    7133.3100
  14.900000       0.96023047E-02    7133.3100
  14.950000       0.12104502E-01    7133.3100
  15.000000       0.15459191E-01    7133.3100
  15.050000       0.19078380E-01    7133.3100
  15.100000       0.23076973E-01    7133.3100
  15.150000       0.27102640E-01    7133.3100
  15.200000       0.30244226E-01    7133.3100
